
============================================================================================================================
[KOSPI] 장기 축 정찰 — 유니버스 대비 초과(2016~) · 중복신호 제거 · 상위5% 절삭 포함
============================================================================================================================
  ※ '평균초과' 는 유니버스 평균 대비, 나머지는 유니버스 **중앙값** 대비다
  축                                보유      건수     평균초과     중앙초과      중앙값       절삭    승률       학습       검증      월CI    양수해
  S 기관 60일 ≥1%                    250   4,269    -2.23   +11.42    -0.26    +1.22   41%    +9.47   +16.90   +10.44  10/10
  S 공매도 비중 ≤0.3%                  120   7,881    -0.01    +7.31    -0.70    -0.18   45%    +9.56    +3.06    +5.75  10/11
  S 공매도 비중 ≤0.3%                  250   4,508    -1.83   +11.70    -0.73    +1.17   45%   +13.18    +8.60    +9.45  10/10
  X 120일 -40%↓                    120   2,079    -0.86    +9.34    +1.16    +1.56   57%   +10.42    +4.66    +2.14  11/11
  X 120일 -40%↓                    250   1,659    -0.25   +14.43    -0.80    +1.66   51%   +15.90    +7.53    +3.91   8/10
  X 250일 -50%↓                    120   1,495    -1.97    +9.32    -1.37    -0.45   51%   +12.71    -3.51    -1.06   6/11
  X 250일 -50%↓                    250   1,116    +2.81   +19.18    +1.53    +4.34   53%   +21.98    +6.29    +5.59   8/10
  VL PBR≤0.8 + 고점 -40%↓           120   2,400    -1.21    +8.02    +0.91    +1.63   53%   +10.02    +2.54    +2.99   9/11
  VL PBR≤0.8 + 고점 -40%↓           250   1,657    -0.09   +14.62    +1.28    +3.77   53%   +17.08    +6.22    +6.91   9/10
  VL PBR≤0.5 + 고점 -40%↓           120   1,330    +0.41   +11.04    +1.72    +3.49   59%   +13.99    +3.45    +3.51  10/11
  VL PBR≤0.5 + 고점 -40%↓           250     972    +5.30   +21.21    +5.79    +9.01   61%   +26.22    +5.15    +6.77   9/10
  VL PBR≤0.8 + 1년 -30%↓           120   2,471    -1.14    +8.05    +1.03    +1.30   51%   +10.09    +2.64    +4.56   9/11
  VL PBR≤0.8 + 1년 -30%↓           250   1,696    -0.17   +14.92    +1.75    +4.19   53%   +17.46    +6.65    +8.84  10/10
  VL PBR≤0.8 + 거래량침체              120   3,656    -0.37    +6.28    +0.33    +1.18   42%    +7.54    +4.20    +5.69  11/11
  VL PBR≤0.8 + 거래량침체              250   2,280    -1.44   +11.36    +1.16    +3.21   42%   +11.90   +10.21   +10.18  10/10
  VLF PBR≤0.8 + 고점-40 + 부채≤100    120   1,048    -1.36    +7.48    +1.10    +1.24   53%    +9.74    +3.04    +0.18   8/9
  VLF PBR≤0.8 + 고점-40 + 부채≤100    250     726    -1.50   +12.67    +1.54    +2.87   53%   +14.77    +7.59    +6.84   7/8
  VLS PBR≤0.8 + 고점-40 + 외인60      120   1,504    +0.83    +9.49    +1.40    +2.43   52%   +11.97    +2.73    +4.32   9/11
  VLS PBR≤0.8 + 고점-40 + 외인60      250   1,083    +1.59   +15.44    +0.43    +2.98   50%   +18.21    +5.49    +8.14   9/10

============================================================================================================================
[KOSDAQ] 장기 축 정찰 — 유니버스 대비 초과(2016~) · 중복신호 제거 · 상위5% 절삭 포함
============================================================================================================================
  ※ '평균초과' 는 유니버스 평균 대비, 나머지는 유니버스 **중앙값** 대비다
  축                                보유      건수     평균초과     중앙초과      중앙값       절삭    승률       학습       검증      월CI    양수해
  V PBR ≤0.3                      120     383    +1.83   +13.04    +3.32    +4.57   51%   +14.62   +11.97    +6.83   8/11
  V PBR ≤0.3                      250     240    +6.22   +26.40    +9.02   +13.19   57%   +28.51   +24.10    +7.13   7/10
  V PBR ≤0.5                      120   2,008    +0.49   +11.77    +2.10    +3.81   50%   +15.89    +7.35    +7.32  11/11
  V PBR ≤0.5                      250   1,178    +3.98   +23.57    +5.41    +9.44   52%   +29.26   +14.85   +13.35  10/10
  V PBR ≤0.8                      120   5,842    -0.01   +11.24    +2.07    +3.26   46%   +14.40    +6.80    +8.79  11/11
  V PBR ≤0.8                      250   3,277    +0.51   +19.62    +4.32    +6.89   47%   +23.30   +12.74   +15.79  10/10
  V PBR ≤1.2                      120  10,646    -0.41   +11.36    +1.48    +2.64   44%   +13.83    +7.32    +9.88  11/11
  V PBR ≤1.2                      250   5,750    -0.80   +18.96    +2.73    +6.02   44%   +21.93   +12.88   +17.63  10/10
  V PBR ≥3                        120   7,766    -3.92    +7.69    -5.79    -3.70   35%    +7.26    +8.69    +5.69   8/11
  V PBR ≥3                        250   4,318    -5.42   +13.63   -10.20    -5.66   32%   +14.24   +11.97    +8.02   8/10
  V PBR ≤0.5 + PER ≤10            120     948    +0.90   +11.77    +3.08    +4.33   51%   +15.25    +8.38    +5.73  10/11
  V PBR ≤0.5 + PER ≤10            250     591    +3.29   +22.68    +6.00   +10.97   53%   +29.08   +14.24    +8.84   9/10
  V PBR ≤0.8 + PER ≤15            120   3,152    -0.55   +10.69    +3.20    +4.56   48%   +12.36    +8.45    +8.52  11/11
  V PBR ≤0.8 + PER ≤15            250   1,837    +0.31   +19.78    +5.55    +8.97   50%   +22.05   +15.81   +15.40  10/10
  F 부채비율 ≤100%                    120  14,406    -1.14    +7.50    -1.09    +0.27   38%    +7.12    +8.02    +6.70   9/9
  F 부채비율 ≤100%                    250   7,340    -2.20   +12.85    -1.79    +1.39   35%   +12.10   +14.11   +10.31   8/8
  F 부채비율 ≤50%                     120   9,294    -1.01    +7.66    -0.87    +0.51   39%    +6.97    +8.61    +7.03   9/9
  F 부채비율 ≤50%                     250   4,826    -1.66   +13.58    -1.54    +1.72   36%   +12.62   +15.17   +11.91   8/8
  F 부채 ≤100 + PBR ≤0.8            120   3,667    +0.39    +9.72    +2.18    +3.09   45%   +12.98    +6.34    +7.42   9/9
  F 부채 ≤100 + PBR ≤0.8            250   2,047    +0.11   +16.83    +3.98    +6.43   47%   +21.49   +10.29   +13.00   8/8
  L 고점대비 -60%↓                    120   3,563   +12.15   +25.24    -0.97    +0.93   50%   +35.33    +5.13    +9.55   9/11
  L 고점대비 -60%↓                    250   2,491   +17.76   +38.69    -0.34    +4.88   50%   +48.49   +14.91   +17.48  10/10
  L 고점대비 -60~-40%                 120  11,546    -0.28   +11.43    -1.81    -1.15   42%   +14.90    +4.48    +6.85  10/11
  L 고점대비 -60~-40%                 250   6,999    -0.89   +18.33    -3.21    +0.12   41%   +21.03   +11.71   +12.80  10/10
  L 고점대비 -40~-25%                 120  16,389    -3.45    +8.20    -2.19    -1.07   38%    +8.56    +7.48    +6.80  10/11
  L 고점대비 -40~-25%                 250   9,408    -2.54   +16.81    -2.63    +0.20   37%   +18.79   +11.95   +13.37  10/10
  L 1년수익 -50%↓                    120   3,718    +5.28   +18.07    -0.73    +1.17   47%   +25.02    +5.09    +8.24  10/11
  L 1년수익 -50%↓                    250   2,679    +6.00   +27.12    -0.57    +5.36   47%   +31.85   +16.41   +17.48   9/10
  L 1년수익 -50~-30%                 120   9,011    +3.49   +15.54    -1.02    -0.16   42%   +21.02    +5.57    +9.38  10/11
  L 1년수익 -50~-30%                 250   5,803    +2.06   +22.29    -1.54    +2.11   41%   +26.21   +13.49   +15.30  10/10
  L 20일선위 비율 ≤30%                 120   2,819    +0.19   +11.73    -2.60    -1.98   38%   +18.28    +4.27    +5.48   9/11
  L 20일선위 비율 ≤30%                 250   2,036    +0.71   +20.89    -4.17    -0.64   36%   +25.65   +14.28   +14.60   9/10
  L 20일선위 비율 ≥70%                 120     443    -5.98    +5.60    -2.41    -1.41   39%    +3.34   +13.24    -0.06   9/11
  L 20일선위 비율 ≥70%                 250     348   -10.35    +6.57    -0.57    -0.34   39%    +5.20   +15.12    -0.85   7/10
  L 2M/1Y 거래량 ≤60%                120  15,535    -2.53    +8.93    -1.04    +0.16   38%    +9.59    +7.67    +8.33  11/11
  L 2M/1Y 거래량 ≤60%                250   8,863    -2.51   +17.03    -0.63    +2.26   37%   +18.25   +14.16   +15.94  10/10
