
============================================================================================================================
[KOSPI] 장기 축 정찰 — 유니버스 대비 초과(2016~) · 중복신호 제거 · 상위5% 절삭 포함
============================================================================================================================
  ※ 기준선 = base() 유니버스 **평균**(우리가 고를 수 있는 종목만). 중앙초과는 참고
  축                                보유      건수       초과       중앙       절삭     중앙초과    승률       학습       검증      월CI    양수해
  S 기관 60일 ≥1%                    250   4,269    -1.47   -10.54   -11.46   +12.54   41%    -2.36    +1.05    -2.67   5/10
  S 공매도 비중 ≤0.3%                  120   7,881    +0.52    -6.21    -6.88    +7.79   45%    +2.17    -2.61    -0.88   7/11
  S 공매도 비중 ≤0.3%                  250   4,508    -1.21   -11.16   -11.58   +12.69   45%    +0.23    -4.23    -3.84   5/10
  X 120일 -40%↓                    120   2,079    -0.27    -6.16    -7.60    +8.71   57%    +0.15    -2.10    -5.19   5/11
  X 120일 -40%↓                    250   1,659    -0.00   -11.98   -12.40   +14.78   51%    +1.63    -7.66    -9.45   3/10
  X 250일 -50%↓                    120   1,495    -1.09    -8.16   -10.29    +8.77   51%    +1.39   -10.48    -8.35   4/11
  X 250일 -50%↓                    250   1,116    +2.58   -12.54   -11.79   +19.19   53%    +5.14    -9.21    -7.68   5/10
  VL PBR≤0.8 + 고점 -40%↓           120   2,400    -0.78    -5.53    -6.90    +7.66   53%    +0.61    -4.62    -4.53   4/11
  VL PBR≤0.8 + 고점 -40%↓           250   1,657    +0.07   -10.00   -10.46   +14.96   53%    +2.90    -9.58    -6.43   5/10
  VL PBR≤0.5 + 고점 -40%↓           120   1,330    +0.92    -5.50    -6.20   +10.32   59%    +2.60    -3.40    -3.54   4/11
  VL PBR≤0.5 + 고점 -40%↓           250     972    +5.15    -8.08    -6.79   +21.17   61%    +9.88   -10.03    -6.29   5/10
  VL PBR≤0.8 + 1년 -30%↓           120   2,471    -0.56    -5.68    -6.96    +7.86   51%    +0.72    -3.96    -2.82   4/11
  VL PBR≤0.8 + 1년 -30%↓           250   1,696    +0.14    -9.81   -10.22   +15.35   53%    +2.84    -8.62    -4.19   5/10
  VL PBR≤0.8 + 거래량침체              120   3,656    -0.12    -4.75    -5.08    +6.57   42%    +1.78    -3.24    -1.51   6/11
  VL PBR≤0.8 + 거래량침체              250   2,280    -1.13    -9.12    -9.14   +12.19   42%    +0.73    -5.17    -3.40   4/10
  VLF PBR≤0.8 + 고점-40 + 부채≤100    120   1,048    -0.96    -5.52    -6.86    +6.97   53%    +0.58    -4.01    -6.25   4/9
  VLF PBR≤0.8 + 고점-40 + 부채≤100    250     726    -1.77   -10.31   -11.16   +12.74   53%    +0.66    -7.62    -4.92   5/8
  VLS PBR≤0.8 + 고점-40 + 외인60      120   1,504    +1.45    -4.73    -5.29    +9.36   52%    +3.57    -4.33    -2.86   7/11
  VLS PBR≤0.8 + 고점-40 + 외인60      250   1,083    +2.18    -9.44    -9.98   +16.13   50%    +5.46    -9.60    -5.30   4/10

============================================================================================================================
[KOSDAQ] 장기 축 정찰 — 유니버스 대비 초과(2016~) · 중복신호 제거 · 상위5% 절삭 포함
============================================================================================================================
  ※ 기준선 = base() 유니버스 **평균**(우리가 고를 수 있는 종목만). 중앙초과는 참고
  축                                보유      건수       초과       중앙       절삭     중앙초과    승률       학습       검증      월CI    양수해
  V PBR ≤0.3                      120     383    +0.83    -5.27    -7.26   +12.72   51%    -2.11    +2.82    -3.77   6/11
  V PBR ≤0.3                      250     240    +5.91    -6.05    -6.83   +26.26   57%    +7.36    +4.34   -11.65   3/10
  V PBR ≤0.5                      120   2,008    -0.07    -6.51    -7.63   +11.68   50%    +2.21    -2.53    -4.74   6/11
  V PBR ≤0.5                      250   1,178    +4.04    -8.95    -9.71   +23.78   52%    +9.99    -5.08    -6.72   5/10
  V PBR ≤0.8                      120   5,842    +0.17    -5.44    -7.64   +11.79   46%    +2.09    -2.55    -3.37   6/11
  V PBR ≤0.8                      250   3,277    +1.20    -9.47   -11.39   +20.50   47%    +4.84    -5.58    -4.85   5/10
  V PBR ≤1.2                      120  10,646    -0.04    -6.21    -8.53   +12.14   44%    +1.16    -2.00    -1.97   6/11
  V PBR ≤1.2                      250   5,750    +0.03   -11.31   -12.72   +20.12   44%    +2.33    -4.68    -2.84   5/10
  V PBR ≥3                        120   7,766    -3.08   -13.67   -14.14    +8.92   35%    -4.29    -0.29    -5.56   3/11
  V PBR ≥3                        250   4,318    -4.07   -23.55   -22.78   +15.24   32%    -3.68    -5.16   -11.95   2/10
  V PBR ≤0.5 + PER ≤10            120     948    +0.28    -5.96    -6.66   +11.57   51%    +1.72    -1.12    -6.16   7/11
  V PBR ≤0.5 + PER ≤10            250     591    +3.20    -8.70    -8.05   +22.78   53%    +9.79    -5.48   -10.13   4/10
  V PBR ≤0.8 + PER ≤15            120   3,152    -0.34    -4.27    -6.24   +11.16   48%    -0.15    -0.60    -4.75   7/11
  V PBR ≤0.8 + PER ≤15            250   1,837    +0.88    -8.66    -9.82   +20.61   50%    +2.74    -2.36    -6.78   5/10
  F 부채비율 ≤100%                    120  14,406    -0.19    -7.28    -7.26    +8.39   38%    +0.63    -1.34    -0.70   5/9
  F 부채비율 ≤100%                    250   7,340    -0.71   -13.01   -11.95   +13.89   35%    +0.70    -3.10    -3.31   5/8
  F 부채비율 ≤50%                     120   9,294    -0.11    -7.23    -7.10    +8.53   39%    +0.39    -0.80    -0.44   6/9
  F 부채비율 ≤50%                     250   4,826    -0.23   -13.00   -11.86   +14.59   36%    +1.14    -2.50    -1.91   5/8
  F 부채 ≤100 + PBR ≤0.8            120   3,667    +0.44    -4.74    -5.97   +10.05   45%    +3.83    -3.07    -0.52   7/9
  F 부채 ≤100 + PBR ≤0.8            250   2,047    +0.72    -8.66    -9.52   +17.22   47%    +7.08    -8.21    -1.34   3/8
  L 고점대비 -60%↓                    120   3,563   +11.72   -10.84   -11.93   +24.93   50%   +19.08    -2.94    -1.86   6/11
  L 고점대비 -60%↓                    250   2,491   +18.01   -17.07   -15.22   +38.97   50%   +26.99    -3.78    -2.70   5/10
  L 고점대비 -60~-40%                 120  11,546    +0.10   -10.04   -12.20   +11.95   42%    +2.25    -4.21    -4.66   3/11
  L 고점대비 -60~-40%                 250   6,999    -0.06   -16.93   -17.93   +19.32   41%    +2.27    -5.77    -7.13   3/10
  L 고점대비 -40~-25%                 120  16,389    -2.76    -9.60   -11.79    +9.12   38%    -3.28    -1.73    -4.75   1/11
  L 고점대비 -40~-25%                 250   9,408    -1.46   -15.91   -17.82   +18.11   37%    +0.06    -5.19    -6.96   3/10
  L 1년수익 -50%↓                    120   3,718    +5.16    -9.39   -11.04   +18.22   47%    +9.61    -3.14    -2.82   4/11
  L 1년수익 -50%↓                    250   2,679    +6.10   -18.02   -15.10   +27.71   47%   +10.09    -2.94    -2.47   6/10
  L 1년수익 -50~-30%                 120   9,011    +3.80    -9.18   -11.51   +16.19   42%    +7.48    -2.89    -1.90   4/11
  L 1년수익 -50~-30%                 250   5,803    +2.50   -16.70   -17.27   +23.31   41%    +5.58    -4.39    -4.37   3/10
  L 20일선위 비율 ≤30%                 120   2,819    +0.50    -9.97   -12.82   +12.73   38%    +4.45    -4.00    -5.59   3/11
  L 20일선위 비율 ≤30%                 250   2,036    +0.48   -20.27   -20.55   +21.94   36%    +4.84    -5.58    -4.84   5/10
  L 20일선위 비율 ≥70%                 120     443    -5.70   -11.34   -12.65    +6.49   39%    -8.12    +2.52   -12.36   4/11
  L 20일선위 비율 ≥70%                 250     348    -8.63   -11.35   -15.55    +7.85   39%   -10.11    +0.64   -21.04   5/10
  L 2M/1Y 거래량 ≤60%                120  15,535    -1.70    -8.53   -10.33   +10.09   38%    -1.92    -1.27    -3.48   4/11
  L 2M/1Y 거래량 ≤60%                250   8,863    -1.46   -14.33   -15.93   +18.41   37%    -0.74    -3.16    -3.90   6/10
  L 소외 3종(고점·1년·거래량)              120   6,100    -1.56    -8.55   -10.81   +10.34   43%    -1.68    -1.33    -4.17   4/11
  L 소외 3종(고점·1년·거래량)              250   4,181    -0.78   -15.87   -16.12   +19.80   42%    +0.04    -2.63    -5.61   3/10
  M 시총 ≤1000억                     120  17,099    +2.71    -8.32    -9.79   +14.73   41%    +5.99    -0.76    +0.30   8/11
  M 시총 ≤1000억                     250   8,894    +3.72   -14.07   -14.71   +24.08   42%    +8.44    -2.53    +0.33   7/10
  S 외국인 60일 ≥1%                   120  14,208    -0.76    -8.17   -10.03   +11.70   40%    -2.16    +1.77    -3.48   8/11
  S 외국인 60일 ≥1%                   250   8,425    -3.52   -14.68   -16.40   +16.76   38%    -3.96    -2.54    -7.33   4/10
  S 기관 60일 ≥1%                    120   7,641    -3.19    -8.00   -10.45    +9.58   40%    -5.88    +2.15    -5.09   6/11
  S 기관 60일 ≥1%                    250   4,919    -5.27   -15.54   -16.53   +15.32   38%    -8.52    +2.81    -8.73   5/10
  S 공매도 비중 ≤0.3%                  120  17,822    +2.00    -8.13    -9.92   +13.46   40%    +3.65    -1.08    -0.64   7/11
  S 공매도 비중 ≤0.3%                  250   9,780    +0.91   -14.77   -16.12   +20.14   38%    +3.35    -4.35    -3.73   5/10
  X 120일 -40%↓                    120   4,913    +7.44    -8.86   -10.86   +20.07   50%   +11.47    -2.15    -2.79   7/11
  X 120일 -40%↓                    250   3,892    +5.05   -16.71   -16.24   +25.10   45%    +8.11    -3.13    -7.74   6/10
  X 250일 -50%↓                    120   3,718    +5.16    -9.39   -11.04   +18.22   47%    +9.61    -3.14    -2.82   4/11
  X 250일 -50%↓                    250   2,679    +6.10   -18.02   -15.10   +27.71   47%   +10.09    -2.94    -2.47   6/10
  VL PBR≤0.8 + 고점 -40%↓           120   2,796    +0.12    -6.92    -9.50   +12.06   54%    +3.11    -4.82    -4.81   5/11
  VL PBR≤0.8 + 고점 -40%↓           250   1,910    +1.68   -12.72   -12.82   +21.41   54%    +4.74    -4.89    -3.29   6/10
  VL PBR≤0.5 + 고점 -40%↓           120   1,011    -1.35    -9.07   -10.57   +11.50   59%    +2.43    -6.93    -6.64   5/11
  VL PBR≤0.5 + 고점 -40%↓           250     730    +6.15   -12.41    -9.27   +26.90   59%   +14.09    -9.47    -8.06   6/10
  VL PBR≤0.8 + 1년 -30%↓           120   2,554    -0.04    -7.53   -10.14   +12.12   52%    +2.29    -3.58    -4.48   4/11
  VL PBR≤0.8 + 1년 -30%↓           250   1,774    -0.12   -13.21   -13.68   +19.98   52%    +3.06    -6.18   -11.05   3/10
  VL PBR≤0.8 + 거래량침체              120   3,683    -1.09    -5.29    -7.53    +9.95   44%    -0.24    -2.14    -5.30   6/11
  VL PBR≤0.8 + 거래량침체              250   2,297    -2.74   -10.48   -12.03   +16.39   44%    -1.07    -5.43    -8.68   4/10
  VLF PBR≤0.8 + 고점-40 + 부채≤100    120   1,820    -0.38    -6.23    -7.36    +9.83   54%    +3.05    -4.88    -4.36   5/9
  VLF PBR≤0.8 + 고점-40 + 부채≤100    250   1,239    +0.82   -10.83   -10.38   +18.42   56%    +5.35    -7.08    -5.70   3/8
  VLS PBR≤0.8 + 고점-40 + 외인60      120   1,911    -3.09    -7.50   -10.10    +8.90   52%    -1.53    -5.45    -7.78   5/11
  VLS PBR≤0.8 + 고점-40 + 외인60      250   1,397    -2.38   -12.57   -13.99   +17.51   51%    +2.53   -11.83    -9.67   4/10

============================================================================================================================
생존 후보 — base() 유니버스 평균 기준 · 중앙>0 · 절삭>0 · 학습·검증>0 · 월CI>0 · 양수해 70%↑
============================================================================================================================
  없음

시험 132개 기록 · 누적 13,662개 · 결과 data/long_scan.pkl
