d,t,r
20220614,000020,-2.4800000000000013
20220615,000020,-3.9800000000000026
20220616,000020,1.5772649572649486
20240806,000220,11.067191011235948
20241113,000400,0.8100497512437721
20211006,001380,15.275065969629068
20211007,001380,10.659884253677347
20220615,001520,-8.90357723577236
20200319,001550,103.70466757123475
20240807,001780,2.570000000000009
20200319,002100,82.63112984822934
20200320,002100,85.17607321131446
20200323,002100,76.52597738287561
20200317,002210,10.733043478260864
20200319,002210,51.55880597014925
20200320,002210,56.75440233236152
20200323,002210,42.640363164721144
20211201,002320,7.974929577464799
20220929,002760,3.1995620437956154
20220217,002900,15.288857029072094
20220613,003000,-6.332595827268314
20220926,003160,-13.44725082146769
20220927,003160,-9.770308370044052
20220928,003160,-7.016139169472498
20220929,003160,3.8924637681159426
20220930,003160,-3.793636363636362
20190730,003350,10.067443762781195
20190807,003350,31.078064516129025
20220920,003520,-3.882702702702697
20220905,003780,7.981490683229822
20200316,004060,24.64938388625593
20200317,004060,18.360229885057482
20260729,004060,14.365243619489569
20240806,004560,9.140089955022482
20240807,004560,8.329009009009006
20190805,004870,40.02395327942499
20190806,004870,63.3706419400856
20190807,004870,50.64157455127066
20220622,005320,12.666153846153842
20210820,005740,7.115964125560529
20210823,005740,2.257164339419985
20220622,006660,3.8200000000000047
20220623,006660,11.227211028632027
20200318,007110,21.462857142857153
20200319,007110,46.95948497854078
20200320,007110,52.99965367965368
20211005,007280,-5.954746192893397
20211006,007280,3.3315391289259013
20211007,007280,-2.9691682785299847
20200318,007540,24.855502958579883
20200319,007540,45.34777777777777
20200323,007540,39.512640692640694
20190806,007610,20.64163187855788
20190807,007610,14.695912408759119
20220908,007860,-12.622786069651745
20190807,008250,15.036216216216207
20240806,008350,6.646086956521739
20240807,008350,3.9482051282051325
20220623,008600,10.319710480602211
20200317,008700,15.692427983539098
20200318,008700,28.59777777777777
20200319,008700,57.838143009605126
20240806,008700,5.099069767441859
20240807,008700,2.0974390243902388
20241206,008970,7.653619210977695
20230814,009200,6.0272072072072005
20220518,009470,2.095109170305668
20220519,009470,1.4174025974025983
20220623,009470,11.823095975232192
20220624,009470,-1.7324861878453024
20200317,010040,6.395757575757569
20200318,010040,13.07389755011135
20200319,010040,48.82
20200320,010040,48.013548387096776
20200820,011280,48.82
20190806,011760,12.45333333333333
20190807,011760,6.968837209302317
20241111,011930,-0.3806394884092701
20241112,011930,-0.525335515548272
20241113,011930,2.2711784511784607
20211001,012690,1.5019923371647514
20211006,012690,6.06832214765101
20220310,013360,101.60333333333334
20240806,014580,8.045512528473811
20240807,014580,6.2776271186440615
20250204,014820,10.474676258992814
20240912,015590,-6.9631325301204825
20240806,016380,4.0290909090909075
20240807,016380,2.9243478260869624
20240806,016740,12.837094017094012
20240807,016740,10.692909698996658
20241030,017040,6.069626307922275
20190806,019170,13.263426294820729
20190807,019170,7.120000000000007
20240807,024900,18.15621933621934
20190806,025750,13.652535885167463
20190807,025750,8.958248847926267
20240806,033530,10.053480176211464
20240806,036420,8.843310023310028
20220621,037270,7.4770996978852065
20220622,037270,18.703259911894268
20200320,069730,45.42831509846828
20200319,070960,45.59887323943662
20200320,070960,49.72728744939271
20200323,070960,54.896892430278875
20240806,077500,11.723225806451623
20211117,079980,-6.510243337195828
20240806,092220,13.23290322580645
20240807,092220,7.517683397683409
20220310,093240,11.9973875539125
20200313,119650,-15.828088603072528
20200316,119650,5.453601983880966
20200317,119650,1.1405871139916233
20240806,192400,4.0831578947368365
20220930,210980,-3.414151732849132
20240319,214390,6.5123076923076875
20190806,227840,19.423015075376874
20190807,227840,12.966341463414626
20200323,267850,52.32369685767099
20220616,308170,-7.108853754940711
20220617,308170,-13.393740458015266
20231020,381970,10.302108626198084
20231023,381970,7.585608465608465
