date,ticker,name,close,change,volume,indiv,organ,frgn,foreign_ratio,open,high,low,amount,marcap,shares,market
20140303,000020,동화약품,5390,200,302694,17291,-1,-17090,5.609375,5290,5530,5130,1625345580,150550623300,27931470,KOSPI
20140303,000040,S&T모터스,624,48,2140922,40716,-6,-41620,0.6201171875,600,646,588,1327991881,74469020496,119341379,KOSPI
20140303,000050,경방,118500,-500,426,-119,73,36,1.0400390625,119000,119000,115500,49827000,324870949500,2741527,KOSPI
20140303,000060,메리츠화재,15000,-50,146664,-5164,53864,-17180,17.953125,14950,15150,14800,2194734000,1519932000000,101328800,KOSPI
20140303,000070,삼양홀딩스,71800,-1503,6759,2970,-621,-2069,9.4609375,72300,73000,71800,488028100,586639387000,8170465,KOSPI
20140303,000075,삼양홀딩스우,35000,0,100,0,0,,17.421875,35000,35000,35000,3500000,10642030000,304058,KOSPI
20140303,000080,하이트진로,23700,200,313488,35931,44349,-87460,15.7578125,23500,23750,23000,7333438000,1662166580700,70133611,KOSPI
20140303,000087,하이트진로2우B,16900,-150,5070,2500,,-2500,24.71875,17000,17050,16800,85701000,19099332200,1130138,KOSPI
20140303,000100,유한양행,196000,-1501,25444,2671,-1667,-749,23.84375,195500,197500,194000,4986459000,2185899016000,11152546,KOSPI
20140303,000105,유한양행우,94000,-501,140,0,0,0,4.078125,92600,94000,92600,13009400,22201672000,236188,KOSPI
20140303,000120,CJ대한통운,115500,-4500,42964,12213,-12783,200,8.109375,118500,119000,115500,5024031500,2634825732000,22812344,KOSPI
20140303,000140,하이트진로홀딩스,12800,-101,26834,2110,1610,-3760,5.53125,13050,13050,12800,346061200,297046592000,23206765,KOSPI
20140303,000145,하이트진로홀딩스우,8520,20,6570,-800,,1000,32.125,8480,8590,8350,55792900,4011301200,470810,KOSPI
20140303,000150,두산,139000,994,44740,768,1797,-2193,12.1875,137000,140500,135000,6166859000,2902607869000,20882071,KOSPI
20140303,000155,두산우,66800,0,2807,221,,-221,8.7578125,66800,66900,66000,186780600,294659743200,4411074,KOSPI
20140303,000157,두산2우B,62700,-201,166,1,4,,0.0,63200,63500,55500,9831900,61802449500,985685,KOSPI
20140303,000180,성창기업지주,20500,100,24590,-4630,5660,-470,3.560546875,20400,20850,20400,506431500,118390780000,5775160,KOSPI
20140303,000210,대림산업,88400,300,178401,-16579,44722,-30658,31.046875,87700,89100,87000,15786005400,3076320000000,34800000,KOSPI
20140303,000215,대림산업우,34200,1501,50871,12680,-1280,-11400,27.875,32700,34250,32700,1728407050,129960000000,3800000,KOSPI
20140303,000220,유유제약,6970,160,7950,520,,-520,2.609375,6780,6970,6750,54609200,40645206500,5831450,KOSPI
20140303,000225,유유제약1우,3050,0,5790,10,,,14.7578125,3050,3055,3015,17588850,3457068250,1133465,KOSPI
20140303,000227,유유제약2우B,6300,70,110,0,,,0.0,6220,6300,6220,692000,1033704000,164080,KOSPI
20140303,000230,일동제약,13750,0,117489,-600,,450,12.34375,13600,13900,13600,1613395250,344685893750,25068065,KOSPI
20140303,000240,한국타이어월드와이드,21400,-101,144634,-645,-15005,15300,4.8515625,21450,21900,21350,3126901800,1990631702200,93020173,KOSPI
