date,ticker,name,y,grp,n40,n20,k60
20210415,000180,성창기업지주,2021,생존,13.548857715430856,30.182124248496994,True
20230703,001430,세아베스틸지주,2023,생존,-7.7526915520628705,9.732573673870341,True
20230704,001430,세아베스틸지주,2023,생존,-7.466427145708584,5.50762475049901,True
20240912,001530,DI동일,2024,생존,25.516916418717887,19.508666486340278,False
20240913,001530,DI동일,2024,생존,24.51262981574539,14.435577889447242,False
20240503,001680,대상,2024,생존,16.292477064220183,5.283302752293576,True
20240507,001680,대상,2024,생존,15.871724137931047,6.67632183908046,True
20240508,001680,대상,2024,생존,14.581958997722092,10.481731207289293,True
20240509,001680,대상,2024,생존,18.954703196347037,18.954703196347037,True
20250707,001750,한양증권,2025,생존,-5.665754034501943,-6.44483027267668,True
20210506,002460,HS화성,2021,생존,6.3052941176470565,-2.88588235294118,True
20210507,002460,HS화성,2021,생존,1.2860649819494672,-3.7680866425992745,True
20210427,002990,금호건설,2021,생존,21.435384615384628,7.9738461538461465,True
20210512,002990,금호건설,2021,생존,28.876650246305427,29.861871921182274,True
20230307,003230,삼양식품,2023,생존,0.25111291632819155,-0.8861738424045447,True
20211208,003540,대신증권,2021,생존,-19.624844124700243,-17.46657074340527,False
20211209,003540,대신증권,2021,생존,-18.861818181818176,-15.273301435406703,True
20210415,003690,코리안리,2021,생존,8.45460076045627,15.735969581749046,True
20210416,003690,코리안리,2021,생존,7.217857007396158,11.807274796131232,True
20211015,003690,코리안리,2021,생존,-3.5046719160105013,-2.6844619422572182,False
20240808,003690,코리안리,2024,생존,3.885879112914906,3.5090129004203527,False
20240814,003690,코리안리,2024,생존,-1.1342951541850248,-3.240572687224671,False
20240822,003690,코리안리,2024,생존,3.523923662084619,-4.977344187908713,False
20210930,005810,풍산홀딩스,2021,생존,-11.53057203800659,-7.763847197983329,False
20211001,005810,풍산홀딩스,2021,생존,-10.6425458996328,-6.99995104039168,False
20211005,005810,풍산홀딩스,2021,생존,-11.548155773526265,-8.26564630474896,False
20210423,005940,NH투자증권,2021,생존,1.6442914979757166,8.93174089068827,True
20210426,005940,NH투자증권,2021,생존,0.4232128514056325,6.848915662650604,True
20231208,005940,NH투자증권,2023,생존,5.670710900473944,-6.082843601895735,True
20231211,005940,NH투자증권,2023,생존,6.429004739336489,-6.082843601895735,True
20231212,005940,NH투자증권,2023,생존,7.858899430740044,-6.65722960151803,True
20231213,005940,NH투자증권,2023,생존,5.930009442870624,-7.101152030217181,True
20201119,006800,미래에셋증권,2020,생존,5.433582739929846,1.5224338399404873,True
20201120,006800,미래에셋증권,2020,생존,3.9470760419980904,0.5638964895535085,True
20210406,006800,미래에셋증권,2021,생존,-0.8797001798920597,-4.057793324005596,True
20250709,006880,신송홀딩스,2025,생존,-17.9821377672209,-10.499952494061755,True
20250710,006880,신송홀딩스,2025,생존,-17.546666666666663,-6.755299760191844,True
20250711,006880,신송홀딩스,2025,생존,-17.24582430806257,-3.888423586040909,True
20250714,006880,신송홀딩스,2025,생존,-18.104880382775118,-8.176650717703346,True
20201123,009150,삼성전기,2020,생존,37.652786885245895,9.783934426229514,True
20210716,012200,계양전기,2021,생존,-12.853999315771468,-4.882736914129324,True
20241203,012630,HDC,2024,생존,11.545531914893619,3.4604255319148933,False
20231218,012750,에스원,2023,생존,-0.5163338788870624,-13.773289689034371,True
20231219,012750,에스원,2023,생존,-2.797263843648209,-13.383583061889246,True
20240426,012750,에스원,2024,생존,-8.757544426494343,-1.0031017770597754,False
20240503,012750,에스원,2024,생존,-2.8181578947368475,1.7871052631578983,True
20240507,012750,에스원,2024,생존,-5.290492845786962,-2.5877901430842645,True
20231208,016360,삼성증권,2023,생존,-0.8578337531486153,-7.65884130982368,True
20231211,016360,삼성증권,2023,생존,-0.8573584905660376,-8.656100628930815,True
20210720,016450,한세예스24홀딩스,2021,생존,-15.206923076923083,-10.399230769230769,True
20240223,017670,SK텔레콤,2024,생존,-3.7955597722960173,0.7585199240986799,True
20240226,017670,SK텔레콤,2024,생존,-3.9649056603773576,1.6954716981132183,True
20250310,018670,SK가스,2025,생존,-1.7370824524312904,-2.7941649048625807,True
20240202,021240,코웨이,2024,생존,-6.483430531732424,-12.315334476843907,True
20210329,029780,삼성카드,2021,생존,-6.41529411764706,2.261176470588225,False
20210330,029780,삼성카드,2021,생존,-4.209411764705881,3.4376470588235373,True
20210412,029780,삼성카드,2021,생존,-3.5743560057887116,1.346049204052094,True
20210423,029780,삼성카드,2021,생존,-1.697441860465118,-7.220697674418605,True
20210426,029780,삼성카드,2021,생존,-4.959600570613406,-9.239201141226824,True
20201222,030190,NICE평가정보,2020,생존,-4.26744394618834,2.9074439461883514,True
20210416,030190,NICE평가정보,2021,생존,-1.0898360655737653,-7.032459016393441,True
20210419,030190,NICE평가정보,2021,생존,-0.47674796747968196,-5.761300813008127,True
20210420,030190,NICE평가정보,2021,생존,-2.302718052738337,-5.750993914807298,True
20210423,030190,NICE평가정보,2021,생존,-1.0932231404958663,-6.0519008264462855,True
20240827,030200,KT,2024,생존,10.494999999999989,0.3700000000000062,False
20210416,032830,삼성생명,2021,생존,-0.8744375772558685,5.182422744128548,True
20210419,032830,삼성생명,2021,생존,-0.5033045622688,5.785228113440202,True
20210420,032830,삼성생명,2021,생존,-1.2347008547008516,3.2830036630036723,True
20241025,032830,삼성생명,2024,생존,-3.8113725490196066,4.03176470588236,False
20241028,032830,삼성생명,2024,생존,0.7016125860373615,3.848121927236961,False
20241029,032830,삼성생명,2024,생존,-0.2824390243902438,1.66878048780488,False
20241108,032830,삼성생명,2024,생존,-8.042463627546068,-0.6709796314258029,False
20230522,033240,자화전자,2023,생존,-11.30706766917293,-1.2318796992481258,True
20240229,033780,KT&G,2024,생존,-3.8208602150537647,0.15763440860215006,True
20240304,033780,KT&G,2024,생존,-3.206086956521734,-0.9234782608695676,True
20240305,033780,KT&G,2024,생존,-2.0033766233766266,-1.5704761904761861,True
20240306,033780,KT&G,2024,생존,-0.16237214363439023,-2.3386507072905323,True
20240307,033780,KT&G,2024,생존,-0.7025806451612856,-2.853118279569897,True
20240308,033780,KT&G,2024,생존,-2.094898177920687,-3.0595284030010745,True
20240311,033780,KT&G,2024,생존,-1.99290322580645,-2.3154838709677468,True
20240319,033780,KT&G,2024,생존,-4.6810752688172,-4.788602150537632,True
20240320,033780,KT&G,2024,생존,-4.533005464480874,-2.237923497267755,True
20240422,033780,KT&G,2024,생존,-4.597536071032191,-3.7096337402885733,False
20240502,033780,KT&G,2024,생존,-3.7828540065861644,-7.295477497255762,True
20240503,033780,KT&G,2024,생존,-5.347602591792652,-8.371360691144712,True
20240508,033780,KT&G,2024,생존,-4.31013100436681,-5.729344978165938,True
20240509,033780,KT&G,2024,생존,-7.003235613463629,-7.11181324647123,True
20210906,034830,한국토지신탁,2021,생존,-5.038004158004158,-3.374802494802495,False
20210907,034830,한국토지신탁,2021,생존,-5.482510460251041,-2.13523012552301,False
20210908,034830,한국토지신탁,2021,생존,-8.364407484407485,-2.3353014553014497,False
