date,ticker,name,close,change,volume,indiv,organ,frgn,foreign_ratio,open,high,low,amount,marcap,shares,market
20080801,000020,동화약품,50100,-898,6476,606,-830,224,10.2109375,50700,51000,49750,325983700,279873329400,5586294,KOSPI
20080801,000040,S&T모터스,695,-15,668519,160410,,-160410,0.52978515625,705,705,690,466543105,76861591510,110592218,KOSPI
20080801,000050,경방,133500,-1498,393,65,-87,22,0.52978515625,134000,138000,133000,52945500,277680000000,2080000,KOSPI
20080801,000060,메리츠화재,9900,-100,660358,-256284,231808,24476,20.484375,9970,10050,9890,6575693400,1225620000000,123800000,KOSPI
20080801,000070,삼양사,44800,-752,8158,-80,-120,200,4.390625,45500,45500,44500,365409600,448809939200,10018079,KOSPI
20080801,000075,삼양사(1우B),21800,-400,80,0,,,7.890625,21650,21800,21650,1739000,8438780000,387100,KOSPI
20080801,000100,유한양행,205000,-5494,17672,678,6650,-7328,20.734375,209500,209500,204500,3642522500,1969631595000,9607959,KOSPI
20080801,000105,유한양행(1우B),142000,0,105,0,,,4.1796875,142000,142000,142000,14203000,33538696000,236188,KOSPI
20080801,000120,대한통운,99000,-798,6440,-2933,2910,23,11.546875,97000,99600,97000,635002500,3973330746000,40134654,KOSPI
20080801,000140,하이트홀딩스,39450,-5952,1222250,368227,52187,-420704,15.0390625,42000,43950,39100,50460459800,466616256900,11828042,KOSPI
20080801,000145,하이트홀딩스(1우B),26800,-1399,10919,0,,,69.75,28000,29900,25250,299979600,12617708000,470810,KOSPI
20080801,000150,두산,161000,-5995,118927,10998,-17396,6498,8.078125,165000,169500,155500,19196545000,3979532312000,24717592,KOSPI
20080801,000155,두산(1우B),46200,-1049,140,-10,90,-80,13.890625,46600,46600,46150,6487500,218613179400,4731887,KOSPI
20080801,000157,두산(2우B),54000,-1001,8,0,,,0.0,54800,54800,54000,436100,56048058000,1037927,KOSPI
20080801,000180,성창기업,19800,350,7600,-50,,50,1.7197265625,19350,19800,18600,144157500,118800000000,6000000,KOSPI
20080801,000210,대림산업,84300,-7400,438148,164154,-182449,20345,48.03125,90000,90900,83800,37514138500,2933640000000,34800000,KOSPI
20080801,000215,대림산업(1우B),34800,-1901,11070,2940,6120,-9060,60.125,36750,37000,33750,389777000,132240000000,3800000,KOSPI
20080801,000220,유유제약,10400,-100,8465,-1940,,1940,16.046875,10600,10600,10400,89042000,60647080000,5831450,KOSPI
20080801,000225,유유제약(1우B),5090,-90,90,0,,,21.3125,4950,5090,4950,448100,5769336850,1133465,KOSPI
20080801,000227,유유제약(2우B),8470,470,410,0,,,0.01000213623046875,7730,8470,7730,3217800,1389757600,164080,KOSPI
20080801,000230,일동제약,32650,-899,2300,-1030,800,230,24.296875,34200,34200,32300,76771000,163694464450,5013613,KOSPI
20080801,000240,한국타이어,14550,-450,473000,-52314,122274,-69960,35.03125,15200,15200,14550,7064360500,2214363466950,152189929,KOSPI
20080801,000250,삼천당제약,2845,0,106854,18559,-10000,-8559,0.68994140625,2815,2900,2780,302726085,56900000000,20000000,KOSDAQ
20080801,000270,기아차,12400,-200,1889256,46306,226354,-272400,10.671875,12550,12700,12350,23704697000,4305657642000,347230455,KOSPI
20080801,000300,대유신소재,2370,-40,350337,24910,0,-25040,1.16015625,2410,2470,2325,833883950,109887782610,46366153,KOSPI
20080801,000320,디피아이홀딩스,6830,-250,80,0,0,,2.9296875,6800,7040,6800,546700,90146513130,13198611,KOSPI
20080801,000325,디피아이홀딩스(1우B),6850,-30,0,0,,,18.5625,0,0,0,0,1268962500,185250,KOSPI
20080801,000327,디피아이홀딩스(2우B),9660,470,370,0,,,18.59375,9870,9870,8270,3294000,893936400,92540,KOSPI
20080801,000360,삼환기업,19650,-200,6300,-3540,4400,-860,25.4375,19800,19800,18800,122413500,232367046750,11825295,KOSPI
20080801,000365,삼환기업(1우B),9940,-20,200,170,,-170,35.28125,9700,9940,9640,1945500,14414928360,1450194,KOSPI
20080801,000370,한화손해보험,14500,300,311054,6400,2000,-8400,5.37890625,14650,14700,13950,4481031000,441920038000,30477244,KOSPI
20080801,000390,삼화페인트,3195,-20,34271,-2000,2000,,13.59375,3215,3215,3105,107886945,71568000000,22400000,KOSPI
20080801,000400,롯데손해보험,10200,-150,38140,750,,-750,0.1500244140625,10200,10400,10150,390194500,428910000000,42050000,KOSPI
20080801,000420,로케트전기,9820,-170,19200,440,,-460,0.029998779296875,9970,9970,9750,188488800,18912298720,1925896,KOSPI
20080801,000425,로케트전기(1우B),15600,200,260,0,,,0.0,16400,16400,15000,4102000,1659481200,106377,KOSPI
