F,date,ticker,name,grp,r,y
1번 상승초입,20210901,000100,유한양행,생존,-0.5281145884156931,2021
1번 상승초입,20210902,000100,유한양행,생존,0.24562030341699603,2021
1번 상승초입,20210903,000100,유한양행,생존,-0.5319461474584372,2021
1번 상승초입,20211228,000100,유한양행,생존,-3.939230327009566,2021
1번 상승초입,20240221,000150,두산,생존,8.062211055276382,2024
1번 상승초입,20240308,000150,두산,생존,19.62,2024
1번 상승초입,20240311,000150,두산,생존,19.62,2024
1번 상승초입,20220303,000880,한화,생존,-3.509175745336665,2022
1번 상승초입,20211115,000990,DB하이텍,생존,10.815158850226927,2021
1번 상승초입,20211116,000990,DB하이텍,생존,0.22060060060060926,2021
1번 상승초입,20231128,000990,DB하이텍,생존,-0.5455629139072801,2023
1번 상승초입,20231129,000990,DB하이텍,생존,4.472686308492205,2023
1번 상승초입,20231130,000990,DB하이텍,생존,-0.7057328990228015,2023
1번 상승초입,20250207,000990,DB하이텍,생존,16.375345911949683,2025
1번 상승초입,20250602,000990,DB하이텍,생존,10.175737704918033,2025
1번 상승초입,20250604,000990,DB하이텍,생존,7.709158016147635,2025
1번 상승초입,20220330,001440,대한전선,생존,19.62,2022
1번 상승초입,20221103,001440,대한전선,생존,3.3743748011453993,2022
1번 상승초입,20230418,001440,대한전선,생존,-14.670283374912051,2023
1번 상승초입,20231214,001440,대한전선,생존,-0.9605125467164939,2023
1번 상승초입,20250605,001440,대한전선,생존,19.62,2025
1번 상승초입,20210401,001510,SK증권,생존,19.52,2021
1번 상승초입,20210402,001510,SK증권,생존,19.52,2021
1번 상승초입,20210406,001510,SK증권,생존,19.52,2021
1번 상승초입,20190415,001820,삼화콘덴서,생존,-10.318837920489297,2019
1번 상승초입,20210715,001820,삼화콘덴서,생존,-6.6815503875969,2021
1번 상승초입,20210716,001820,삼화콘덴서,생존,-5.7759501557632404,2021
1번 상승초입,20260504,002020,코오롱,생존,19.52,2026
1번 상승초입,20240607,002710,TCC스틸,생존,-0.5634862385321046,2024
1번 상승초입,20221129,002900,TYM,생존,-3.3369598072500257,2022
1번 상승초입,20221130,002900,TYM,생존,-0.18812641083520731,2022
1번 상승초입,20250529,003160,디아이,생존,6.572096569250322,2025
1번 상승초입,20210831,003410,쌍용C&E,폐지,0.9468727705113005,2021
1번 상승초입,20211216,003550,LG,생존,-0.7494581280788145,2021
1번 상승초입,20220729,004000,롯데정밀화학,생존,5.922439024390238,2022
1번 상승초입,20240222,005070,코스모신소재,생존,-8.271832229580577,2024
