fam,ticker,dt,entry,market,amt20,r5,r10,r20,r40
공급계약,182400,20180130,20180131,KOSDAQ,99.7,-6.04,-6.25,-11.18,-14.38
공급계약,141000,20180130,20180131,KOSDAQ,38.8,-14.56,-14.83,-19.83,-25.09
공급계약,089030,20180130,20180131,KOSDAQ,36.5,-2.51,3.22,5.41,8.41
공급계약,065130,20180130,20180131,KOSDAQ,7.4,-4.93,-6.13,-9.59,-13.04
공급계약,037350,20180130,20180131,KOSDAQ,6.7,7.15,27.3,26.29,13.48
공급계약,036810,20180130,20180131,KOSDAQ,29.3,-10.45,-1.23,-8.54,1.37
공급계약,036200,20180130,20180131,KOSDAQ,35.8,0.07,5.65,14.22,28.24
공급계약,012450,20180130,20180131,KOSPI,154.9,-12.59,-19.06,-19.5,-16.12
배당결정,139480,20180130,20180131,KOSPI,305.5,-7.05,-5.05,-0.88,-9.21
배당결정,078930,20180130,20180131,KOSPI,140.6,-7.37,-8.82,-3.87,-7.22
배당결정,051910,20180130,20180131,KOSPI,778.4,-13.67,-14.25,-13.67,-10.78
배당결정,035510,20180130,20180131,KOSPI,65.7,-12.88,22.0,23.55,31.3
배당결정,035000,20180130,20180131,KOSPI,1.3,-5.1,-8.92,-8.07,-9.13
자사주직접,001270,20180130,20180131,KOSPI,1.0,4.13,2.48,-1.73,-2.1
자사주직접,049520,20180130,20180131,KOSDAQ,5.2,0.64,1.24,-0.11,-8.92
배당결정,001840,20180130,20180131,KOSDAQ,10.8,-8.07,-1.9,7.64,41.32
배당결정,030000,20180130,20180131,KOSPI,55.1,-0.48,-6.51,-8.52,-4.25
배당결정,009150,20180130,20180131,KOSPI,881.0,-10.0,-7.71,-15.62,-2.28
배당결정,007070,20180130,20180131,KOSPI,82.0,-6.61,-10.11,-15.75,-16.37
배당결정,004170,20180130,20180131,KOSPI,226.1,-4.49,-9.48,-4.79,12.25
배당결정,003550,20180130,20180131,KOSPI,220.1,-7.65,-5.89,-7.43,-4.45
배당결정,003230,20180130,20180131,KOSPI,144.8,-3.15,-0.6,-5.14,-9.57
배당결정,002720,20180130,20180131,KOSPI,54.2,24.95,11.4,1.91,8.71
배당결정,012630,20180130,20180131,KOSPI,77.0,-8.13,-12.19,-17.82,-14.1
배당결정,000810,20180130,20180131,KOSPI,274.9,-1.79,-3.89,-1.43,-5.65
배당결정,007820,20180130,20180131,KOSDAQ,59.4,-7.8,-5.94,-13.06,-18.02
배당결정,046890,20180130,20180131,KOSDAQ,229.0,-16.48,-14.77,-10.58,-27.72
배당결정,017480,20180130,20180131,KOSDAQ,1.0,-4.98,-5.21,-2.53,2.37
배당결정,072020,20180130,20180131,KOSDAQ,10.6,-8.46,-5.76,-9.53,-4.42
배당결정,000520,20180130,20180131,KOSPI,4.2,25.68,45.21,45.21,240.39
배당결정,064850,20180130,20180131,KOSDAQ,0.0,-1.62,1.82,4.69,19.04
배당결정,060370,20180130,20180131,KOSDAQ,2.7,-7.15,-7.6,-7.5,1.62
배당결정,066310,20180130,20180131,KOSDAQ,3.1,-3.06,-0.91,-6.37,-12.11
배당결정,001120,20180131,20180201,KOSPI,96.7,-7.65,-7.65,-13.31,-10.48
배당결정,002350,20180131,20180201,KOSPI,13.0,-3.7,-3.7,-2.9,-0.48
배당결정,003780,20180131,20180201,KOSPI,0.7,0.88,-1.87,8.08,-1.01
배당결정,005930,20180131,20180201,KOSPI,164.0,-9.51,-4.81,-7.49,-5.32
배당결정,008930,20180131,20180201,KOSPI,154.2,-7.49,-17.4,-16.15,-12.4
배당결정,006800,20180131,20180201,KOSPI,432.1,-12.72,-13.78,-18.18,-21.09
배당결정,034730,20180131,20180201,KOSPI,317.9,-7.19,-6.88,-6.72,-7.51
배당결정,037710,20180131,20180201,KOSPI,1.4,-4.09,-6.38,-10.33,-6.79
배당결정,096770,20180131,20180201,KOSPI,543.1,-7.28,-3.58,0.36,3.56
배당결정,005720,20180131,20180201,KOSPI,3.5,-3.66,-2.1,-6.41,-7.98
배당결정,089600,20180131,20180201,KOSDAQ,31.6,-1.0,-5.18,2.44,-5.43
공급계약,130660,20180131,20180201,KOSPI,1.6,-4.56,-5.65,-5.29,-16.16
공급계약,030530,20180131,20180201,KOSDAQ,32.5,0.52,-1.01,-4.32,-9.02
공급계약,019660,20180131,20180201,KOSDAQ,8.1,-20.99,-18.29,-22.34,-13.14
공급계약,018000,20180131,20180201,KOSDAQ,67.9,-3.8,-5.39,-11.59,-19.1
공급계약,281820,20180131,20180201,KOSPI,30.4,-4.76,-7.87,-5.24,3.64
배당결정,054950,20180131,20180201,KOSDAQ,7.9,-2.5,-4.04,-8.49,-18.32
공급계약,082740,20180131,20180201,KOSPI,18.8,-13.23,-12.37,-2.14,24.18
공급계약,060980,20180131,20180201,KOSPI,22.2,-11.13,-14.28,-14.94,-20.0
공급계약,014790,20180131,20180201,KOSPI,2.4,-4.69,-6.87,-10.87,-4.09
공급계약,010950,20180131,20180201,KOSPI,416.1,-6.45,-3.21,-0.78,-3.21
공급계약,009410,20180131,20180201,KOSPI,44.4,-9.7,-8.88,-13.39,-16.67
자사주신탁,017370,20180131,20180201,KOSPI,8.7,-0.96,-19.35,-20.86,-24.62
공급계약,036190,20180131,20180201,KOSDAQ,0.7,-2.97,-4.34,-13.28,-10.53
배당결정,108320,20180201,20180202,KOSPI,67.5,-5.48,-6.02,-28.25,-36.73
배당결정,138040,20180201,20180202,KOSPI,11.0,-2.68,-4.77,-10.76,-19.14
배당결정,038390,20180201,20180202,KOSDAQ,0.7,-5.29,-3.38,-2.74,-2.42
배당결정,063080,20180201,20180202,KOSDAQ,220.3,-3.57,-1.22,3.64,-1.66
배당결정,078340,20180201,20180202,KOSDAQ,213.4,-2.51,0.87,7.56,18.09
배당결정,087600,20180201,20180202,KOSDAQ,6.2,-11.43,-13.24,-18.67,-24.38
배당결정,094820,20180201,20180202,KOSDAQ,3.5,-4.65,3.99,2.58,14.75
배당결정,179900,20180201,20180202,KOSDAQ,3.0,-8.35,-5.77,-6.84,-11.16
공급계약,086390,20180201,20180202,KOSDAQ,48.1,6.6,9.36,11.72,9.36
배당결정,003220,20180201,20180202,KOSPI,19.6,-3.33,-4.76,2.26,-7.1
배당결정,103140,20180201,20180202,KOSPI,105.2,-11.05,-7.28,-15.86,-20.25
배당결정,039130,20180201,20180202,KOSPI,117.1,-9.13,-9.55,-13.3,-0.38
배당결정,033780,20180201,20180202,KOSPI,358.4,-7.58,-7.02,-9.17,-7.02
배당결정,028260,20180201,20180202,KOSPI,537.3,-11.84,-9.41,-11.14,-5.94
배당결정,011780,20180201,20180202,KOSPI,194.2,-16.19,-15.82,-17.78,-14.61
배당결정,010120,20180201,20180202,KOSPI,49.6,-20.09,-15.97,-21.12,-16.27
배당결정,006260,20180201,20180202,KOSPI,115.6,-11.09,-2.14,-5.42,-15.49
배당결정,005830,20180201,20180202,KOSPI,91.1,-9.92,-10.99,-11.52,-18.17
배당결정,005810,20180201,20180202,KOSPI,3.5,-8.28,-7.19,-9.01,-9.01
배당결정,001230,20180201,20180202,KOSPI,68.1,-7.71,-12.92,-21.76,-21.33
배당결정,005800,20180201,20180202,KOSPI,0.3,-4.23,-5.25,-9.32,-12.03
공급계약,094360,20180201,20180202,KOSDAQ,80.4,-16.58,-12.56,-12.86,-29.25
공급계약,011200,20180201,20180202,KOSPI,76.4,-15.96,-9.16,-8.64,-6.65
공급계약,009520,20180201,20180202,KOSDAQ,13.9,-1.32,-4.75,-13.04,-8.47
공급계약,207940,20180201,20180202,KOSPI,1354.5,-11.08,-5.62,-0.49,11.77
공급계약,011930,20180201,20180202,KOSPI,101.0,-6.12,-4.04,-8.21,-16.83
공급계약,007460,20180201,20180202,KOSPI,122.2,-1.5,-0.0,-5.25,-1.5
공급계약,003160,20180201,20180202,KOSPI,9.3,-8.2,-3.71,-1.76,-8.68
공급계약,002990,20180201,20180202,KOSPI,15.2,-7.81,-1.38,2.09,8.03
공급계약,128660,20180201,20180202,KOSDAQ,1.6,-2.71,-5.68,-3.7,-1.23
공급계약,016250,20180201,20180202,KOSDAQ,18.8,-8.92,-7.13,-9.18,-8.86
공급계약,083310,20180201,20180202,KOSDAQ,15.5,-3.06,-2.12,-1.18,-10.27
무상증자,003220,20180201,20180202,KOSPI,19.6,-3.33,-4.76,2.26,-7.1
자사주신탁,044340,20180201,20180202,KOSDAQ,60.7,-4.7,-9.8,-6.58,-6.85
자사주신탁,089030,20180201,20180202,KOSDAQ,33.6,-4.3,1.51,2.03,0.71
배당결정,100220,20180202,20180205,KOSPI,3.9,-6.06,-0.77,-4.03,-20.94
배당결정,138930,20180202,20180205,KOSPI,111.7,-0.86,3.45,-0.38,-2.77
배당결정,011040,20180202,20180205,KOSDAQ,7.9,-5.76,-2.84,-12.39,-7.71
배당결정,024060,20180202,20180205,KOSDAQ,1.0,-5.45,-6.32,-8.39,-7.18
배당결정,072710,20180202,20180205,KOSPI,3.5,-6.42,-4.67,-11.66,-7.73
배당결정,086790,20180202,20180205,KOSPI,469.3,-1.55,-3.29,-7.86,-19.31
배당결정,018260,20180202,20180205,KOSPI,729.3,-5.15,-1.42,1.69,-0.79
공급계약,950130,20180202,20180205,KOSDAQ,22.1,-5.21,-3.77,-8.81,-9.55
배당결정,041910,20180202,20180205,KOSDAQ,178.4,3.9,4.57,-7.89,-6.2
공급계약,002100,20180202,20180205,KOSPI,1.1,-1.35,-0.5,3.57,15.94
공급계약,007590,20180202,20180205,KOSPI,0.8,-3.74,-1.45,-3.74,-2.26
공급계약,012630,20180202,20180205,KOSPI,82.4,-10.82,-11.84,-16.5,-10.48
공급계약,068330,20180202,20180205,KOSDAQ,46.9,-2.49,3.15,2.95,-1.23
배당결정,008730,20180202,20180205,KOSPI,20.5,-7.86,-5.47,-11.58,-15.57
배당결정,078150,20180202,20180205,KOSDAQ,59.3,-2.58,20.26,-0.09,-11.37
배당결정,083420,20180202,20180205,KOSPI,0.7,3.18,3.29,5.24,5.6
배당결정,131180,20180202,20180205,KOSDAQ,3.8,-4.85,-3.86,-6.24,5.07
배당결정,138080,20180202,20180205,KOSDAQ,16.5,-0.35,4.61,-16.46,-6.96
배당결정,148250,20180202,20180205,KOSDAQ,8.5,-8.15,-8.81,-11.48,-9.58
배당결정,098460,20180202,20180205,KOSDAQ,22.1,1.23,1.23,0.56,7.89
배당결정,078890,20180205,20180206,KOSDAQ,40.3,-5.21,-2.15,-3.47,-14.52
배당결정,094170,20180205,20180206,KOSDAQ,11.9,17.27,21.09,30.92,17.67
배당결정,144510,20180205,20180206,KOSDAQ,767.2,-6.22,-3.76,-9.5,2.8
배당결정,147830,20180205,20180206,KOSDAQ,30.4,15.14,14.78,55.14,71.41
배당결정,177350,20180205,20180206,KOSDAQ,10.6,-2.11,2.23,-1.95,-16.41
공급계약,259630,20180205,20180206,KOSDAQ,21.0,1.69,6.35,31.53,39.45
배당결정,067280,20180205,20180206,KOSDAQ,2.0,-6.52,-6.97,-9.05,-8.9
공급계약,049950,20180205,20180206,KOSDAQ,42.2,15.17,12.4,28.03,75.47
공급계약,100090,20180205,20180206,KOSPI,4.9,-6.04,-3.89,-4.42,-2.8
공급계약,028050,20180205,20180206,KOSPI,598.1,-9.98,0.55,2.72,12.0
공급계약,010060,20180205,20180206,KOSPI,792.7,-1.94,-1.32,-3.19,2.43
자사주신탁,094170,20180205,20180206,KOSDAQ,11.9,17.27,21.09,30.92,17.67
자사주신탁,900140,20180205,20180206,KOSPI,14.2,-4.35,-3.17,-5.57,5.53
배당결정,042600,20180205,20180206,KOSDAQ,3.9,-4.69,-6.38,-9.08,-9.42
배당결정,045390,20180205,20180206,KOSDAQ,11.4,9.14,9.71,34.35,51.26
배당결정,014820,20180205,20180206,KOSPI,14.6,3.91,2.28,-6.28,-8.73
배당결정,005250,20180205,20180206,KOSPI,41.7,2.19,3.37,8.46,2.98
배당결정,006220,20180205,20180206,KOSPI,2.0,-5.87,-5.87,-7.11,-10.01
배당결정,006280,20180205,20180206,KOSPI,131.5,-0.38,6.14,5.13,3.38
배당결정,010960,20180205,20180206,KOSPI,3.7,-1.18,-2.59,-2.24,12.94
배당결정,011790,20180205,20180206,KOSPI,81.9,-9.73,-6.86,-1.98,-8.86
배당결정,040910,20180205,20180206,KOSDAQ,23.5,1.8,6.71,-1.33,-16.06
배당결정,017670,20180205,20180206,KOSPI,482.3,-7.16,-7.36,-9.88,-10.26
배당결정,001680,20180205,20180206,KOSPI,46.2,-2.94,-0.27,-0.47,5.9
배당결정,018470,20180205,20180206,KOSPI,1.8,-1.18,-5.0,-5.35,-7.93
배당결정,066970,20180205,20180206,KOSPI,209.2,-4.05,3.6,8.97,14.79
배당결정,077500,20180205,20180206,KOSPI,24.1,-0.89,-3.0,-9.44,-19.98
배당결정,084690,20180205,20180206,KOSPI,7.8,-4.45,0.83,-0.76,-0.97
배당결정,102460,20180205,20180206,KOSPI,54.1,3.23,5.56,6.25,11.13
배당결정,008470,20180205,20180206,KOSDAQ,1.6,0.06,0.25,-0.52,3.52
배당결정,033100,20180205,20180206,KOSDAQ,60.0,15.14,6.76,71.79,100.27
배당결정,106190,20180206,20180207,KOSDAQ,5.3,-0.32,0.83,-3.39,0.06
배당결정,114450,20180206,20180207,KOSDAQ,7.9,21.14,38.38,23.38,81.55
배당결정,088130,20180206,20180207,KOSDAQ,13.8,-6.18,-2.43,-7.85,-18.68
자사주신탁,083420,20180206,20180207,KOSPI,0.8,-2.6,-0.84,1.58,-0.52
무상증자,219420,20180206,20180207,KOSDAQ,8.5,-21.91,12.68,-0.28,3.48
배당결정,083550,20180206,20180207,KOSDAQ,12.2,1.95,11.02,5.62,5.62
배당결정,021080,20180206,20180207,KOSDAQ,1127.0,-14.24,-16.9,-28.44,-42.79
배당결정,079370,20180206,20180207,KOSDAQ,4.7,-7.34,-3.53,-4.11,-14.06
배당결정,234080,20180206,20180207,KOSPI,26.6,-6.4,0.06,-5.11,5.96
배당결정,251270,20180206,20180207,KOSPI,432.0,-7.55,2.55,-1.68,-7.55
배당결정,020400,20180206,20180207,KOSDAQ,1.8,-33.85,-34.6,-31.9,-35.34
배당결정,026040,20180206,20180207,KOSDAQ,4.0,16.8,17.16,68.77,57.84
배당결정,027050,20180206,20180207,KOSDAQ,49.6,-4.26,2.94,11.03,10.3
배당결정,034950,20180206,20180207,KOSDAQ,0.4,-2.92,0.14,0.87,2.31
배당결정,036480,20180206,20180207,KOSDAQ,0.2,-3.26,55.58,78.24,92.03
배당결정,037350,20180206,20180207,KOSDAQ,12.0,10.69,16.94,11.69,-6.68
배당결정,038680,20180206,20180207,KOSDAQ,17.7,-7.82,-2.36,-0.31,-4.58
배당결정,039240,20180206,20180207,KOSDAQ,0.3,-3.64,-2.95,4.89,10.77
배당결정,044960,20180206,20180207,KOSDAQ,4.3,-5.22,-3.54,-7.46,-3.16
배당결정,045520,20180206,20180207,KOSDAQ,46.8,1.22,15.04,11.73,-4.18
배당결정,051390,20180206,20180207,KOSDAQ,0.7,-3.9,-3.65,-4.03,-9.0
배당결정,056360,20180206,20180207,KOSDAQ,26.3,-3.78,-4.26,-4.14,-7.88
배당결정,069510,20180206,20180207,KOSDAQ,2.3,-7.67,-5.46,-7.23,-8.12
배당결정,083450,20180206,20180207,KOSDAQ,16.9,-13.93,-1.58,-8.35,-25.65
배당결정,204320,20180206,20180207,KOSPI,44.6,-13.78,-8.24,-14.33,-13.6
배당결정,017180,20180206,20180207,KOSPI,346.3,7.01,9.25,-4.62,8.69
공급계약,068790,20180206,20180207,KOSDAQ,22.2,0.51,3.55,1.75,-8.48
공급계약,011560,20180206,20180207,KOSDAQ,10.6,1.67,13.86,9.39,-6.46
공급계약,042660,20180206,20180207,KOSPI,194.8,-13.02,6.37,20.1,18.13
배당결정,092230,20180206,20180207,KOSPI,0.7,-2.53,-2.08,-7.31,-5.22
배당결정,089590,20180206,20180207,KOSPI,42.4,5.15,7.0,3.91,16.66
배당결정,082640,20180206,20180207,KOSPI,17.1,-5.37,-3.57,-5.62,1.68
배당결정,060980,20180206,20180207,KOSPI,22.1,-13.5,-11.64,-14.17,-18.81
배당결정,058860,20180206,20180207,KOSPI,5.9,-3.42,-7.16,-11.34,-18.37
배당결정,030200,20180206,20180207,KOSPI,228.6,-5.04,-3.14,-4.86,-5.04
배당결정,025820,20180206,20180207,KOSPI,6.4,-1.4,0.97,-6.99,-8.92
공급계약,021320,20180206,20180207,KOSDAQ,6.0,-9.65,-7.12,-6.54,-13.56
배당결정,016090,20180206,20180207,KOSPI,6.2,-6.47,-6.29,-8.3,-10.3
공급계약,089790,20180206,20180207,KOSDAQ,2.5,-5.19,-4.0,-4.74,-21.36
공급계약,214370,20180206,20180207,KOSDAQ,116.0,-0.71,-0.02,-0.71,13.32
배당결정,009140,20180206,20180207,KOSPI,13.2,-26.05,-14.43,-29.13,-42.68
공급계약,218410,20180206,20180207,KOSDAQ,59.5,0.69,7.54,10.55,8.36
배당결정,006840,20180206,20180207,KOSPI,22.2,-3.21,3.78,-7.55,-8.99
배당결정,006120,20180206,20180207,KOSPI,117.8,-3.44,-5.21,-14.98,-20.2
배당결정,001250,20180206,20180207,KOSPI,74.7,-13.81,-10.48,-14.17,-21.08
배당결정,000390,20180206,20180207,KOSPI,15.4,-5.43,-6.57,-8.59,-17.44
배당결정,096760,20180206,20180207,KOSPI,35.8,-0.63,-1.56,-5.89,3.36
공급계약,042040,20180206,20180207,KOSDAQ,31.9,-7.93,-4.91,-10.28,51.8
배당결정,039440,20180207,20180208,KOSDAQ,99.8,5.17,-4.7,-2.51,-23.35
배당결정,198440,20180207,20180208,KOSDAQ,1.0,36.89,37.49,27.22,23.9
배당결정,192390,20180207,20180208,KOSDAQ,3.4,-3.71,0.08,-0.14,-4.71
배당결정,035760,20180207,20180208,KOSDAQ,114.3,-7.55,-10.43,-3.49,-0.61
배당결정,036010,20180207,20180208,KOSDAQ,56.1,-2.78,-4.68,-12.38,-26.18
배당결정,033560,20180207,20180208,KOSDAQ,4.7,0.67,0.24,1.82,-18.24
공급계약,217820,20180207,20180208,KOSDAQ,23.1,-16.07,-20.26,-16.74,-26.42
공급계약,122350,20180207,20180208,KOSDAQ,7.2,-3.04,-2.61,-7.56,-13.08
공급계약,079810,20180207,20180208,KOSDAQ,2.7,-3.55,2.89,5.64,-16.54
배당결정,045100,20180207,20180208,KOSDAQ,14.0,16.6,14.01,8.45,6.23
배당결정,045060,20180207,20180208,KOSDAQ,9.6,0.64,2.76,4.69,1.42
배당결정,051500,20180207,20180208,KOSDAQ,21.8,7.34,6.2,1.39,0.82
배당결정,052260,20180207,20180208,KOSDAQ,78.5,5.32,2.09,0.24,7.17
배당결정,054540,20180207,20180208,KOSDAQ,38.6,3.92,-3.97,-4.54,2.09
배당결정,054800,20180207,20180208,KOSDAQ,0.4,0.56,-0.12,3.96,4.98
배당결정,064760,20180207,20180208,KOSDAQ,66.2,6.72,3.43,7.68,-1.09
배당결정,067290,20180207,20180208,KOSDAQ,164.6,11.52,13.04,11.07,12.57
배당결정,079170,20180207,20180208,KOSDAQ,2.1,-2.98,-3.59,-1.93,2.28
배당결정,136540,20180207,20180208,KOSDAQ,26.9,0.95,-3.44,-4.18,-4.18
배당결정,143160,20180207,20180208,KOSDAQ,1.6,-4.39,-2.14,-3.73,-8.63
배당결정,218410,20180207,20180208,KOSDAQ,58.9,12.19,13.65,16.87,17.46
공급계약,126700,20180207,20180208,KOSDAQ,76.0,10.43,6.11,8.58,2.72
배당결정,036670,20180207,20180208,KOSDAQ,3.7,-1.48,-3.69,-3.32,-3.93
배당결정,029530,20180207,20180208,KOSPI,10.4,1.66,-0.88,-5.51,-5.51
배당결정,093050,20180207,20180208,KOSPI,19.5,-4.84,-1.87,-7.48,-5.83
배당결정,079430,20180207,20180208,KOSPI,29.4,-2.72,-3.27,-10.49,0.06
배당결정,037560,20180207,20180208,KOSPI,65.4,9.29,14.29,5.01,-3.78
배당결정,000070,20180207,20180208,KOSPI,115.7,-1.25,-0.81,-9.47,-20.9
배당결정,001040,20180207,20180208,KOSPI,170.9,-3.91,-2.73,-3.91,-6.85
배당결정,001060,20180207,20180208,KOSPI,131.0,2.85,2.74,-1.4,4.23
배당결정,002810,20180207,20180208,KOSPI,8.4,11.12,3.85,1.62,-3.41
배당결정,006040,20180207,20180208,KOSPI,0.9,-4.95,-2.59,-5.26,-2.28
배당결정,010660,20180207,20180208,KOSPI,0.5,-6.92,-8.2,-10.12,-16.07
배당결정,012800,20180207,20180208,KOSPI,9.2,-3.34,-3.34,-5.51,-12.0
배당결정,013570,20180207,20180208,KOSPI,4.3,-5.99,-4.28,-3.51,-9.4
배당결정,034230,20180207,20180208,KOSPI,507.6,1.51,-9.81,-3.68,5.99
배당결정,036530,20180207,20180208,KOSPI,5.3,-5.15,-3.17,-5.15,-10.78
배당결정,069260,20180207,20180208,KOSPI,20.3,5.01,6.03,1.96,-0.27
배당결정,064960,20180207,20180208,KOSPI,43.1,-7.8,-9.04,-15.85,-23.69
배당결정,055550,20180207,20180208,KOSPI,505.7,-1.81,-3.15,-7.65,-8.37
배당결정,047400,20180207,20180208,KOSPI,4.9,4.4,2.21,2.01,0.61
배당결정,042700,20180207,20180208,KOSPI,43.0,7.12,7.58,1.61,-4.81
배당결정,129260,20180207,20180208,KOSPI,3.0,9.18,18.91,17.82,4.79
배당결정,145990,20180207,20180208,KOSPI,35.5,-5.76,-7.14,-11.38,-9.79
배당결정,036570,20180207,20180208,KOSPI,612.0,-0.26,-4.58,-0.13,-2.11
배당결정,229640,20180207,20180208,KOSPI,22.4,-0.97,0.33,2.77,-2.26
자사주신탁,068240,20180207,20180208,KOSDAQ,215.5,6.27,5.71,6.27,-10.58
자사주신탁,090460,20180207,20180208,KOSPI,408.6,7.42,2.58,7.68,11.45
배당결정,210540,20180207,20180208,KOSPI,57.6,-3.84,-9.45,-16.18,-23.8
배당결정,013120,20180207,20180208,KOSDAQ,11.2,0.98,-1.39,-3.03,-3.13
배당결정,023910,20180207,20180208,KOSDAQ,46.9,3.44,2.97,-1.46,9.51
배당결정,007770,20180207,20180208,KOSDAQ,0.9,-6.03,-3.75,-5.27,-6.03
배당결정,007330,20180207,20180208,KOSDAQ,2.0,-1.61,-4.5,-5.49,-4.62
배당결정,241560,20180207,20180208,KOSPI,74.3,0.24,-2.49,-8.07,-8.22
배당결정,013030,20180207,20180208,KOSDAQ,4.7,-1.68,-6.38,-4.62,-7.95
배당결정,003490,20180208,20180209,KOSPI,158.9,2.38,-1.97,-3.57,3.83
배당결정,002460,20180208,20180209,KOSPI,8.9,2.72,1.74,-0.86,-5.08
배당결정,097950,20180208,20180209,KOSPI,214.9,-2.93,4.72,-2.18,-2.03
배당결정,002020,20180208,20180209,KOSPI,37.2,1.5,-0.32,-5.23,-6.68
배당결정,001450,20180208,20180209,KOSPI,94.7,-2.51,-2.03,-7.63,-15.38
배당결정,000990,20180208,20180209,KOSPI,146.7,1.27,3.25,1.93,-10.94
배당결정,000400,20180208,20180209,KOSPI,48.9,-0.68,-3.78,0.79,-13.22
배당결정,000150,20180208,20180209,KOSPI,50.5,-0.95,-5.15,-2.82,-4.22
배당결정,002380,20180208,20180209,KOSPI,79.2,-1.43,-0.89,-4.84,-1.3
배당결정,120110,20180208,20180209,KOSPI,169.2,3.0,2.57,-3.05,-8.26
배당결정,114090,20180208,20180209,KOSPI,94.0,-5.1,-10.29,-6.44,-6.06
배당결정,003690,20180208,20180209,KOSPI,29.9,-0.67,0.59,-0.67,-6.18
배당결정,126560,20180208,20180209,KOSPI,6.7,1.68,5.72,4.06,3.58
배당결정,134380,20180208,20180209,KOSPI,0.7,-2.39,0.9,-0.49,-4.12
배당결정,139130,20180208,20180209,KOSPI,91.2,1.2,5.82,-0.48,-6.78
배당결정,143210,20180208,20180209,KOSPI,13.6,0.97,-0.42,-5.97,-12.73
배당결정,175330,20180208,20180209,KOSPI,34.9,2.33,1.54,-0.05,-4.96
배당결정,180640,20180208,20180209,KOSPI,144.5,0.55,-3.65,-3.18,8.73
배당결정,210980,20180208,20180209,KOSPI,10.2,-6.7,-3.63,-2.01,-8.65
배당결정,214420,20180208,20180209,KOSPI,29.7,5.63,5.92,2.48,6.49
배당결정,264900,20180208,20180209,KOSPI,4.7,2.03,-0.47,-5.47,-10.11
배당결정,105560,20180208,20180209,KOSPI,693.7,10.42,5.93,1.95,-3.2
배당결정,004690,20180208,20180209,KOSPI,9.4,8.43,2.75,6.68,-5.98
배당결정,006360,20180208,20180209,KOSPI,232.5,3.28,-1.05,-4.71,10.93
배당결정,005740,20180208,20180209,KOSPI,15.8,2.19,2.53,-2.93,-4.98
배당결정,095720,20180208,20180209,KOSPI,18.5,-4.17,-2.16,0.83,-4.44
배당결정,079550,20180208,20180209,KOSPI,67.5,-3.96,-5.61,-11.12,-13.15
배당결정,079160,20180208,20180209,KOSPI,150.1,4.6,0.19,-3.64,5.73
배당결정,078000,20180208,20180209,KOSPI,20.6,4.43,0.05,3.33,19.76
배당결정,071840,20180208,20180209,KOSPI,37.2,-0.97,-2.86,6.88,7.17
배당결정,069960,20180208,20180209,KOSPI,122.5,-5.95,-5.64,-2.13,-6.67
배당결정,035150,20180208,20180209,KOSPI,8.2,-0.56,7.6,3.75,-4.11
배당결정,034830,20180208,20180209,KOSPI,49.8,3.27,3.09,1.04,-0.34
배당결정,034020,20180208,20180209,KOSPI,138.6,2.66,1.64,1.64,0.31
배당결정,025000,20180208,20180209,KOSPI,2.2,-5.53,-5.95,-5.67,-17.17
배당결정,005440,20180208,20180209,KOSPI,43.1,-0.67,-1.01,-3.03,0.67
배당결정,023530,20180208,20180209,KOSPI,339.6,-12.1,-13.98,-8.54,5.69
배당결정,017940,20180208,20180209,KOSPI,3.4,4.05,3.7,3.35,3.18
배당결정,017390,20180208,20180209,KOSPI,0.5,-4.55,-4.76,-4.87,-6.72
배당결정,016880,20180208,20180209,KOSPI,8.6,0.74,14.78,19.2,19.4
배당결정,015890,20180208,20180209,KOSPI,1.7,-2.88,-1.37,6.57,6.38
배당결정,015360,20180208,20180209,KOSPI,19.4,-6.71,-5.92,-5.25,-9.06
배당결정,014790,20180208,20180209,KOSPI,3.0,-2.7,-1.94,-4.84,4.0
배당결정,014680,20180208,20180209,KOSPI,59.9,1.45,3.93,2.14,-6.27
배당결정,014280,20180208,20180209,KOSPI,0.7,-4.52,-5.13,-9.84,-14.86
배당결정,011760,20180208,20180209,KOSPI,14.4,-2.71,-1.14,-6.9,-4.54
배당결정,011170,20180208,20180209,KOSPI,554.8,11.89,15.23,9.29,5.2
배당결정,009450,20180208,20180209,KOSPI,90.9,-1.76,-2.72,-3.68,0.96
배당결정,006110,20180208,20180209,KOSPI,0.3,-0.1,0.98,8.08,2.83
배당결정,020000,20180208,20180209,KOSPI,22.5,-5.6,-5.93,-7.24,8.01
배당결정,018670,20180208,20180209,KOSPI,26.1,-1.21,-0.57,1.89,4.56
배당결정,004650,20180208,20180209,KOSDAQ,10.7,-1.18,-0.59,-2.94,-2.06
배당결정,092870,20180208,20180209,KOSDAQ,7.8,5.0,13.5,9.05,-7.14
배당결정,089030,20180208,20180209,KOSDAQ,30.7,6.02,6.85,15.66,1.06
배당결정,264450,20180208,20180209,KOSDAQ,9.0,8.29,6.87,8.76,3.55
배당결정,241770,20180208,20180209,KOSDAQ,25.2,-4.11,-3.7,-0.48,0.46
배당결정,238090,20180208,20180209,KOSDAQ,3.3,5.37,2.18,-1.6,-9.79
배당결정,170920,20180208,20180209,KOSDAQ,12.3,3.53,18.82,16.86,6.27
배당결정,149950,20180208,20180209,KOSDAQ,2.8,-4.26,-3.2,6.99,1.56
공급계약,192390,20180208,20180209,KOSDAQ,3.5,2.36,1.01,3.15,-2.27
