date,ticker,name,close,change,volume,indiv,organ,frgn,foreign_ratio,open,high,low,amount,marcap,shares,market
20120601,000020,동화약품,5140,150,102050,-5330,,5330,4.16015625,5010,5180,4990,519906130,143567755800,27931470,KOSPI
20120601,000040,S&T모터스,609,-2,350694,-14540,,14520,0.1700439453125,606,617,606,214370943,72678899811,119341379,KOSPI
20120601,000050,경방,88000,499,275,115,,-115,1.23046875,86900,88900,85700,24040900,183040000000,2080000,KOSPI
20120601,000060,메리츠화재,11800,99,110103,-10520,30610,-20470,12.9609375,11600,11800,11400,1275757700,1141060000000,96700000,KOSPI
20120601,000070,삼양홀딩스,51800,-698,2880,956,40,-996,10.5,52600,52600,51500,149144000,298170434800,5756186,KOSPI
20120601,000075,삼양홀딩스우,28100,-99,10,0,,,7.75,28100,28100,28100,281000,6250002000,222420,KOSPI
20120601,000080,하이트진로,20300,-201,121520,23785,-39330,16445,19.84375,20350,20550,20200,2466957350,1410397594200,69477714,KOSPI
20120601,000087,하이트진로2우B,16000,0,2446,790,200,-1000,53.90625,16100,16200,16000,39174500,18082208000,1130138,KOSPI
20120601,000100,유한양행,123500,8004,56421,-21544,30419,-8513,33.78125,115500,123500,115000,6820928000,1377339431000,11152546,KOSPI
20120601,000105,유한양행우,87800,-4205,11,0,,,5.1015625,86500,87900,86500,956600,20737306400,236188,KOSPI
20120601,000120,CJ대한통운,66400,3900,57155,-20065,23983,-3891,2.669921875,63000,66400,62500,3704018100,1514739641600,22812344,KOSPI
20120601,000140,하이트진로홀딩스,9000,-30,24132,3014,-10,-3004,4.671875,9010,9090,8980,218178300,208860885000,23206765,KOSPI
20120601,000145,하이트진로홀딩스우,7700,0,667,30,,-30,66.625,7570,7770,7520,5051500,3625237000,470810,KOSPI
20120601,000150,두산,121500,-3500,135164,30828,-44634,23439,14.7421875,124500,125500,121500,16570366000,2517502234500,20720183,KOSPI
20120601,000155,두산우,38400,50,631,-390,250,140,6.37890625,39500,39500,38400,24697400,169385241600,4411074,KOSPI
20120601,000157,두산2우B,37050,-549,160,0,,,0.01000213623046875,37800,37800,37050,5994500,36519629250,985685,KOSPI
20120601,000180,성창기업지주,19050,0,25505,170,-600,430,2.259765625,18800,19250,18800,484886250,114300000000,6000000,KOSPI
20120601,000210,대림산업,94800,-4895,398749,156996,-120264,-28981,36.03125,98800,98800,93600,37991140000,3299040000000,34800000,KOSPI
20120601,000215,대림산업우,23500,-699,1722,300,-420,120,20.203125,24050,24150,23150,40534350,89300000000,3800000,KOSPI
20120601,000220,유유제약,5270,80,350,0,,0,10.5625,5190,5300,5190,1843500,30731741500,5831450,KOSPI
20120601,000225,유유제약1우,2250,30,1380,0,,,17.3125,2220,2250,2200,3085050,2550296250,1133465,KOSPI
20120601,000227,유유제약2우B,5050,0,999,0,,,0.0,5010,5200,4975,5055700,828604000,164080,KOSPI
20120601,000230,일동제약,6750,-270,145964,-90,,270,13.4609375,6990,6990,6680,986185060,169209438750,25068065,KOSPI
20120601,000240,한국타이어,47200,-299,459261,-33353,204521,-171658,34.53125,47000,47600,46500,21641810150,7183364648800,152189929,KOSPI
20120601,000250,삼천당제약,2000,0,58931,1833,,-1833,4.37890625,2000,2010,1955,117147275,40000000000,20000000,KOSDAQ
20120601,000270,기아차,79400,-802,1114228,10758,132325,-132516,31.734375,79800,80200,78600,88535597700,32185849751800,405363347,KOSPI
20120601,000300,대유신소재,1850,-25,2044574,43020,,-43810,1.8798828125,1900,1920,1850,3852363805,113468939700,61334562,KOSPI
20120601,000320,노루홀딩스,7490,70,11460,-670,-230,900,2.33984375,7420,7490,7300,85013600,98857596390,13198611,KOSPI
20120601,000325,노루홀딩스우,9240,0,0,0,,,1.1103515625,0,0,0,0,1711710000,185250,KOSPI
20120601,000327,노루홀딩스2우B,9270,-80,290,0,,,1.25,9350,9790,9160,2682000,857845800,92540,KOSPI
20120601,000360,삼환기업,3900,-50,12030,2280,,-2280,8.1015625,3900,3900,3855,46791150,46118650500,11825295,KOSPI
20120601,000365,삼환기업우,2880,65,500,0,,,11.1015625,2800,2950,2735,1383400,4176558720,1450194,KOSPI
20120601,000370,한화손해보험,5890,-20,9170,-690,500,190,1.83984375,5970,5980,5890,54158400,287072209350,48738915,KOSPI
20120601,000390,삼화페인트,3790,35,9380,420,,-420,14.96875,3755,3825,3725,35480900,84896000000,22400000,KOSPI
