date,ticker,name,open,high,low,close,volume,frgn,grp,srd,KP5,KP20,KP60,KPok,KQ5,KQ20,KQ60,KQok,vm1,vm3,a40,a240,r16,rw1,su1,amt,amt20,fw5,fw60,ret3,ret10,ret20,ret60,gap,y,dil,cost,buy,f10,f20,f10t,up,sret60,r,F
20190620,000250,삼천당제약,39750,42700,39700,42650,496964.0,90909.0,생존,True,True,True,False,True,True,True,False,True,496964.0,333108.0,159507.5,331187.42083333334,48.1623062852591,208.83532122313997,3.231986628881551,67.9127569625,66.443903425,9.260077185411522,-0.4563993321063928,7.43073047858942,6.624999999999992,4.4063647490820035,-11.697722567287784,1.0550996483001063,2019,False,0.6799999999999999,43100.0,-13.57308584686775,-17.74941995359629,-13.57308584686775,의약품 제조업,-4.324424160255243,-14.25308584686775,P1형 상승초입
20250924,000250,삼천당제약,251000,254500,236500,236500,293315.0,-17312.0,생존,True,True,True,True,True,False,True,True,True,293315.0,455271.3333333333,187516.85,395801.32083333336,47.376509407597666,242.7895590894009,1.6631039996371182,378.201382325,400.5219861,10.857304931387121,2.442263284543031,4.185022026431717,10.772833723653385,21.84441009788769,63.78116343490306,1.9027484143763207,2025,False,0.48,241000.0,-17.26141078838175,-8.713692946058094,-17.26141078838175,의약품 제조업,5.140407595855139,-17.74141078838175,P1형 상승초입
20260108,000250,삼천당제약,258000,270000,244500,245000,295148.0,-34421.0,생존,True,True,True,True,True,False,True,True,True,295148.0,309186.6666666667,150298.95,313919.4083333333,47.87819612618728,205.71445553456408,1.4672541357061435,340.887149875,491.891692,3.2768781460373173,1.5310378452348272,-3.3530571992110403,4.477611940298498,17.78846153846154,20.68965517241379,-1.6326530612244872,2026,False,0.48,241000.0,31.327800829875518,106.01659751037343,20.0,의약품 제조업,2.4079132331526583,19.52,P1형 상승초입
20201120,007390,네이처셀,9220,10100,9200,10000,2880314.0,336391.0,생존,True,True,True,True,True,True,True,True,True,2880314.0,1263650.0,516603.25,2469585.6,20.91862092166394,244.60744294581963,6.915210989377186,49.568400865,51.810218775,9.536341304342086,0.6109354797633934,9.769484083424818,7.642626480086112,6.7235859124866515,-3.3816425120772986,0.0,2020,True,0.6799999999999999,10000.0,-2.500000000000002,-2.200000000000002,-2.500000000000002,기초 의약물질 제조업,7.491907084479118,-3.1800000000000024,P1형 상승초입
20201124,007390,네이처셀,9630,9840,9560,9610,588976.0,7711.0,생존,True,True,True,True,True,True,True,True,True,588976.0,1502037.0,508242.9,2465341.8208333333,20.615514477753194,295.5352647326701,1.013944979967315,48.5334711775,56.02761427,4.013792780057847,0.5640195649282128,4.570184983677916,3.55603448275863,4.570184983677916,-15.701754385964916,0.20811654526535772,2020,False,0.6799999999999999,9630.0,1.1422637590861928,-0.9345794392523366,1.1422637590861928,기초 의약물질 제조업,0.2954749360150534,0.4622637590861929,P1형 상승초입
20220725,007390,네이처셀,26050,28150,20800,22050,4492103.0,-158490.0,생존,True,True,True,False,True,True,True,False,True,4492103.0,2085268.0,594419.175,1669110.5875,35.61292939195379,350.807660267689,6.015316073708965,118.0545281625,209.08239475,3.431056443656857,1.6969109684165529,-14.534883720930235,16.052631578947363,20.163487738419626,36.956521739130444,0.0,2022,True,0.48,22050.0,2.4943310657596474,5.442176870748305,2.4943310657596474,기초 의약물질 제조업,-8.405582722469228,2.0143310657596474,P1형 상승초입
20230914,007390,네이처셀,8380,8400,8000,8220,593946.0,74106.0,생존,True,True,True,False,True,False,False,False,True,593946.0,1150060.0,531789.325,1302567.5416666667,40.82623802521308,216.2623328326495,1.0981663207621302,40.79053477,42.03945341,9.137011093772335,1.275624576610419,7.874015748031504,6.6147859922178975,5.927835051546393,6.20155038759691,0.0,2023,True,0.8799999999999999,8220.0,-8.63746958637469,-13.625304136253035,-8.63746958637469,기초 의약물질 제조업,10.29124429682861,-9.517469586374691,P1형 상승초입
20231120,007390,네이처셀,7370,8440,7290,8200,3240136.0,218114.0,생존,True,True,True,True,True,True,True,False,True,3240136.0,1194767.0,360720.825,1238059.175,29.135992227512062,331.2165301240925,13.075830986643036,27.465963065,30.062829075,9.503235289904442,-0.4004072761952594,12.328767123287676,9.333333333333327,16.31205673758864,3.6662452591656125,-0.4878048780487809,2023,False,0.8799999999999999,8160.0,-4.5343137254901915,-11.887254901960787,-4.5343137254901915,기초 의약물질 제조업,-8.658087815647146,-5.414313725490191,P1형 상승초입
20231121,007390,네이처셀,8160,8340,8130,8290,795921.0,24461.0,생존,True,True,True,True,True,True,True,False,True,795921.0,1397472.0,350567.325,1238333.9375,28.309595205614723,398.6315609990178,2.0225657904182617,26.591906105,31.8875287,7.646698498460765,-0.5201802279254502,12.330623306233068,14.344827586206899,13.873626373626369,5.874840357598976,-0.965018094089265,2023,False,0.8799999999999999,8210.0,-3.7758830694275325,-11.571254567600487,-3.7758830694275325,기초 의약물질 제조업,-8.022804850383372,-4.655883069427532,P1형 상승초입
20231122,007390,네이처셀,8210,8420,8010,8310,596606.0,18695.0,생존,True,True,True,True,True,True,True,False,True,596606.0,1544221.0,336955.35,1238723.0791666666,27.20183030953794,458.28653558995285,1.444343289784376,25.386605445,33.501830695,6.378701454018504,-0.03441722331554557,15.096952908587259,14.620689655172402,14.937759336099576,10.066225165562903,-2.2864019253910906,2023,False,0.8799999999999999,8120.0,-3.817733990147787,-2.7093596059113323,-3.817733990147787,기초 의약물질 제조업,-8.703460398975153,-4.697733990147787,P1형 상승초입
20240322,007390,네이처셀,7510,8280,7510,8140,1430054.0,332730.0,생존,True,True,True,True,True,True,True,True,True,1430054.0,690280.6666666666,304148.225,1102134.0458333334,27.596300663231105,226.95534937501827,4.68757431614397,22.755821245,27.0805423,15.591460847096428,1.893927336522185,10.000000000000009,12.12121212121211,12.430939226519344,6.824146981627299,0.0,2024,False,0.8799999999999999,8140.0,4.668304668304679,7.248157248157239,20.0,기초 의약물질 제조업,4.7963487561062825,19.12,P1형 상승초입
20240325,007390,네이처셀,8140,8210,8010,8140,484648.0,-56222.0,생존,True,True,True,True,True,True,True,True,True,484648.0,722612.0,310135.175,1100235.2916666667,28.188077345728356,232.99904630295484,1.3374165663450626,23.20646644,28.21452224,8.80253831149044,1.280805892304556,8.67823765020026,12.586445366528354,12.898751733703184,3.168567807351086,0.0,2024,False,0.8799999999999999,8140.0,7.739557739557745,6.87960687960687,20.0,기초 의약물질 제조업,5.0375974810529325,19.12,P1형 상승초입
20240326,007390,네이처셀,8140,8380,8010,8370,572306.0,4007.0,생존,True,True,True,True,True,True,True,True,True,572306.0,829002.6666666666,311526.8,1099464.05,28.334423485697414,266.10958243934925,1.526237041088628,23.307597955,29.982392675,9.789033555896868,1.5369739495442512,11.898395721925127,16.41168289290682,17.062937062937067,5.815423514538565,0.2389486260454099,2024,False,0.8799999999999999,8390.0,2.2646007151370773,3.0989272943980906,20.0,기초 의약물질 제조업,4.1921896849881914,19.12,P1형 상승초입
20260428,009520,포스코엠텍,20800,23100,20750,21450,2808720.0,145882.0,생존,True,True,True,True,True,True,True,True,True,2808720.0,1282736.6666666667,281473.275,610684.4166666666,46.091445486096006,455.7223653530399,7.555305629667308,51.77181725,92.800187135,3.938271704593298,3.345697081329799,7.626693426994491,19.034406215316313,24.709302325581394,4.88997555012225,-0.9324009324009341,2026,False,0.6799999999999999,21250.0,-8.329411764705885,-21.74117647058823,-8.329411764705885,1차 철강 제조업,20.757432616607087,-9.009411764705884,P1형 상승초입
