ticker,factor,raw,adj
013520,0.6122137404580152,2620.0,1604.0
013700,0.1,10100.0,1010.0
014130,0.1,44400.0,4440.0
014280,0.2,28700.0,5740.0
014285,0.2,36900.0,7380.0
014990,5.0,1045.0,5225.0
015020,2.0,824.0,1648.0
015230,0.07010204081632652,58800.0,4122.0
015260,6.206659012629162,871.0,5406.0
015360,0.2,37900.0,7580.0
015590,3.5691318327974275,622.0,2220.0
016380,3.333288409703504,7420.0,24733.0
016590,0.1,34850.0,3485.0
016740,0.6740066225165563,6040.0,4071.0
017670,0.17253558052434456,267000.0,46067.0
017800,0.6669117647058823,54400.0,36280.0
017810,0.1,172000.0,17200.0
019490,0.7044524669073405,4155.0,2927.0
020560,4.772657111356119,4535.0,21644.0
020760,0.8036363636363636,7700.0,6188.0
021820,1.1508361204013378,14950.0,17205.0
023450,0.3641580756013746,58200.0,21194.0
023960,0.5001367989056088,3655.0,1828.0
024720,0.500343137254902,40800.0,20414.0
024890,5.0,2575.0,12875.0
025560,97.64383561643835,219.0,21384.0
025620,14.032307692307691,14950.0,209783.0
025750,5.0,1420.0,7100.0
027740,9.499227202472952,647.0,6146.0
027970,4.248322147651007,1490.0,6330.0
031430,0.2,74100.0,14820.0
031820,6.564315352697095,1205.0,7910.0
032560,0.8242222222222222,9000.0,7418.0
033250,4.61577350859454,989.0,4565.0
034020,0.7650814332247557,15350.0,11744.0
035420,0.200283908045977,870000.0,174247.0
035510,0.1,82400.0,8240.0
035720,0.2007153284671533,137000.0,27498.0
037710,0.2,229500.0,45900.0
042700,0.5,11850.0,5925.0
044380,10.0,525.0,5250.0
049800,0.5,8600.0,4300.0
051630,0.8393873085339169,2285.0,1918.0
058430,0.1,28500.0,2850.0
064960,0.5509711846318036,46850.0,25813.0
069460,3.8620689655172415,1160.0,4480.0
069640,1.7821848739495798,11900.0,21208.0
071090,0.1,22400.0,2240.0
071950,10.382882882882884,1110.0,11525.0
071970,7.753311617806732,4605.0,35704.0
074610,10.0,6250.0,62500.0
075580,0.675177304964539,2820.0,1904.0
077500,0.5,9660.0,4830.0
079160,0.6337735849056604,74200.0,47026.0
081660,0.2,81600.0,16320.0
082740,0.5468113975576662,3685.0,2015.0
083420,0.8332947976878613,4325.0,3604.0
084010,0.6667370644139388,9470.0,6314.0
084670,0.8344345238095238,33600.0,28037.0
085310,10.0,1260.0,12600.0
086280,0.5001911764705882,136000.0,68026.0
089590,0.7647807637906647,35350.0,27035.0
090370,5.0,3460.0,17300.0
092220,4.651162790697675,1290.0,6000.0
093240,0.809452201933405,4655.0,3768.0
095720,1.5908321579689704,7090.0,11279.0
096760,0.859378733572282,8370.0,7193.0
097230,11.182477341389728,3310.0,37014.0
100840,0.35322981366459627,16100.0,5687.0
101140,25.053007518796992,2660.0,66641.0
104700,0.2,37750.0,7550.0
109070,1.734,3500.0,6069.0
112610,0.47450381679389314,26200.0,12432.0
118000,8.883522727272727,3520.0,31270.0
119650,1.4747390396659708,4790.0,7064.0
123890,0.8286874154262517,7390.0,6124.0
134380,0.1,58800.0,5880.0
145210,86.43781094527363,2010.0,173740.0
181710,0.5216374269005848,68400.0,35680.0
183190,0.1,110000.0,11000.0
185750,0.6878339350180506,138500.0,95265.0
194370,0.5,12800.0,6400.0
204320,0.2,308500.0,61700.0
207940,1.4545148247978437,371000.0,539625.0
210980,0.3856166419019316,33650.0,12976.0
214320,0.5,73200.0,36600.0
214330,9.072560975609756,4920.0,44637.0
214390,0.7338645418326694,12550.0,9210.0
234080,0.5,42100.0,21050.0
241590,0.5,24000.0,12000.0
267250,0.2,381000.0,76200.0
267260,0.4329561403508772,114000.0,49357.0
267270,0.5018224852071006,169000.0,84808.0
267290,0.8007448275862069,36250.0,29027.0
271980,0.714621578099839,62100.0,44378.0
900140,0.5350951374207188,4730.0,2531.0
000250,1.0,15450.0,15450.0
000440,0.2,29300.0,5860.0
001840,1.370509977827051,4510.0,6181.0
002680,4.935828877005347,1870.0,9230.0
003800,0.2,195500.0,39100.0
004590,0.1,35600.0,3560.0
005670,0.8002055498458376,4865.0,3893.0
006050,10.0,1130.0,11300.0
006140,0.6666666666666666,7770.0,5180.0
006730,0.7716030534351145,13100.0,10108.0
007530,0.5966360856269113,3270.0,1951.0
007720,5.314112291350531,3295.0,17510.0
008290,2.0,3315.0,6630.0
008470,0.5,5150.0,2575.0
008830,0.06467889908256881,21800.0,1410.0
009730,151.15185185185186,1080.0,163244.0
009780,0.5,10050.0,5025.0
010240,0.5,7060.0,3530.0
010280,4.06412213740458,1310.0,5324.0
011040,0.5009865470852017,22300.0,11172.0
011080,22.222317596566523,1165.0,25889.0
012340,11.735238095238095,1050.0,12322.0
012790,0.6630327868852459,12200.0,8089.0
012860,0.8516268980477223,2305.0,1963.0
013310,0.6085616438356164,5840.0,3554.0
013720,2.43609022556391,2660.0,6480.0
014100,2.016115702479339,12100.0,24395.0
