date,ticker,name,close,change,volume,indiv,organ,frgn,foreign_ratio,open,high,low,amount,marcap,shares,market
20130701,000020,동화약품,6860,220,111717,-2350,5820,-4130,7.76953125,6620,6900,6610,760895350,191609884200,27931470,KOSPI
20130701,000040,S&T모터스,431,-16,178332,-4770,,4770,0.1199951171875,447,449,431,78060968,51436134349,119341379,KOSPI
20130701,000050,경방,132000,2002,1134,-802,211,611,1.2998046875,133000,133000,129500,148245500,328983336000,2492298,KOSPI
20130701,000060,메리츠화재,12550,-150,286322,95100,-89780,-6150,17.296875,12800,12950,12550,3643133700,1271676440000,101328800,KOSPI
20130701,000070,삼양홀딩스,83900,-2800,7479,2092,-3973,1881,10.328125,85200,87900,83900,640022700,685502013500,8170465,KOSPI
20130701,000075,삼양홀딩스우,32500,-502,1540,0,,,17.578125,33000,33000,32000,49995000,9881885000,304058,KOSPI
20130701,000080,하이트진로,30200,-1002,142148,9100,12390,-21500,19.09375,30800,31400,30200,4383983750,2098226962800,69477714,KOSPI
20130701,000087,하이트진로2우B,19900,0,700,300,,-300,51.90625,19950,20000,19900,13956500,22489746200,1130138,KOSPI
20130701,000100,유한양행,179000,-5005,29978,12441,-12441,-76,26.734375,182000,185000,179000,5414169000,1996305734000,11152546,KOSPI
20130701,000105,유한양행우,96400,803,19,0,,,4.328125,90500,96500,90500,1823500,22768523200,236188,KOSPI
20130701,000120,CJ대한통운,98200,2805,61454,-11215,6325,-51,2.689453125,94000,98800,93700,5937939500,2240172180800,22812344,KOSPI
20130701,000140,하이트진로홀딩스,13050,0,21961,1430,260,-1690,6.4609375,13000,13300,12750,286760500,302848283250,23206765,KOSPI
20130701,000145,하이트진로홀딩스우,7750,-180,4170,0,,,30.6875,7850,7850,7580,31895500,3648777500,470810,KOSPI
20130701,000150,두산,127000,-1503,39934,8159,-3497,-4717,14.9375,127500,129500,127000,5099542500,2651800767000,20880321,KOSPI
20130701,000155,두산우,53300,-397,14339,-319,0,191,9.7109375,54900,54900,53200,764405800,235110244200,4411074,KOSPI
20130701,000157,두산2우B,52700,702,5,0,,,0.0,52000,52700,52000,261700,51945599500,985685,KOSPI
20130701,000180,성창기업지주,22450,-49,4412,360,,-360,3.650390625,22500,22650,22200,99114400,129652342000,5775160,KOSPI
20130701,000210,대림산업,86300,-503,114414,-2940,-21566,17231,40.625,85600,87400,85300,9893292100,3003240000000,34800000,KOSPI
20130701,000215,대림산업우,28050,0,1366,-260,620,-360,24.0,28350,28350,27850,38290300,106590000000,3800000,KOSPI
