date,ticker,name,ret3,ret10,ret20,fw5,fw60,amt20,r
20240806,003380,하림지주,-7.614213197969544,-5.2083333333333375,-8.080808080808078,8.410356464802826,-10.909107882592863,8.982106145,5.409552238805963
20251014,007720,소노스퀘어,-7.219251336898392,-12.57751937984496,1.302492701549518,51.55021432140321,-3.1272843485529824,4.8003341235,-8.729434715140767
20240806,007820,엠엑스로보틱스,-12.340425531914889,-15.400410677618071,-17.764471057884236,3.772389661407183,-1.0522073486922456,2.9407651775,9.104313725490202
20241206,017890,한국알콜,-5.978898007033995,-7.17592592592593,-12.73122959738846,4.734958161516368,-1.0872406392883809,2.940905215,2.3860736975857595
20241209,017890,한국알콜,-9.603841536614643,-12.847222222222221,-16.70353982300885,3.4868039145552734,-1.1344346723206908,3.19791813,9.832717536813933
20241210,017890,한국알콜,-7.617896009673519,-11.574074074074069,-14.63687150837989,8.776857629041407,0.619515677668698,3.33617277,8.346385224274414
20230727,019550,SBI인베스트먼트,-8.396124865446719,-14.72945891783567,-19.106463878326995,17.6856495319485,3.897956106775423,6.844944405,5.811082045184294
20220923,031330,에스에이엠티,-5.039370078740157,-9.323308270676689,-13.857142857142858,4.182559666208461,-0.0581344527123538,5.7335337475,-13.653018549747049
20220926,031330,에스에이엠티,-9.615384615384615,-14.155251141552515,-20.33898305084746,3.643741136634826,0.2557740474216519,6.1241490775,-9.593669064748196
20220927,031330,에스에이엠티,-6.456953642384111,-16.047548291233284,-20.4225352112676,5.802161337064607,2.1671297322375156,6.663231165,-13.266452762923349
20220928,031330,에스에이엠티,-9.121061359867333,-17.34539969834088,-20.69464544138929,8.17379587732529,2.8181207643414123,7.0155758025,-6.77090909090909
20220930,031330,에스에이엠티,-6.548672566371683,-17.370892018779337,-24.67902995720399,17.152542338646555,4.189411483393971,7.70914506,-1.8662197392923703
20240805,032190,다우데이타,-12.297181895815545,-7.058823529411762,-8.953900709219853,16.14470462638002,-6.344982854057273,6.29364712,7.839230769230781
20240806,032190,다우데이타,-7.979626485568758,-0.45913682277318735,-3.644444444444439,16.83673560997682,-5.734507833437379,6.84480251,4.180465116279068
20240807,032190,다우데이타,-6.015693112467302,-0.5535055350553542,-3.5778175313059046,9.466319307236079,-5.433672201133195,7.04621848,3.6330929791271434
20220616,033130,디지틀조선,-9.561752988047811,-22.789115646258505,-26.17886178861789,12.387770904612495,1.8148032614221519,5.8584921825,-6.59071428571429
20220617,033130,디지틀조선,-7.786885245901642,-22.010398613518202,-26.108374384236456,14.936893029951806,2.6579366793101062,5.84790765,-8.77534368070953
20220620,033130,디지틀조선,-5.895196506550215,-25.30329289428076,-27.563025210084035,12.630496859909341,1.561833762544713,5.89598201,-4.027417840375588
20240806,033290,로젠,-11.553030303030297,-9.845559845559848,-11.886792452830186,9.76239568341484,-0.15288540585008073,3.1876894725,2.4958241758241835
20240807,033290,로젠,-8.481262327416172,-11.281070745697896,-11.111111111111116,10.84812260125969,0.4609455360731542,3.2147276225,-0.3812987012987119
20240912,033640,네패스,-5.61797752808989,-15.492957746478876,-24.2560865644725,29.051571365223914,8.269194044127627,8.18063721,1.891428571428581
20240806,036540,SFA반도체,-16.281512605042014,-17.15176715176715,-25.791433891992554,13.279024679826378,3.519564546141533,34.40596582,4.316451204055763
20240807,036540,SFA반도체,-9.539842873176207,-15.513626834381554,-22.944550669216056,11.982020207667444,3.3721635154878338,34.51217424,4.323045685279184
20240806,036560,KZ정밀,-13.82268827454719,-13.740458015267176,-18.99641577060932,11.220043723806214,-2.7603659974996932,5.769993325,3.659265850945485
20240807,036560,KZ정밀,-6.114398422090728,-8.986615678776289,-14.69534050179212,12.371044139079741,-2.2754106714216364,6.154520185,-2.4160672975814883
20220616,038880,아이에이,-7.488986784140971,-12.225705329153602,-13.4020618556701,95.62427942024212,-0.020936021070425154,15.719972725,-9.054999999999998
20220617,038880,아이에이,-7.8677309007981755,-15.65762004175365,-18.13576494427558,62.46184067319689,9.100161839550577,15.811935375,-11.947326732673265
20240806,042600,새로닉스,-14.84375,-19.150370869858392,-33.16610925306578,17.138613433058225,0.6527682918849851,2.821068555,13.552358003442336
20240807,042600,새로닉스,-14.4640234948605,-20.369104579630893,-34.62401795735129,16.416823838454366,0.6491194355104808,2.93778419,19.353868092691634
20220517,046210,HLB파나진,-5.135135135135139,-13.970588235294112,-12.686567164179108,2.516123663296301,-2.7861588528397347,2.0980330975,-3.3749152542372833
20250325,046210,HLB파나진,-8.842105263157896,-17.366412213740457,-30.048465266558967,7.759907743408383,1.8212248324642677,6.5119866175,-10.682320185614854
20240806,046440,KG파이낸셜,-12.027833001988075,-12.376237623762377,-12.376237623762377,7.910214464470651,2.019343806091486,4.54007967,4.856697247706425
20240807,046440,KG파이낸셜,-9.586276488395562,-11.111111111111116,-11.287128712871286,5.923868449648504,2.063876255439556,4.622496145,1.8149267192784684
20230510,047820,초록뱀미디어,-22.51655629139073,-21.739130434782606,-20.408163265306122,2.3571037108974817,-1.8680199127743744,24.7002127875,2.4678893740902517
20230511,047820,초록뱀미디어,-25.082508250825086,-25.164835164835164,-23.13769751693002,3.6058175017992244,-0.8480382644177488,25.2112458075,2.2037004405286362
20241210,048530,인트론바이오,-10.88180112570356,-15.630550621669625,-18.244406196213426,4.035170516457384,-2.533498855653611,6.66598616,17.89894736842105
20220617,049180,셀루메드,-6.958473625140293,-21.49621212121212,-24.361313868613145,5.797484066992737,0.9954993097808498,6.757246315,5.798890229191793
20220620,049180,셀루메드,-5.945303210463737,-24.088291746641076,-25.657894736842103,2.3577375753859773,-0.40933688712155486,6.895433,4.330230179028131
20250822,049180,셀루메드,-5.785123966942152,-36.098654708520186,-36.94690265486725,2.7744805003762387,-0.6668735011598449,3.8109149785,4.811228070175437
20240806,050890,쏠리드,-14.056603773584907,-6.850715746421265,-11.20857699805068,10.569088613215001,1.1442880572158758,14.66986251,4.702352941176472
20240807,050890,쏠리드,-7.281553398058249,-0.624349635796051,-5.632411067193677,12.5363880826826,1.3540028006301041,15.3428024225,-0.22661016949152235
20241202,051160,지어소프트,-8.129175946547884,-9.93449781659389,-11.575562700964625,11.009916790151602,-3.023242558709645,4.434693575,4.9295471236230055
20221227,053610,프로텍,-6.349206349206349,-7.399103139013452,-13.417190775681343,14.421764899341538,3.464576055974415,3.5317939,5.880975609756105
20220615,054780,키이스트,-15.995762711864403,-19.24643584521385,-20.461384152457374,2.9107112592508897,-1.0636871538007566,8.26931385,-10.451929824561407
