b,ticker,entry,market,amt20,reprt,r5,r10,r20,r40
+50%↑,032500,20190502,KOSDAQ,58.5,11013,12.11,25.58,74.66,78.77
+50%↑,005670,20190502,KOSDAQ,5.8,11013,4.48,5.86,2.25,-2.79
흑자전환,043200,20190507,KOSDAQ,11.6,11013,-4.19,-2.38,7.86,1.83
적자지속,094170,20190507,KOSDAQ,21.0,11013,-6.7,-16.88,-1.02,8.84
+50%↑,241790,20190508,KOSDAQ,14.3,11013,-0.76,-10.88,-12.15,-2.45
+0~50,022220,20190508,KOSDAQ,2.3,11013,2.93,7.8,6.18,7.8
+0~50,004710,20190508,KOSPI,9.6,11013,-0.56,5.71,13.19,17.79
+50%↑,145270,20190508,KOSPI,2.8,11013,-2.55,-2.44,-4.27,-2.1
+0~50,067390,20190508,KOSDAQ,36.7,11013,-0.88,1.64,-10.96,-17.94
-50%↓,093520,20190508,KOSDAQ,57.8,11013,-7.84,-13.58,-14.71,-16.59
흑자전환,217190,20190509,KOSDAQ,5.5,11013,-3.43,-16.26,-4.85,-3.43
흑자전환,204840,20190509,KOSDAQ,6.6,11013,-15.6,-19.05,-26.24,-30.32
-50%↓,002870,20190509,KOSPI,1.4,11013,-5.96,-4.86,-5.59,5.44
흑자전환,094860,20190509,KOSDAQ,2.7,11013,-9.01,-7.07,-13.31,-8.36
-0~50,006380,20190509,KOSPI,5.5,11013,-11.13,-16.86,-14.26,-7.34
+50%↑,238490,20190509,KOSDAQ,5.6,11013,-17.43,-9.14,33.2,31.04
흑자전환,015590,20190509,KOSPI,13.8,11013,-4.25,-5.13,-7.77,-6.45
적자전환,066970,20190510,KOSPI,56.3,11013,-5.14,-9.62,-0.85,-0.85
+50%↑,178320,20190510,KOSDAQ,189.1,11013,6.05,13.78,8.43,2.29
흑자전환,049630,20190510,KOSDAQ,10.6,11013,6.06,1.53,11.94,9.23
적자지속,018620,20190510,KOSDAQ,152.8,11013,-9.08,-0.64,16.41,-3.24
적자지속,115530,20190510,KOSDAQ,0.0,11013,-1.48,-1.48,-1.48,-1.48
+0~50,179900,20190510,KOSDAQ,59.9,11013,-1.6,1.16,18.03,5.45
적자지속,138610,20190510,KOSDAQ,11.4,11013,-7.73,-18.04,-22.45,-32.22
+0~50,215200,20190510,KOSDAQ,22.2,11013,-0.37,-3.04,-9.15,-17.67
흑자전환,005690,20190510,KOSPI,74.7,11013,-5.72,-12.29,-15.72,-22.77
적자지속,024950,20190513,KOSDAQ,3.7,11013,-4.72,-10.42,6.22,-0.09
-0~50,099220,20190513,KOSDAQ,18.1,11013,-1.18,-3.54,0.85,-9.96
흑자전환,000520,20190513,KOSPI,30.8,11013,-8.44,-15.56,-15.56,-17.18
+50%↑,046120,20190513,KOSDAQ,33.0,11013,0.57,-4.5,8.77,-0.64
적자지속,060280,20190513,KOSDAQ,2.6,11013,-9.99,-9.69,-6.8,2.47
-50%↓,263700,20190513,KOSDAQ,9.4,11013,-9.97,-12.81,-5.72,-16.21
적자지속,012340,20190513,KOSDAQ,1.5,11013,-8.02,-9.56,-2.53,-8.11
+50%↑,100840,20190513,KOSPI,1.4,11013,-5.29,-8.65,-6.03,13.83
적자전환,020760,20190513,KOSPI,41.8,11013,-16.28,-20.64,-10.0,-12.46
-50%↓,216050,20190513,KOSDAQ,125.4,11013,-6.07,-0.08,0.92,-18.24
-0~50,024060,20190513,KOSDAQ,400.6,11013,-5.74,-3.84,-14.95,-7.64
적자지속,261200,20190513,KOSDAQ,0.8,11013,-0.72,0.95,0.24,1.19
+50%↑,089980,20190513,KOSDAQ,42.9,11013,1.23,-11.15,0.63,0.63
+0~50,092730,20190513,KOSDAQ,27.8,11013,-2.84,-8.31,-0.1,-4.99
-0~50,035200,20190513,KOSDAQ,1.5,11013,0.23,-1.64,3.95,-1.95
흑자전환,003570,20190513,KOSPI,2.0,11013,0.59,-4.31,-3.49,-4.85
흑자전환,008470,20190513,KOSDAQ,6.7,11013,-7.56,-8.74,-5.87,-11.28
적자지속,073570,20190513,KOSDAQ,0.0,11013,-1.48,-1.48,-1.09,5.01
-0~50,213420,20190513,KOSDAQ,46.4,11013,-7.7,-11.27,1.39,-0.88
+0~50,064960,20190513,KOSPI,19.8,11013,1.83,4.82,25.91,30.32
+50%↑,051160,20190513,KOSDAQ,46.5,11013,-6.5,-5.64,-11.26,-17.85
적자지속,115450,20190513,KOSDAQ,12.2,11013,-0.48,-2.58,8.98,-7.13
+50%↑,089790,20190513,KOSDAQ,16.8,11013,-15.32,-20.06,-19.11,-32.39
적자지속,208640,20190513,KOSDAQ,28.7,11013,-5.15,-15.34,-13.16,-22.35
+50%↑,035610,20190513,KOSDAQ,2.3,11013,-3.01,-6.49,-5.16,-13.55
-0~50,002780,20190513,KOSPI,45.0,11013,-7.35,-5.05,17.24,-4.85
+50%↑,071200,20190513,KOSDAQ,15.2,11013,-3.67,-4.45,-2.58,-9.72
흑자전환,017960,20190513,KOSPI,37.4,11013,-5.27,-9.74,-1.62,-3.62
+50%↑,089230,20190514,KOSDAQ,40.7,11013,-8.2,-1.29,-4.95,-19.17
+50%↑,207760,20190514,KOSDAQ,2.8,11013,3.83,3.3,19.67,115.63
+50%↑,237880,20190514,KOSDAQ,56.7,11013,-2.36,-5.01,19.99,5.81
+0~50,002450,20190514,KOSPI,15.4,11013,-5.33,-9.08,-8.84,-11.18
적자전환,002760,20190514,KOSPI,26.1,11013,4.47,4.47,10.73,-5.83
흑자전환,174900,20190514,KOSDAQ,46.9,11013,1.69,4.07,-6.57,-23.36
-50%↓,033130,20190514,KOSDAQ,2.7,11013,43.52,57.47,69.05,42.2
적자전환,054180,20190514,KOSDAQ,218.3,11013,20.12,13.9,5.96,-11.09
흑자전환,091970,20190514,KOSDAQ,13.1,11013,-11.03,-15.22,-7.75,-14.22
흑자전환,033100,20190514,KOSDAQ,7.7,11013,5.66,1.28,11.83,5.83
+50%↑,036530,20190514,KOSPI,1.2,11013,-3.82,-8.73,3.73,11.27
+0~50,090410,20190514,KOSDAQ,3.7,11013,2.42,-3.1,-1.8,5.01
-50%↓,007770,20190514,KOSDAQ,3.2,11013,-0.59,2.96,11.41,5.19
-0~50,147830,20190514,KOSDAQ,3.5,11013,3.19,-0.19,7.86,-1.32
+0~50,054670,20190514,KOSDAQ,17.9,11013,-0.27,3.82,17.0,0.64
-50%↓,036580,20190514,KOSPI,37.7,11013,-8.24,-10.07,-11.5,-27.54
흑자전환,018290,20190514,KOSDAQ,45.0,11013,4.18,10.2,20.2,19.36
-0~50,024840,20190514,KOSDAQ,8.2,11013,-2.54,-6.27,-2.01,-9.46
+0~50,038390,20190514,KOSDAQ,1.5,11013,-0.05,-2.05,-2.34,-4.62
+0~50,200670,20190514,KOSDAQ,7.1,11013,-0.68,6.32,6.52,-2.68
적자지속,090080,20190514,KOSPI,2.4,11013,0.18,-3.25,-14.21,-5.27
-0~50,039010,20190514,KOSDAQ,2.6,11013,-3.08,-2.68,0.83,-4.49
+0~50,003800,20190514,KOSDAQ,2.3,11013,-4.74,-5.36,-5.36,-3.5
+0~50,032580,20190514,KOSDAQ,19.4,11013,-4.56,-17.12,-17.85,-20.75
+0~50,082920,20190514,KOSDAQ,11.7,11013,0.68,0.2,5.33,-0.72
흑자전환,054540,20190514,KOSDAQ,13.7,11013,-0.43,-1.63,0.62,0.62
적자지속,270520,20190514,KOSDAQ,0.1,11013,-1.18,-3.13,-1.03,1.23
+50%↑,088910,20190515,KOSDAQ,26.4,11013,-2.1,-2.83,21.32,0.95
+50%↑,066670,20190515,KOSDAQ,3.0,11013,-1.74,-1.74,-0.95,4.57
-50%↓,077360,20190515,KOSDAQ,1.6,11013,15.72,15.94,19.17,15.08
+50%↑,035150,20190515,KOSPI,29.6,11013,5.26,-0.68,-0.18,-17.31
+50%↑,002390,20190515,KOSPI,23.0,11013,-4.58,-8.48,-6.35,-15.93
-50%↓,195870,20190515,KOSPI,31.0,11013,-2.0,-3.66,6.27,-11.94
+50%↑,161890,20190515,KOSPI,76.8,11013,-6.28,-8.16,-6.71,-16.13
흑자전환,211270,20190515,KOSDAQ,0.7,11013,1.94,3.87,2.98,1.79
-50%↓,045100,20190515,KOSDAQ,34.8,11013,-5.06,-6.96,-2.4,-10.77
-50%↓,042110,20190515,KOSDAQ,11.0,11013,0.11,1.09,6.59,-9.92
-0~50,228850,20190515,KOSDAQ,3.0,11013,-0.47,-7.52,-2.82,-3.49
+0~50,119500,20190515,KOSDAQ,3.9,11013,-1.17,-6.02,-4.77,-4.45
+50%↑,148250,20190515,KOSDAQ,7.5,11013,7.37,-2.63,13.9,-0.33
적자지속,049470,20190515,KOSDAQ,1.1,11013,-9.43,-7.11,-6.67,-7.77
적자지속,130740,20190515,KOSDAQ,2.4,11013,0.24,-4.93,-4.58,-8.72
+50%↑,097520,20190515,KOSPI,58.1,11013,0.22,-0.48,19.94,11.82
-0~50,200780,20190515,KOSDAQ,3.0,11013,-1.0,-4.44,-7.15,-14.29
적자지속,043360,20190515,KOSDAQ,5.3,11013,-4.52,-6.89,-4.35,-6.72
-50%↓,084370,20190515,KOSDAQ,34.3,11013,-7.88,-14.11,-10.61,-11.77
-0~50,044780,20190515,KOSDAQ,2.3,11013,27.19,16.95,21.39,17.29
+50%↑,088130,20190515,KOSDAQ,6.6,11013,3.1,-1.01,8.98,3.69
-50%↓,026890,20190515,KOSPI,189.5,11013,-0.55,-5.74,1.52,-10.59
+0~50,014130,20190515,KOSPI,277.6,11013,-3.75,-1.84,4.01,-4.19
+0~50,007570,20190515,KOSPI,9.8,11013,-0.04,-3.27,2.05,-5.36
+0~50,065710,20190515,KOSDAQ,24.6,11013,0.47,-5.38,1.6,7.23
+0~50,008930,20190515,KOSPI,25.5,11013,-2.84,-1.69,3.07,-29.61
-0~50,012800,20190515,KOSPI,351.0,11013,-17.95,-29.57,-24.16,-29.03
-0~50,094850,20190515,KOSDAQ,4.1,11013,-4.3,-7.5,-2.63,-11.34
+50%↑,068760,20190515,KOSDAQ,49.2,11013,-3.55,-5.92,-1.27,-18.56
+50%↑,126600,20190515,KOSDAQ,1.5,11013,3.65,3.38,2.64,9.37
흑자전환,075580,20190515,KOSPI,7.8,11013,-2.54,-5.27,-1.56,-7.62
적자전환,026910,20190515,KOSDAQ,3.8,11013,-0.61,-4.68,1.43,1.14
+0~50,004090,20190515,KOSPI,0.2,11013,1.07,-2.51,4.21,-0.28
적자지속,099520,20190515,KOSDAQ,3.5,11013,15.32,-0.47,15.32,2.37
+0~50,040420,20190515,KOSDAQ,2.4,11013,1.36,-2.77,-1.22,-5.61
+50%↑,171090,20190515,KOSDAQ,3.9,11013,-5.06,-11.81,-2.94,4.75
+0~50,134380,20190515,KOSPI,0.4,11013,-2.36,-2.6,-2.83,-5.08
-0~50,006140,20190515,KOSDAQ,0.4,11013,-1.38,-6.89,-6.09,-5.79
-50%↓,036200,20190515,KOSDAQ,117.5,11013,-1.73,-7.88,1.19,-2.25
적자지속,002420,20190515,KOSPI,16.4,11013,1.93,-2.13,-4.21,-10.21
-0~50,052330,20190515,KOSDAQ,6.8,11013,-2.82,-3.16,-4.16,-8.86
-0~50,102120,20190515,KOSDAQ,131.2,11013,-10.9,-18.22,-9.91,-22.32
-50%↓,005860,20190515,KOSDAQ,197.5,11013,-1.41,-6.05,2.3,-11.62
+0~50,074430,20190515,KOSDAQ,13.4,11013,-14.7,-19.85,-10.62,-18.78
-0~50,241690,20190515,KOSDAQ,1.9,11013,-30.68,-36.31,-28.72,-33.49
흑자전환,094940,20190515,KOSDAQ,23.0,11013,0.68,3.38,15.01,4.16
적자지속,101730,20190515,KOSDAQ,3.6,11013,-1.98,-5.89,-5.22,15.94
적자전환,187270,20190515,KOSDAQ,3.0,11013,-0.34,-12.28,-5.46,-10.57
+0~50,089140,20190515,KOSDAQ,4.8,11013,-8.25,-5.08,-4.62,-10.5
-0~50,023450,20190515,KOSPI,0.3,11013,1.34,-0.34,1.34,7.43
적자지속,215480,20190515,KOSDAQ,25.0,11013,15.94,2.14,9.91,2.57
+50%↑,047310,20190515,KOSDAQ,111.5,11013,-2.86,14.28,29.52,9.04
적자지속,115440,20190515,KOSDAQ,7.4,11013,4.03,11.6,22.11,8.52
흑자전환,056700,20190515,KOSDAQ,13.7,11013,9.85,8.82,41.91,75.58
+50%↑,004150,20190515,KOSPI,4.3,11013,-1.16,-3.19,8.65,12.71
-0~50,059090,20190515,KOSDAQ,54.4,11013,3.59,8.19,10.92,-5.46
+0~50,036190,20190515,KOSDAQ,0.7,11013,-3.89,-2.99,-1.48,-0.58
-0~50,065350,20190515,KOSDAQ,2.4,11013,-5.35,-8.94,5.84,-10.18
+50%↑,000990,20190515,KOSPI,119.2,11013,5.08,-1.75,7.13,-8.57
-0~50,045340,20190515,KOSDAQ,2.3,11013,-0.46,-6.73,-2.5,-2.16
흑자전환,147760,20190515,KOSDAQ,13.8,11013,7.6,-4.54,6.55,26.16
적자지속,013720,20190515,KOSDAQ,0.2,11013,-7.61,-14.41,-10.32,-15.76
적자지속,001840,20190515,KOSDAQ,7.1,11013,0.39,-5.23,4.87,5.43
흑자전환,097780,20190515,KOSDAQ,249.4,11013,-3.41,-3.97,3.36,-11.04
적자전환,010060,20190515,KOSPI,109.8,11013,-1.28,-1.5,6.25,-1.95
적자전환,048770,20190515,KOSDAQ,0.8,11013,-4.98,-8.1,-7.35,20.99
+0~50,210540,20190515,KOSPI,16.8,11013,-3.33,-9.27,0.52,-8.92
적자지속,050890,20190515,KOSDAQ,109.5,11013,20.58,36.59,35.53,20.79
적자지속,059100,20190515,KOSDAQ,26.3,11013,8.08,4.24,3.92,14.0
-50%↓,095610,20190515,KOSDAQ,102.0,11013,-4.16,-6.31,-0.17,0.13
적자지속,009140,20190515,KOSPI,12.6,11013,-1.13,-7.11,-20.45,-34.81
적자지속,259630,20190515,KOSDAQ,2.1,11013,2.69,-0.92,5.19,-9.54
적자지속,215100,20190515,KOSDAQ,74.4,11013,-7.84,8.31,12.67,62.16
+50%↑,011330,20190515,KOSPI,19.2,11013,11.59,10.7,5.58,-8.68
적자지속,065660,20190515,KOSDAQ,49.1,11013,-2.07,-8.73,-5.83,-22.38
적자지속,004910,20190515,KOSPI,0.7,11013,0.37,-3.82,2.24,-1.18
적자지속,121890,20190515,KOSDAQ,5.2,11013,0.25,13.3,64.87,61.73
-0~50,078600,20190515,KOSDAQ,37.3,11013,-5.58,-6.92,10.19,35.36
+0~50,192440,20190515,KOSDAQ,202.7,11013,3.77,-1.25,-11.81,-19.14
-50%↓,006280,20190515,KOSPI,45.4,11013,-3.78,-7.27,-4.17,-11.15
+0~50,001250,20190515,KOSPI,8.4,11013,-5.37,-3.73,1.19,-1.0
-0~50,225190,20190515,KOSDAQ,4.8,11013,-7.8,-10.96,-3.38,-12.9
적자지속,196300,20190515,KOSDAQ,11.2,11013,-2.6,-11.46,-6.5,-21.39
-50%↓,086060,20190515,KOSDAQ,20.9,11013,-11.17,-17.97,20.87,0.48
+50%↑,017550,20190515,KOSPI,58.9,11013,4.38,1.95,10.77,-2.61
-0~50,026960,20190515,KOSPI,23.0,11013,-1.91,-5.59,-5.35,-10.75
+0~50,119850,20190515,KOSDAQ,3.1,11013,0.19,-2.43,3.28,0.9
적자지속,082800,20190515,KOSDAQ,21.1,11013,0.66,-3.34,-3.34,-1.5
-50%↓,140070,20190515,KOSDAQ,12.4,11013,-10.88,-19.57,-13.39,-14.73
-0~50,067920,20190515,KOSDAQ,1.9,11013,-6.72,-8.19,-5.04,-7.45
적자전환,010280,20190515,KOSDAQ,0.9,11013,-4.15,-2.48,-2.15,-15.68
적자지속,095700,20190515,KOSDAQ,83.2,11013,2.28,-4.52,-1.27,-10.44
+0~50,015710,20190515,KOSDAQ,13.9,11013,9.21,4.53,13.88,-3.78
적자지속,100130,20190515,KOSDAQ,6.7,11013,-4.33,-4.33,5.24,4.63
적자지속,069140,20190515,KOSDAQ,12.9,11013,-7.18,-13.03,-8.42,-13.65
+0~50,189300,20190515,KOSDAQ,36.1,11013,10.56,24.9,23.93,9.98
적자지속,003060,20190515,KOSPI,20.8,11013,-4.7,-18.82,-38.51,-45.77
+50%↑,053610,20190515,KOSDAQ,10.1,11013,3.06,-10.78,-5.2,-10.88
+50%↑,241710,20190515,KOSDAQ,12.9,11013,-3.54,-4.49,4.02,-9.93
+50%↑,136540,20190515,KOSDAQ,16.4,11013,12.46,20.85,21.2,10.71
+50%↑,052420,20190515,KOSDAQ,4.7,11013,-6.0,-9.53,-6.77,4.03
흑자전환,136480,20190515,KOSDAQ,161.3,11013,-5.95,-11.28,0.41,-12.31
+50%↑,101490,20190515,KOSDAQ,10.2,11013,-0.36,-2.0,27.06,15.9
+0~50,024720,20190515,KOSPI,14.7,11013,-5.21,-8.65,-9.7,-20.16
-0~50,045060,20190515,KOSDAQ,8.3,11013,-7.0,-8.49,-2.97,-4.76
흑자전환,000890,20190515,KOSPI,65.7,11013,9.89,8.65,11.55,1.59
-0~50,064260,20190515,KOSDAQ,14.2,11013,-2.9,-2.9,4.31,10.26
-0~50,128940,20190515,KOSPI,136.7,11013,0.99,-1.87,1.23,-25.44
-0~50,068790,20190515,KOSDAQ,46.7,11013,4.8,-7.28,-1.95,-6.56
+50%↑,032960,20190515,KOSDAQ,5.0,11013,-3.53,-8.55,-2.86,-4.87
-0~50,009460,20190515,KOSPI,100.1,11013,7.61,1.38,16.07,-9.17
-0~50,033270,20190515,KOSPI,11.4,11013,-6.2,-7.63,-2.31,-7.01
+0~50,043150,20190515,KOSDAQ,14.5,11013,7.15,3.7,11.22,14.06
+50%↑,071670,20190515,KOSDAQ,71.1,11013,3.75,-10.73,2.28,-14.87
적자전환,118990,20190515,KOSDAQ,4.6,11013,-3.8,-10.46,-5.24,-7.22
적자지속,184230,20190515,KOSDAQ,53.7,11013,-9.97,-17.67,0.01,-2.76
+50%↑,089010,20190515,KOSDAQ,38.6,11013,-15.59,-9.51,8.92,1.08
+50%↑,003650,20190515,KOSPI,0.9,11013,-1.68,-2.79,-3.79,-4.16
+50%↑,066310,20190515,KOSDAQ,32.5,11013,5.23,10.95,26.98,76.03
흑자전환,203450,20190515,KOSDAQ,9.2,11013,-6.56,-11.48,-1.48,-4.86
적자지속,222110,20190515,KOSDAQ,2.0,11013,-4.96,-4.17,-4.37,-14.12
+50%↑,214150,20190515,KOSDAQ,32.6,11013,13.01,13.01,18.56,13.01
-0~50,058470,20190515,KOSDAQ,14.6,11013,9.92,9.92,11.42,8.98
적자지속,039200,20190515,KOSDAQ,41.5,11013,11.62,1.62,-1.71,-12.55
적자지속,013810,20190515,KOSDAQ,6.5,11013,-3.72,-6.26,0.31,-4.92
-50%↓,000440,20190515,KOSDAQ,39.1,11013,-7.03,-17.45,-18.75,-19.7
-0~50,189690,20190515,KOSDAQ,3.9,11013,-6.82,-6.22,3.26,0.54
-0~50,137940,20190515,KOSDAQ,9.6,11013,-10.38,-14.25,-8.06,-14.83
-0~50,038540,20190515,KOSDAQ,50.2,11013,-0.22,3.17,-2.94,6.31
+0~50,008490,20190515,KOSPI,4.9,11013,12.25,10.7,16.89,13.45
흑자전환,067770,20190515,KOSDAQ,0.9,11013,-1.66,-5.41,4.23,1.56
-0~50,060480,20190515,KOSDAQ,160.0,11013,-3.68,-5.28,-1.83,-21.42
+50%↑,005750,20190515,KOSPI,1.0,11013,-3.22,-11.47,-5.76,-9.33
+0~50,065510,20190515,KOSDAQ,14.2,11013,4.14,4.14,7.14,-3.39
-0~50,045390,20190515,KOSDAQ,74.5,11013,-0.15,-1.03,11.53,0.56
+50%↑,101160,20190515,KOSDAQ,16.3,11013,10.8,14.0,18.63,8.72
-0~50,084730,20190515,KOSDAQ,3.2,11013,-9.12,-5.12,-0.07,-9.0
+50%↑,012690,20190515,KOSPI,8.7,11013,-5.68,-12.56,-5.41,-16.66
적자지속,101670,20190515,KOSDAQ,3.0,11013,-0.84,1.07,7.76,-3.07
-0~50,006650,20190515,KOSPI,44.6,11013,-3.83,-8.37,-3.13,-12.22
+0~50,183300,20190515,KOSDAQ,6.6,11013,0.49,-2.93,-0.95,-7.24
-0~50,002150,20190515,KOSPI,18.0,11013,0.32,1.63,15.26,10.9
흑자전환,950140,20190515,KOSDAQ,2.7,11013,-2.34,-3.51,22.58,13.39
적자지속,079170,20190515,KOSDAQ,0.5,11013,-0.8,-3.7,-1.31,-1.82
적자지속,241820,20190515,KOSDAQ,4.6,11013,-4.38,12.52,11.11,-4.74
-0~50,058610,20190515,KOSDAQ,30.4,11013,1.81,-3.57,0.95,-3.81
적자전환,112040,20190515,KOSDAQ,63.9,11013,-11.54,-27.66,-28.08,-32.29
적자지속,000390,20190515,KOSPI,0.7,11013,-1.86,-8.68,-7.14,-10.38
+0~50,013570,20190515,KOSPI,3.0,11013,1.32,-3.86,2.22,-0.11
-50%↓,080220,20190515,KOSDAQ,109.6,11013,-7.46,-14.44,-14.21,-22.45
+0~50,200130,20190515,KOSDAQ,24.1,11013,-7.83,-9.95,-1.65,1.44
+0~50,011280,20190515,KOSPI,300.9,11013,-2.44,4.16,8.15,-11.25
+50%↑,002350,20190515,KOSPI,8.5,11013,3.9,1.36,-2.09,-7.17
흑자전환,093640,20190515,KOSDAQ,19.1,11013,5.03,-0.51,2.06,-9.68
적자지속,153460,20190515,KOSDAQ,2.5,11013,-2.82,-6.35,-4.28,-11.6
-0~50,115310,20190515,KOSDAQ,0.5,11013,-3.17,-4.02,-5.51,-8.47
-0~50,065450,20190515,KOSDAQ,164.6,11013,2.55,-8.06,-6.09,-15.33
+50%↑,218410,20190515,KOSDAQ,150.4,11013,-22.6,-20.59,-19.73,-12.69
적자지속,121850,20190515,KOSDAQ,0.7,11013,2.11,5.36,-3.37,-1.14
적자지속,065650,20190515,KOSDAQ,8.3,11013,-3.99,-9.43,5.27,11.81
-50%↓,072020,20190515,KOSDAQ,110.3,11013,-6.4,-6.4,-5.22,-4.27
-0~50,108320,20190515,KOSPI,59.5,11013,-11.13,-13.2,-10.37,-11.68
+0~50,251370,20190515,KOSDAQ,3.4,11013,-1.2,-8.89,25.59,38.98
-0~50,263810,20190515,KOSDAQ,4.8,11013,-4.16,-5.58,-3.43,4.06
+0~50,101240,20190515,KOSDAQ,3.5,11013,9.66,5.65,10.77,28.0
-50%↓,006340,20190515,KOSPI,5.0,11013,1.94,-3.52,9.37,1.16
적자전환,005870,20190515,KOSPI,4.0,11013,0.12,-4.13,-5.31,-12.26
+50%↑,036480,20190515,KOSDAQ,81.1,11013,-4.33,-10.41,-0.68,-16.25
-50%↓,091590,20190515,KOSDAQ,15.0,11013,4.47,1.64,7.29,5.88
+0~50,038010,20190515,KOSDAQ,1.4,11013,7.02,-2.33,4.1,5.19
+50%↑,094480,20190515,KOSDAQ,7.9,11013,-3.12,-9.42,-2.36,-9.93
+0~50,064760,20190516,KOSDAQ,29.6,11013,-7.13,-6.97,-7.61,-5.37
적자전환,018470,20190516,KOSPI,0.6,11013,-2.19,-6.68,0.05,-3.54
+0~50,051380,20190516,KOSDAQ,1.8,11013,5.18,6.61,9.27,29.91
흑자전환,083930,20190516,KOSDAQ,11.2,11013,-7.58,-10.35,3.33,-8.75
-0~50,004270,20190516,KOSPI,174.1,11013,-14.35,-10.53,-15.68,19.03
-0~50,264450,20190516,KOSDAQ,39.2,11013,-2.28,3.72,19.14,-6.75
-0~50,039440,20190516,KOSDAQ,47.1,11013,-19.19,-2.57,0.14,-9.02
적자지속,101000,20190516,KOSDAQ,0.0,11013,-1.48,-1.48,-1.48,-1.48
-50%↓,018670,20190516,KOSPI,15.6,11013,-7.82,-4.71,-5.42,-7.1
적자전환,026040,20190516,KOSDAQ,4.0,11013,-1.29,-3.98,11.57,18.48
적자지속,010660,20190516,KOSPI,0.8,11013,-2.65,13.04,31.66,75.54
+0~50,131030,20190516,KOSDAQ,6.3,11013,-4.51,-4.09,-2.63,-11.72
적자전환,084870,20190516,KOSPI,1.7,11013,-2.5,-8.54,-8.16,30.9
-0~50,041930,20190516,KOSDAQ,40.2,11013,-14.2,-10.67,-12.92,-3.93
-50%↓,049950,20190516,KOSDAQ,59.8,11013,-9.61,-6.83,-3.95,-8.81
+0~50,001770,20190516,KOSPI,6.8,11013,-4.32,-5.37,-3.7,-6.84
+50%↑,134060,20190516,KOSDAQ,0.4,11013,33.52,62.16,49.2,57.84
흑자전환,046970,20190516,KOSDAQ,11.6,11013,-5.54,8.67,13.07,2.12
-50%↓,109740,20190516,KOSDAQ,20.2,11013,1.31,-5.27,-3.51,-10.53
적자지속,037070,20190516,KOSDAQ,12.2,11013,11.32,52.62,56.77,79.11
-50%↓,133750,20190516,KOSDAQ,4.3,11013,-10.22,-11.71,-5.96,-10.86
적자전환,036710,20190516,KOSDAQ,1.8,11013,-12.12,-15.09,-15.59,-19.8
적자지속,214420,20190516,KOSPI,34.3,11013,-21.81,-23.5,-7.94,-9.95
+0~50,133820,20190516,KOSPI,119.0,11013,-1.83,-9.73,-1.57,-16.32
-50%↓,039290,20190516,KOSDAQ,15.4,11013,-7.24,-8.11,-3.16,-13.56
-0~50,028260,20190516,KOSPI,305.6,11013,-5.12,-8.24,-6.83,-6.03
+50%↑,225530,20190516,KOSDAQ,5.3,11013,-4.95,-8.64,2.66,-6.07
-50%↓,005380,20190516,KOSPI,833.1,11013,-4.52,1.5,5.26,4.51
-0~50,025320,20190516,KOSDAQ,29.9,11013,-5.3,-1.98,0.89,0.89
적자전환,227610,20190516,KOSDAQ,9.0,11013,-4.06,-15.81,-13.5,0.24
-0~50,025770,20190516,KOSDAQ,3.0,11013,-0.0,0.45,-0.46,-0.34
흑자전환,053290,20190516,KOSDAQ,0.4,11013,5.62,-1.62,7.07,-3.8
+50%↑,066410,20190516,KOSDAQ,10.3,11013,-7.87,-12.38,-6.93,-7.4
+0~50,036890,20190516,KOSDAQ,26.5,11013,-9.31,-10.5,-4.66,-13.96
-0~50,007110,20190516,KOSPI,72.2,11013,-0.04,-3.98,22.28,46.57
-50%↓,178920,20190516,KOSPI,75.3,11013,-9.71,-2.92,4.57,11.19
+0~50,192390,20190516,KOSDAQ,4.0,11013,4.7,-4.89,-4.04,-12.88
-0~50,003680,20190516,KOSPI,29.7,11013,-6.17,-12.51,5.38,-11.95
-50%↓,011170,20190516,KOSPI,395.8,11013,0.38,-3.61,-6.26,-9.49
-50%↓,037350,20190516,KOSDAQ,3.2,11013,-5.81,-5.09,-0.94,-9.78
-50%↓,012320,20190516,KOSPI,3.0,11013,-4.72,-5.48,2.87,-0.42
+50%↑,036120,20190516,KOSDAQ,79.8,11013,-22.87,-17.4,-19.32,-27.46
-0~50,004840,20190516,KOSPI,0.8,11013,-5.74,-9.2,-4.8,-9.2
-0~50,014710,20190516,KOSPI,4.6,11013,-1.34,-5.08,2.23,-1.5
-0~50,001120,20190516,KOSPI,41.1,11013,-8.92,-14.14,-10.02,5.36
적자전환,264660,20190516,KOSDAQ,4.5,11013,-5.23,-4.8,-2.54,13.27
적자지속,263860,20190516,KOSDAQ,9.5,11013,-8.1,-14.05,5.43,-1.29
+50%↑,002320,20190516,KOSPI,64.6,11013,-11.62,-0.92,-8.5,-24.53
+0~50,081660,20190516,KOSPI,265.8,11013,3.99,-3.38,5.24,-9.87
+0~50,035510,20190516,KOSPI,9.9,11013,-7.85,-9.7,-7.85,-9.33
적자전환,228340,20190516,KOSDAQ,15.0,11013,1.04,-3.58,0.11,3.26
-0~50,021040,20190516,KOSDAQ,557.9,11013,-2.9,-6.37,0.49,8.7
-0~50,049430,20190516,KOSDAQ,0.8,11013,-4.84,-6.09,-2.23,-7.08
-50%↓,041650,20190516,KOSPI,1.7,11013,-8.13,-7.07,-2.12,-7.42
+50%↑,030960,20190516,KOSDAQ,35.2,11013,-1.32,-5.29,-6.17,-7.49
