date,ticker,name,grp,y,sret60,r
20200316,000020,동화약품,생존,2020,-20.360929530811774,41.78666666666667
20181107,000070,삼양홀딩스,생존,2018,-13.949556868987202,12.583798777621073
20240805,000150,두산,생존,2024,-11.20662547722342,13.862193450114237
20181026,000180,성창기업지주,생존,2018,-14.626204824505647,4.069999999999999
20181029,000180,성창기업지주,생존,2018,-19.316284577239028,16.875555555555557
20240806,000210,DL,생존,2024,-12.451686214099505,-1.3768609865470878
20240807,000210,DL,생존,2024,-11.456673267207877,-3.404634420697414
20181025,000270,기아,생존,2018,-17.745289924532084,1.0960147601476038
20190805,000640,동아쏘시오홀딩스,생존,2019,-23.29890176241354,15.942967850624736
20220127,000640,동아쏘시오홀딩스,생존,2022,-18.810089579525574,8.326867985338009
20200224,001140,국보,폐지,2020,,-54.45424571090515
20231024,001140,국보,폐지,2023,,-4.915632183908044
20190729,001360,삼성제약,생존,2019,-20.11549813656172,39.47743944636677
20190805,001360,삼성제약,생존,2019,-23.29890176241354,80.36882154882154
20190806,001360,삼성제약,생존,2019,-23.085024346386664,61.25059839605183
20211005,001380,SG글로벌,생존,2021,-13.853764287433824,5.24451198418581
20211130,001380,SG글로벌,생존,2021,-15.750719047021814,13.431727416798726
20200303,001750,한양증권,생존,2020,-12.254642720439886,-24.928211731044343
20200304,001750,한양증권,생존,2020,-10.425771689650455,-24.60857142857143
20200316,001820,삼화콘덴서,생존,2020,-16.014307084804035,21.335817694369968
20200319,001820,삼화콘덴서,생존,2020,-35.530020349687945,39.78973125884018
20180703,002020,코오롱,생존,2018,-15.86350009555133,6.741550591327209
20260722,002020,코오롱,생존,2026,-13.05931716238436,3.229465020576142
20260723,002020,코오롱,생존,2026,-10.525265239226718,-11.42074074074074
20200319,002210,동성제약,생존,2020,-32.47763503037484,68.92298507462685
20200324,002210,동성제약,생존,2020,-22.964746803962996,16.765005257623557
20200325,002210,동성제약,생존,2020,-20.422502625882306,15.46202898550725
20181030,002360,SH에너지화학,생존,2018,-16.95378575078817,10.707982832618015
20200319,002360,SH에너지화학,생존,2020,-36.91130102037679,74.90740157480315
20220927,002460,HS화성,생존,2022,-12.77917651189434,-10.52959349593496
20220704,002780,진흥기업,생존,2022,-22.136173830063797,5.095075987841949
20181119,002790,아모레퍼시픽홀딩스,생존,2018,-17.55221135328818,9.160059347181006
20200320,002810,삼영무역,생존,2020,-32.5532308362556,21.677142857142865
20200313,002990,금호건설,생존,2020,-27.90603842405837,20.069263502454984
20200319,002990,금호건설,생존,2020,-43.12184812970981,71.11074074074075
20200320,002990,금호건설,생존,2020,-39.218783451908955,75.24293144208038
20220926,003160,디아이,생존,2022,-16.870281742735564,-2.1657612267250794
20220927,003160,디아이,생존,2022,-13.511137220279938,-0.9597356828193926
20181029,003220,대원제약,생존,2018,-14.598857089557502,18.112814078539998
20181011,003230,삼양식품,생존,2018,-15.990470886855261,-2.141038961038963
20190103,003230,삼양식품,생존,2019,-12.592263292227127,44.67084745762712
20181011,003280,흥아해운,생존,2018,-13.191056957065957,-3.071447368421051
20200317,003470,유안타증권,생존,2020,-30.20390152469281,30.20888888888889
20200319,003470,유안타증권,생존,2020,-41.89597556044224,75.22294117647058
20200320,003470,유안타증권,생존,2020,-38.25056121111999,70.08774193548388
20200325,003470,유안타증권,생존,2020,-31.593457187592694,20.14564102564102
20200313,003520,영진약품,생존,2020,-19.01026176186491,19.807804878048778
20200318,003520,영진약품,생존,2020,-24.17750582570493,13.29314814814814
20200324,003520,영진약품,생존,2020,-22.964746803962996,17.474545454545446
20200317,003530,한화투자증권,생존,2020,-30.20390152469281,17.23320754716981
20200318,003530,한화투자증권,생존,2020,-33.31689274262736,24.426122448979587
20200319,003530,한화투자증권,생존,2020,-41.89597556044224,51.00679245283018
20200320,003530,한화투자증권,생존,2020,-38.25056121111999,51.273110047846885
20180412,003560,IHQ,폐지,2018,,-6.858263509411053
20200313,003560,IHQ,폐지,2020,,24.12185102917223
20200317,003560,IHQ,폐지,2020,,26.244099176064086
20200318,003560,IHQ,폐지,2020,,35.35818138157369
20260710,003580,HLB글로벌,생존,2026,,33.83303214596003
20260713,003580,HLB글로벌,생존,2026,,47.535596330275226
20260709,003670,포스코퓨처엠,생존,2026,-18.199465028114236,4.748205128205132
20241209,003720,삼영,생존,2024,-12.739608962352092,19.1325
20181029,004000,롯데정밀화학,생존,2018,-17.603584526076947,10.395331564986744
20200316,004060,SG세계물산,생존,2020,-30.3095448397023,63.574976303317534
20200317,004060,SG세계물산,생존,2020,-32.26028915387635,56.59126436781609
20200319,004270,남성,생존,2020,-44.38864459026883,103.41376786735276
