종목코드,회사명,시장구분,상장일
059180,엔더블유시,코넥스,2025-12-22
0101C0,하나36호스팩,코스닥,2025-12-22
0099X0,IBKS제25호스팩,코스닥,2025-12-19
476830,알지노믹스,코스닥,2025-12-18
478340,나라스페이스테크놀로지,코스닥,2025-12-17
0007C0,아크릴,코스닥,2025-12-16
0088D0,메리츠제1호스팩,코스닥,2025-12-15
217590,티엠씨,유가,2025-12-15
0098T0,교보19호스팩,코스닥,2025-12-12
464490,쿼드메디슨,코스닥,2025-12-12
466690,키움히어로제1호스팩,코스닥,2025-12-12
0105P0,유진스팩12호,코스닥,2025-12-11
261520,이지스,코스닥,2025-12-11
0015S0,페스카로,코스닥,2025-12-10
950250,테라뷰,코스닥,2025-12-09
0054V0,엔에이치스팩32호,코스닥,2025-12-05
0009K0,에임드바이오,코스닥,2025-12-04
0096D0,미래에셋비전스팩9호,코스닥,2025-12-01
0096B0,삼성스팩12호,코스닥,2025-11-28
0093G0,미래에셋비전스팩8호,코스닥,2025-11-27
0015N0,아로마티카,코스닥,2025-11-27
0126Z0,삼성에피스홀딩스,유가,2025-11-24
0120G0,삼양바이오팜,유가,2025-11-24
0091W0,신영스팩11호,코스닥,2025-11-24
0068Y0,비엔케이제3호스팩,코스닥,2025-11-21
488900,비츠로넥스텍,코스닥,2025-11-21
388210,씨엠티엑스,코스닥,2025-11-20
403850,더핑크퐁컴퍼니,코스닥,2025-11-18
403810,아이엘로보틱스,코넥스,2025-11-18
0015G0,그린광학,코스닥,2025-11-17
459550,알트,코스닥,2025-11-17
061090,세나테크놀로지,코스닥,2025-11-14
494120,큐리오시스,코스닥,2025-11-13
469610,이노테크,코스닥,2025-11-07
486990,노타,코스닥,2025-11-03
014950,삼익제약,코스닥,2025-10-27
317450,명인제약,유가,2025-10-01
0072Z0,KB제33호스팩,코스닥,2025-09-30
0071M0,삼성스팩11호,코스닥,2025-09-30
488280,에스투더블유,코스닥,2025-09-19
342870,오아,코스닥,2025-09-09
496320,본시스템즈,코넥스,2025-09-08
318060,그래피,코스닥,2025-08-25
397810,애드포러스,코스닥,2025-08-22
0044K0,삼성스팩10호,코스닥,2025-08-21
0010V0,제이피아이헬스케어,코스닥,2025-08-21
125490,한라캐스트,코스닥,2025-08-20
0008Z0,에스엔시스,코스닥,2025-08-19
484590,삼양컴텍,코스닥,2025-08-18
0041B0,교보18호스팩,코스닥,2025-08-14
456160,지투지바이오,코스닥,2025-08-14
309710,아이티켐,코스닥,2025-08-07
0041L0,하나35호스팩,코스닥,2025-08-06
439260,대한조선,유가,2025-08-01
439260,대한조선,유가,2025-08-01
468530,프로티나,코스닥,2025-07-29
475230,엔알비,코스닥,2025-07-28
380550,뉴로핏,코스닥,2025-07-25
484120,도우인시스,코스닥,2025-07-23
0004Y0,디비금융제14호스팩,코스닥,2025-07-22
0041J0,엘에스스팩1호,코스닥,2025-07-22
331740,아우토크립트,코스닥,2025-07-15
0030R0,대신밸류리츠,유가,2025-07-10
462310,뉴키즈온,코스닥,2025-07-09
234030,싸이닉솔루션,코스닥,2025-07-07
0037T0,KB제32호스팩,코스닥,2025-07-04
463020,뉴엔AI,코스닥,2025-07-04
388610,지에프씨생명과학,코스닥,2025-06-30
455180,케이지에이,코스닥,2025-06-17
340450,지씨지놈,코스닥,2025-06-11
474650,링크솔루션,코스닥,2025-06-10
475430,키스트론,코스닥,2025-06-02
496070,신한제16호스팩,코스닥,2025-05-29
287840,인투셀,코스닥,2025-05-23
483650,달바글로벌,유가,2025-05-22
489460,바이오비쥬,코스닥,2025-05-20
424870,이뮨온시아,코스닥,2025-05-19
188040,바이오포트,코스닥,2025-05-16
125020,티씨머티리얼즈,코스닥,2025-05-15
376900,로킷헬스케어,코스닥,2025-05-12
476040,오가노이드사이언스,코스닥,2025-05-09
136150,원일티엔아이,코스닥,2025-05-09
459510,나우로보틱스,코스닥,2025-05-08
364950,에이아이코리아,코스닥,2025-04-29
081180,쎄크,코스닥,2025-04-28
448900,한국피아이엠,코스닥,2025-04-04
481070,에이유브랜즈,코스닥,2025-04-03
101970,우양에이치씨,코스닥,2025-03-28
462860,더즌,코스닥,2025-03-24
444530,심플랫폼,코스닥,2025-03-21
484810,티엑스알로보틱스,코스닥,2025-03-20
098070,한텍,코스닥,2025-03-20
498390,한화플러스제5호스팩,코스닥,2025-03-20
480370,씨케이솔루션,유가,2025-03-17
031210,서울보증보험,유가,2025-03-14
460870,에스엠씨지,코스닥,2025-03-07
226590,엠디바이스,코스닥,2025-03-07
393970,대진첨단소재,코스닥,2025-03-06
435570,에르코스,코스닥,2025-02-28
489500,엘케이켐,코스닥,2025-02-25
479960,위너스일렉,코스닥,2025-02-24
463480,모티브링크,코스닥,2025-02-20
303810,동국생명과학,코스닥,2025-02-17
475830,오름테라퓨틱,코스닥,2025-02-14
240550,동방메디컬,코스닥,2025-02-13
212710,아이에스티이,코스닥,2025-02-12
064400,LG씨엔에스,유가,2025-02-05
462980,아이지넷,코스닥,2025-02-04
452450,피아이이,코스닥,2025-02-04
482630,삼양엔씨켐,코스닥,2025-02-03
373160,데이원컴퍼니,코스닥,2025-01-24
450950,아스테라시스,코스닥,2025-01-24
096250,와이즈넛,코스닥,2025-01-24
475460,미트박스,코스닥,2025-01-23
493790,유안타제17호스팩,코스닥,2025-01-23
478560,블랙야크아이앤씨,코스닥,2025-01-21
332190,오션스바이오,코넥스,2025-01-14
432980,엠에프씨,코스닥,2024-12-26
387570,파인메딕스,코스닥,2024-12-26
177900,쓰리에이로직스,코스닥,2024-12-24
499790,GS피앤엘,유가,2024-12-23
487360,신한제14호스팩,코스닥,2024-12-23
495810,유비씨,코넥스,2024-12-23
176750,듀켐바이오,코스닥,2024-12-20
487720,키움제10호스팩,코스닥,2024-12-20
398120,에스지헬스케어,코스닥,2024-12-19
476060,온코닉테라퓨틱스,코스닥,2024-12-19
382150,온코크로스,코스닥,2024-12-18
457600,벡트,코스닥,2024-12-16
484870,엠앤씨솔루션,유가,2024-12-16
471820,셀로맥스사이언스,코스닥,2024-12-13
492220,KB제31호스팩,코스닥,2024-12-12
489480,키움제11호스팩,코스닥,2024-12-11
415640,KB발해인프라,유가,2024-11-29
489730,디비금융제13호스팩,코스닥,2024-11-28
489210,교보17호스팩,코스닥,2024-11-21
482690,대신밸런스제19호스팩,코스닥,2024-11-20
459100,위츠,코스닥,2024-11-20
389680,유디엠텍,코스닥,2024-11-20
474610,RF시스템즈,코스닥,2024-11-19
466410,사이냅소프트,코스닥,2024-11-19
484130,하나34호스팩,코스닥,2024-11-19
475660,에스켐,코스닥,2024-11-18
413390,엠오티,코스닥,2024-11-18
487830,신한제15호스팩,코스닥,2024-11-15
394800,쓰리빌리언,코스닥,2024-11-14
464580,닷밀,코스닥,2024-11-13
473980,노머스,코스닥,2024-11-12
163280,에어레인,코스닥,2024-11-08
475960,토모큐브,코스닥,2024-11-07
475560,더본코리아,유가,2024-11-06
376270,HEM파마,코스닥,2024-11-05
475580,에이럭스,코스닥,2024-11-01
336680,탑런토탈솔루션,코스닥,2024-11-01
458650,성우,코스닥,2024-10-31
488060,유진스팩11호,코스닥,2024-10-31
476710,타조이엔터테인먼트,코넥스,2024-10-30
466100,클로봇,코스닥,2024-10-28
044990,에이치엔에스하이텍,코스닥,2024-10-25
289930,웨이비스,코스닥,2024-10-25
475400,씨메스로보틱스,코스닥,2024-10-24
457370,한켐,코스닥,2024-10-22
474170,루미르,코스닥,2024-10-21
209640,와이제이링크,코스닥,2024-10-18
465480,인스피언,코스닥,2024-10-18
308430,셀비온,코스닥,2024-10-16
381620,제닉스로보틱스,코스닥,2024-09-30
351870,차이커뮤니케이션,코스닥,2024-09-27
489790,한화비전,유가,2024-09-27
486630,KB제30호스팩,코스닥,2024-09-25
464500,아이언디바이스,코스닥,2024-09-23
482680,미래에셋비전스팩7호,코스닥,2024-09-11
469750,아이비젼웍스,코스닥,2024-09-03
461300,아이스크림미디어,코스닥,2024-08-30
456070,이엔셀,코스닥,2024-08-23
476080,M83,코스닥,2024-08-22
464280,티디에스팜,코스닥,2024-08-21
389650,넥스트바이오메디컬,코스닥,2024-08-20
431190,케이쓰리아이,코스닥,2024-08-20
079900,전진건설로봇,유가,2024-08-19
088340,유라클,코스닥,2024-08-16
482520,교보16호스팩,코스닥,2024-08-13
199480,뱅크웨어글로벌,코스닥,2024-08-12
460470,아이빔테크놀로지,코스닥,2024-08-06
460940,피앤에스로보틱스,코스닥,2024-07-31
487570,HS효성,유가,2024-07-29
062040,산일전기,유가,2024-07-29
481890,엔에이치스팩31호,코스닥,2024-07-26
473950,SK증권제13호스팩,코스닥,2024-07-25
373110,엑셀세라퓨틱스,코스닥,2024-07-15
478110,이베스트스팩6호,코스닥,2024-07-12
462870,시프트업,유가,2024-07-11
450330,하스,코스닥,2024-07-03
462350,이노스페이스,코스닥,2024-07-02
481850,신한글로벌액티브리츠,유가,2024-07-01
295310,에이치브이엠,코스닥,2024-06-28
266350,팡스카이,코넥스,2024-06-28
160190,하이젠알앤엠,코스닥,2024-06-27
479880,한국제15호스팩,코스닥,2024-06-26
464080,에스오에스랩,코스닥,2024-06-25
464080,에스오에스랩,코스닥,2024-06-25
478440,미래에셋비전스팩6호,코스닥,2024-06-24
477340,에이치엠씨제7호스팩,코스닥,2024-06-24
034230,파라다이스,유가,2024-06-24
107640,한중엔시에스,코스닥,2024-06-24
478390,KB제29호스팩,코스닥,2024-06-21
477470,미래에셋비전스팩5호,코스닥,2024-06-19
458870,씨어스,코스닥,2024-06-19
477760,디비금융스팩12호,코스닥,2024-06-18
462510,라메디텍,코스닥,2024-06-17
453450,그리드위즈,코스닥,2024-06-14
323350,다원넥스뷰,코스닥,2024-06-11
477380,미래에셋비전스팩4호,코스닥,2024-05-29
145170,노브랜드,코스닥,2024-05-23
456010,아이씨티케이,코스닥,2024-05-17
443060,HD현대마린솔루션,유가,2024-05-08
473000,SK증권제12호스팩,코스닥,2024-05-07
126730,코칩,코스닥,2024-05-07
452200,민테크,코스닥,2024-05-03
140430,카티스,코스닥,2024-05-03
347850,디앤디파마텍,코스닥,2024-05-02
474490,유안타제16호스팩,코스닥,2024-05-02
412540,제일엠앤에스,코스닥,2024-04-30
451250,삐아,코스닥,2024-04-25
475250,하나33호스팩,코스닥,2024-04-24
474930,신한제13호스팩,코스닥,2024-04-22
474660,신한제12호스팩,코스닥,2024-04-15
461030,아이엠비디엑스,코스닥,2024-04-03
475150,SK이터닉스,유가,2024-03-29
475240,하나32호스팩,코스닥,2024-03-27
455900,엔젤로보틱스,코스닥,2024-03-26
420570,제이투케이바이오,코스닥,2024-03-25
437730,삼현,코스닥,2024-03-21
036220,오상헬스케어,코스닥,2024-03-13
199430,케이엔알시스템,코스닥,2024-03-07
469900,하나31호스팩,코스닥,2024-03-05
472230,SK증권제11호스팩,코스닥,2024-03-04
473050,유안타제15호스팩,코스닥,2024-02-29
468760,유진스팩10호,코스닥,2024-02-29
278470,에이피알,유가,2024-02-27
418620,E8,코스닥,2024-02-23
360350,코셈,코스닥,2024-02-23
068100,케이웨더,코스닥,2024-02-22
452430,사피엔반도체,코스닥,2024-02-19
443670,에스피소프트,코스닥,2024-02-15
415380,스튜디오삼익,코스닥,2024-02-06
472850,폰드그룹,코스닥,2024-02-02
469480,IBKS제24호스팩,코스닥,2024-02-01
199550,레이저옵텍,코스닥,2024-02-01
452400,이닉스,코스닥,2024-02-01
066970,엘앤에프,유가,2024-01-29
105760,포스뱅크,코스닥,2024-01-29
460930,현대힘스,코스닥,2024-01-26
440290,HB인베스트먼트,코스닥,2024-01-25
362990,드림인사이트,코스닥,2024-01-25
457550,우진엔텍,코스닥,2024-01-24
267080,세븐브로이맥주,코넥스,2024-01-17
452190,한빛레이저,코스닥,2024-01-04
022100,포스코DX,유가,2024-01-02
017860,DS단석,유가,2023-12-22
109670,씨싸이트,코스닥,2023-12-21
439580,블루엠텍,코스닥,2023-12-13
417200,LS머트리얼즈,코스닥,2023-12-12
432470,케이엔에스,코스닥,2023-12-06
338840,와이바이오로직스,코스닥,2023-12-05
355690,에이텀,코스닥,2023-12-01
453860,에이에스텍,코스닥,2023-11-28
402490,그린리소스,코스닥,2023-11-24
452160,제이엔비,코스닥,2023-11-24
452280,한선엔지니어링,코스닥,2023-11-24
111380,동인기연,유가,2023-11-21
448280,에코아이,코스닥,2023-11-21
352090,스톰테크,코스닥,2023-11-20
450080,에코프로머티,유가,2023-11-17
452300,캡스톤파트너스,코스닥,2023-11-15
296160,프로젠,코넥스,2023-11-15
365330,에스와이스틸텍,코스닥,2023-11-13
445090,에이직랜드,코스닥,2023-11-13
446540,메가터치,코스닥,2023-11-09
413640,비아이매트릭스,코스닥,2023-11-09
451760,컨텍,코스닥,2023-11-09
372320,큐로셀,코스닥,2023-11-09
088280,쏘닉스,코스닥,2023-11-07
188260,세니젠,코스닥,2023-11-03
290560,파라택시스이더리움,코스닥,2023-11-03
240600,유진테크놀로지,코스닥,2023-11-02
221800,지구홀딩스,코스닥,2023-11-02
432720,퀄리타스반도체,코스닥,2023-10-27
351020,미쥬,코넥스,2023-10-26
396470,워트,코스닥,2023-10-26
246250,에스엘에스바이오,코스닥,2023-10-20
416180,신성에스티,코스닥,2023-10-19
445180,퓨릿,코스닥,2023-10-18
289170,바이오텐,코넥스,2023-10-13
451220,아이엠티,코스닥,2023-10-10
443250,레뷰코퍼레이션,코스닥,2023-10-06
454910,두산로보틱스,유가,2023-10-05
430690,한싹,코스닥,2023-10-04
418470,KT밀리의서재,코스닥,2023-09-27
450520,인스웨이브,코스닥,2023-09-25
403490,우듬지팜,코스닥,2023-09-19
384470,코어라인소프트,코스닥,2023-09-18
465770,STX그린로지스,유가,2023-09-15
146060,율촌,코스닥,2023-09-08
355390,크라우드웍스,코스닥,2023-08-31
418250,시큐레터,코스닥,2023-08-24
424960,스마트레이더시스템,코스닥,2023-08-22
092790,넥스틸,유가,2023-08-21
210120,캔버스엔,코스닥,2023-08-17
448710,코츠테크놀로지,코스닥,2023-08-10
445680,큐리옥스바이오시스템즈,코스닥,2023-08-10
030190,NICE평가정보,유가,2023-08-08
440110,파두,코스닥,2023-08-07
373170,엠아이큐브솔루션,코스닥,2023-08-04
429270,시지트로닉스,코스닥,2023-08-03
446440,에피바이오텍,코넥스,2023-07-31
462520,조선내화,유가,2023-07-28
462520,조선내화,유가,2023-07-28
172670,에이엘티,코스닥,2023-07-27
388870,파로스아이바이오,코스닥,2023-07-27
438700,버넥트,코스닥,2023-07-26
406820,뷰티스킨,코스닥,2023-07-24
432430,와이랩,코스닥,2023-07-20
321370,센서뷰,코스닥,2023-07-19
456570,아이엠지티,코넥스,2023-07-19
378340,필에너지,코스닥,2023-07-14
274400,이노시뮬레이션,코스닥,2023-07-06
354320,알멕,코스닥,2023-06-30
440320,오픈놀,코스닥,2023-06-30
232830,아이티센피엔에스,코스닥,2023-06-29
296520,가이아코퍼레이션,코넥스,2023-06-20
090460,비에이치,유가,2023-06-20
460850,동국씨엠,유가,2023-06-16
460860,동국제강,유가,2023-06-16
303360,프로티아,코스닥,2023-06-16
348080,큐라티스,코스닥,2023-06-15
439090,마녀공장,코스닥,2023-06-08
405920,나라셀라,코스닥,2023-06-02
285800,진영,코스닥,2023-06-01
457190,이수스페셜티케미컬,유가,2023-05-31
456040,OCI,유가,2023-05-30
420770,기가비스,코스닥,2023-05-24
271830,팸텍,코스닥,2023-05-23
434480,모니터랩,코스닥,2023-05-19
340810,시선AI,코스닥,2023-05-19
456190,큐라켐,코넥스,2023-05-18
446840,지슨,코스닥,2023-05-17
417790,트루엔,코스닥,2023-05-17
304360,에스바이오메딕스,코스닥,2023-05-04
298830,슈어소프트테크,코스닥,2023-04-28
393210,토마토시스템,코스닥,2023-04-27
424980,마이크로투나노,코스닥,2023-04-26
318160,셀바이오휴먼텍,코스닥,2023-04-20
100090,SK오션플랜트,유가,2023-04-19
448730,삼성FN리츠,유가,2023-04-10
453340,현대그린푸드,유가,2023-04-10
452260,한화갤러리아,유가,2023-03-31
358570,지아이이노베이션,코스닥,2023-03-30
309960,LB인베스트먼트,코스닥,2023-03-29
451800,한화리츠,유가,2023-03-27
356680,엑스게이트,코스닥,2023-03-16
282720,금양그린파워,코스닥,2023-03-13
418420,라온텍,코스닥,2023-03-09
389020,자람테크놀로지,코스닥,2023-03-07
417010,나노팀,코스닥,2023-03-03
199730,바이오인프라,코스닥,2023-03-02
344860,이노진,코스닥,2023-02-20
127980,화인써키트,코스닥,2023-02-17
418550,제이오,코스닥,2023-02-16
411080,샌즈랩,코스닥,2023-02-15
407400,꿈비,코스닥,2023-02-09
408900,스튜디오미르,코스닥,2023-02-07
419050,삼기에너지솔루션즈,코스닥,2023-02-03
417860,오브젠,코스닥,2023-01-30
254490,미래반도체,코스닥,2023-01-27
052960,태양3C,코넥스,2023-01-26
425040,티이엠씨,코스닥,2023-01-19
198940,한주라이트메탈,코스닥,2023-01-19
380540,옵티코어,코스닥,2022-12-29
447690,아이오바이오,코넥스,2022-12-28
346010,타이드,코넥스,2022-12-28
162300,신스틸,코스닥,2022-12-23
377740,바이오노트,유가,2022-12-22
448780,마이크로엔엑스,코넥스,2022-12-21
390110,애니메디솔루션,코넥스,2022-12-21
417180,핑거스토리,코스닥,2022-12-08
419530,SAMG엔터,코스닥,2022-12-06
102950,아하,코넥스,2022-11-30
311960,인터로이드,코넥스,2022-11-29
446070,유니드비티플러스,유가,2022-11-28
168360,펨트론,코스닥,2022-11-24
389470,인벤티지랩,코스닥,2022-11-22
419080,엔젯,코스닥,2022-11-18
084440,유비온,코스닥,2022-11-18
204610,티쓰리,코스닥,2022-11-17
425420,티에프이,코스닥,2022-11-17
372170,윤성에프앤씨,코스닥,2022-11-14
383930,디티앤씨알오,코스닥,2022-11-11
348340,뉴로메카,코스닥,2022-11-04
417500,제이아이테크,코스닥,2022-11-04
108320,LX세미콘,유가,2022-11-03
405100,큐알티,코스닥,2022-11-02
417840,저스템,코스닥,2022-10-28
419120,산돌,코스닥,2022-10-27
434190,탈로스,코넥스,2022-10-24
405000,플라즈맵,코스닥,2022-10-21
291810,핀텔,코스닥,2022-10-20
378800,샤페론,코스닥,2022-10-19
419540,비스토스,코스닥,2022-10-18
360070,탑머티리얼,코스닥,2022-10-18
389500,에스비비테크,코스닥,2022-10-17
368970,오에스피,코스닥,2022-10-14
417970,모델솔루션,코스닥,2022-10-07
296640,이노에이엑스,코스닥,2022-10-07
441270,파인엠텍,코스닥,2022-10-07
432320,KB스타리츠,유가,2022-10-06
067370,선바이오,코스닥,2022-10-05
393890,더블유씨피,코스닥,2022-09-30
314140,알피바이오,코스닥,2022-09-29
413300,티엘엔지니어링,코넥스,2022-09-27
394280,오픈엣지테크놀로지,코스닥,2022-09-26
129920,대성하이텍,코스닥,2022-08-22
403550,쏘카,유가,2022-08-22
148930,에이치와이티씨,코스닥,2022-08-09
107600,새빗켐,코스닥,2022-08-04
126720,수산인더스트리,유가,2022-08-01
368600,아이씨에이치,코스닥,2022-07-29
365340,성일하이텍,코스닥,2022-07-28
397030,에이프릴바이오,코스닥,2022-07-28
341170,퓨쳐메디신,코넥스,2022-07-27
424760,벨로크,코스닥,2022-07-22
328130,루닛,코스닥,2022-07-21
354390,바스칸바이오제약,코넥스,2022-07-20
403870,HPSP,코스닥,2022-07-15
112290,와이씨켐,코스닥,2022-07-14
402030,코난테크놀로지,코스닥,2022-07-07
396270,넥스트칩,코스닥,2022-07-01
412350,레이저쎌,코스닥,2022-06-24
310210,보로노이,코스닥,2022-06-24
377460,큐에이드,코스닥,2022-06-23
377460,큐에이드,코스닥,2022-06-23
148780,비큐AI,코스닥,2022-06-20
382900,범한퓨얼셀,코스닥,2022-06-17
176590,코나솔,코넥스,2022-06-15
362320,청담글로벌,코스닥,2022-06-03
357430,마스턴프리미어리츠,유가,2022-05-31
399720,가온칩스,코스닥,2022-05-20
389260,대명에너지,코스닥,2022-05-16
389140,포바이포,코스닥,2022-04-28
388050,지투파워,코스닥,2022-04-01
413630,씨피시스템,코스닥,2022-03-31
417310,코람코더원리츠,유가,2022-03-28
396300,HT로보틱스,코스닥,2022-03-24
366030,나인앤컴퍼니,코스닥,2022-03-23
388720,유일로보틱스,코스닥,2022-03-18
288980,모아데이타,코스닥,2022-03-10
408920,메쎄이상,코스닥,2022-03-07
376930,노을,코스닥,2022-03-03
146320,비씨엔씨,코스닥,2022-03-03
371950,풍원정밀,코스닥,2022-02-28
330730,스톤브릿지벤처스,코스닥,2022-02-25
365900,브이씨,코스닥,2022-02-24
370090,퓨런티어,코스닥,2022-02-23
251120,바이오에프디엔씨,코스닥,2022-02-21
211050,인카금융서비스,코스닥,2022-02-16
137080,나래나노텍,코스닥,2022-02-08
136410,아셈스,코스닥,2022-02-07
276040,스코넥,코스닥,2022-02-04
377330,이지트로닉스,코스닥,2022-02-04
373220,LG에너지솔루션,유가,2022-01-27
179530,애드바이오텍,코스닥,2022-01-24
102370,케이옥션,코스닥,2022-01-24
169670,코스텍시스템,코넥스,2022-01-21
353590,오토앤,코스닥,2022-01-20
200350,아티스트스튜디오,코스닥,2021-12-30
403360,라피치,코넥스,2021-12-14
254160,제이엠멀티,코넥스,2021-12-13
404990,신한서부티엔디리츠,유가,2021-12-10
199800,툴젠,코스닥,2021-12-10
396690,미래에셋글로벌리츠,유가,2021-12-03
402420,켈스,코넥스,2021-11-30
402340,SK스퀘어,유가,2021-11-29
377480,마음AI,코스닥,2021-11-23
361570,알비더블유,코스닥,2021-11-22
400760,NH올원리츠,유가,2021-11-18
290090,트윔,코스닥,2021-11-17
372800,아이티아이즈,코스닥,2021-11-11
311320,지오엘리먼트,코스닥,2021-11-11
357880,SKAI,코스닥,2021-11-10
376300,디어유,코스닥,2021-11-10
389030,지니너스,코스닥,2021-11-08
377300,카카오페이,유가,2021-11-03
376180,피코그램,코스닥,2021-11-03
348370,엔켐,코스닥,2021-11-01
377450,리파인,코스닥,2021-10-29
382800,지앤비에스 에코,코스닥,2021-10-29
114840,아이패밀리에스씨,코스닥,2021-10-28
261780,아리바이오LAB,코스닥,2021-10-22
382480,지아이텍,코스닥,2021-10-21
391710,코닉오토메이션,코스닥,2021-10-15
381970,케이카,유가,2021-10-13
376290,씨유테크,코스닥,2021-10-08
159010,아스플로,코스닥,2021-10-07
382840,원준,코스닥,2021-10-07
257720,실리콘투,코스닥,2021-09-29
260970,에스앤디,코스닥,2021-09-29
377220,프롬바이오,코스닥,2021-09-28
099430,바이오플러스,코스닥,2021-09-27
329180,HD현대중공업,유가,2021-09-17
395400,SK리츠,유가,2021-09-14
273640,와이엠텍,코스닥,2021-09-10
203400,에이비온,코스닥,2021-09-08
388790,라이콤,코스닥,2021-09-03
271940,일진하이솔루스,유가,2021-09-01
377190,디앤디플랫폼리츠,유가,2021-08-27
308080,바이젠셀,코스닥,2021-08-25
139990,아주스틸,유가,2021-08-20
089860,롯데렌탈,유가,2021-08-19
099390,브레인즈컴퍼니,코스닥,2021-08-19
315640,딥노이드,코스닥,2021-08-17
372910,한컴라이프케어,유가,2021-08-17
058970,엠로,코스닥,2021-08-13
367000,플래티어,코스닥,2021-08-12
376980,원티드랩,코스닥,2021-08-11
259960,크래프톤,유가,2021-08-10
195940,HK이노엔,코스닥,2021-08-09
178920,PI첨단소재,유가,2021-08-09
323410,카카오뱅크,유가,2021-08-06
270660,에브리봇,코스닥,2021-07-28
377030,비트맥스,코스닥,2021-07-27
365270,큐라클,코스닥,2021-07-22
137310,에스디바이오센서,유가,2021-07-16
352910,오비고,코스닥,2021-07-13
097520,엠씨넥스,유가,2021-07-06
357580,아모센스,코스닥,2021-06-25
318660,타임기술,코넥스,2021-06-24
303530,이노뎁,코스닥,2021-06-18
232680,라온로보틱스,코스닥,2021-06-17
379390,이성씨엔아이,코넥스,2021-06-04
187660,페니트리움바이오,코스닥,2021-06-03
383310,에코프로에이치엔,코스닥,2021-05-28
383800,LX홀딩스,유가,2021-05-27
363250,진시스템,코스닥,2021-05-26
276730,한울앤제주,코스닥,2021-05-26
383220,F&F,유가,2021-05-21
361670,삼영에스앤씨,코스닥,2021-05-21
252990,샘씨엔에스,코스닥,2021-05-20
352480,씨앤씨인터내셔널,코스닥,2021-05-17
357230,에이치피오,코스닥,2021-05-14
361610,SK아이이테크놀로지,유가,2021-05-11
294570,쿠콘,코스닥,2021-04-28
351330,이삭엔지니어링,코스닥,2021-04-21
059270,해성에어로보틱스,코스닥,2021-04-21
333620,엔시스,코스닥,2021-04-01
289220,자이언트스텝,코스닥,2021-03-24
361390,제노코,코스닥,2021-03-24
347700,스피어,코스닥,2021-03-23
302440,SK바이오사이언스,유가,2021-03-18
314930,바이오다인,코스닥,2021-03-17
950220,네오이뮨텍,코스닥,2021-03-16
378850,화승알앤에이,유가,2021-03-15
356890,싸이버원,코스닥,2021-03-11
334970,프레스티지바이오로직스,코스닥,2021-03-11
247660,나노씨엠에스,코스닥,2021-03-09
338220,뷰노,코스닥,2021-02-26
373200,엑스플러스,코스닥,2021-02-26
340930,성원에너텍,코스닥,2021-02-25
189330,씨이랩,코스닥,2021-02-24
322310,오로스테크놀로지,코스닥,2021-02-24
239890,피엔에이치테크,코스닥,2021-02-16
363260,모비데이즈,코스닥,2021-02-10
262840,아이퀘스트,코스닥,2021-02-05
950210,프레스티지바이오파마,유가,2021-02-05
277810,레인보우로보틱스,코스닥,2021-02-03
321820,아티스트컴퍼니,코스닥,2021-02-03
248070,솔루엠,유가,2021-02-02
163730,핑거,코스닥,2021-01-29
348030,모비릭스,코스닥,2021-01-28
352700,씨앤투스,코스닥,2021-01-28
086710,선진뷰티사이언스,코스닥,2021-01-27
375500,DL이앤씨,유가,2021-01-25
236810,엔비티,코스닥,2021-01-21
368770,파이버프로,코스닥,2021-01-21
253610,루트락,코넥스,2020-12-24
365550,ESR켄달스퀘어리츠,유가,2020-12-23
369370,블리츠웨이엔터테인먼트,코스닥,2020-12-23
357550,석경에이티,코스닥,2020-12-23
314130,지놈앤컴퍼니,코스닥,2020-12-23
335810,프리시젼바이오,코스닥,2020-12-22
347860,알체라,코스닥,2020-12-21
365590,하이딥,코스닥,2020-12-21
064850,에프앤가이드,코스닥,2020-12-17
356860,티엘비,코스닥,2020-12-14
352940,인바이오,코스닥,2020-12-11
354200,엔젠바이오,코스닥,2020-12-10
317690,퀀타매트릭스,코스닥,2020-12-09
009900,명신산업,유가,2020-12-07
352770,셀레스트라,코스닥,2020-12-04
318020,포인트모바일,코스닥,2020-12-03
129890,앱코,코스닥,2020-12-02
265740,엔에프씨,코스닥,2020-12-02
199820,제일일렉트릭,코스닥,2020-11-26
299030,하나기술,코스닥,2020-11-25
244920,에이플러스에셋,유가,2020-11-20
340570,티앤엘,코스닥,2020-11-20
348150,고바이오랩,코스닥,2020-11-18
330860,네패스아크,코스닥,2020-11-17
339770,교촌에프앤비,유가,2020-11-12
290690,아리바이오홀딩스,코스닥,2020-11-06
348350,위드텍,코스닥,2020-10-30
347000,센코,코스닥,2020-10-29
301300,바이브컴퍼니,코스닥,2020-10-28
122830,원포유,코넥스,2020-10-23
214610,롤링스톤,코스닥,2020-10-22
304840,피플바이오,코스닥,2020-10-19
352820,하이브,유가,2020-10-15
348210,넥스틴,코스닥,2020-10-08
053080,케이엔솔,코스닥,2020-09-24
126340,비나텍,코스닥,2020-09-23
359090,씨엔알리서치,코스닥,2020-09-23
323990,박셀바이오,코스닥,2020-09-22
323990,박셀바이오,코스닥,2020-09-22
363280,티와이홀딩스,유가,2020-09-22
318410,비비씨,코스닥,2020-09-21
355150,코스텍시스,코스닥,2020-09-18
347770,핌스,코스닥,2020-09-18
291650,츌립앤사이언스,코스닥,2020-09-16
294090,이오플로우,코스닥,2020-09-14
293490,카카오게임즈,코스닥,2020-09-10
