ticker,market,per,pbr,pcr,upjong_per,ev_ebitda,eps,bps,div_yield
0010F0,KOSDAQ,20.4,0.77,4.68,10601.2,6.24,115.0,3039.0,12.0
0010V0,KOSDAQ,6.2,0.67,12.28,,3.76,1410.0,13040.0,2.86
001130,KOSPI,,0.18,1.37,37.22,1.14,-2395.0,61840.0,3.53
0011A0,KOSDAQ,20.79,2.13,33.6,63.01,26.73,605.0,5903.0,12.0
0011T0,KOSDAQ,,1.59,-8.66,,-24.1,-878.0,3342.0,0.0
001210,KOSPI,,5.05,32.62,8.56,-208.43,-4.0,2191.0,0.0
001230,KOSPI,2.95,0.17,6.17,22.68,5.41,720.0,12840.0,0.94
001250,KOSPI,14.2,0.38,3.31,13.34,7.54,183.0,6793.0,0.96
001260,KOSPI,13.63,0.57,2.12,15.34,2.39,549.0,13229.0,12.0
001270,KOSPI,14.71,0.51,7.91,5.13,10.93,3495.0,100224.0,4.67
001275,KOSPI,14.71,0.51,7.91,5.13,10.93,3495.0,100224.0,4.67
001290,KOSPI,7.17,0.43,0.24,5.13,-224.95,578.0,9655.0,0.0
001340,KOSPI,29.18,0.96,8.68,10601.2,13.94,167.0,5065.0,0.62
001360,KOSPI,,1.81,-13.0,35.58,-7.95,-1457.0,768.0,12.0
001380,KOSPI,7.48,0.17,3.04,8.13,3.12,162.0,6993.0,0.0
001390,KOSPI,3.19,0.27,0.78,7.9,2.75,1367.0,15858.0,3.44
0013V0,KOSDAQ,8.99,1.15,4.43,37.22,5.43,578.0,4497.0,12.0
001420,KOSPI,,0.55,-4.6,8.13,16.78,-395.0,5451.0,6.69
001430,KOSPI,17.49,0.78,13.67,22.68,11.57,2472.0,55195.0,2.77
001440,KOSPI,,2.9,-30.37,45.96,34.09,-82.0,9634.0,0.0
001450,KOSPI,3.66,0.59,1.23,8.5,4.07,13238.0,82565.0,0.0
001460,KOSPI,13.84,0.54,9.18,7.14,6.22,2702.0,69422.0,1.07
001465,KOSPI,13.84,0.54,9.18,7.14,6.22,2702.0,69422.0,1.07
001470,KOSPI,0.01,0.03,0.11,15.34,-10.57,419278.0,180854.0,0.0
001500,KOSPI,6.32,0.29,-2.98,5.13,33.87,1246.0,26842.0,4.7
001510,KOSPI,7.91,0.74,-1.49,5.13,59.22,295.0,3135.0,0.0
001515,KOSPI,7.91,0.74,-1.49,5.13,59.22,295.0,3135.0,0.0
001520,KOSPI,10.61,0.14,-8.09,2.96,-145.19,98.0,7517.0,0.0
001525,KOSPI,10.61,0.14,-8.09,2.96,-145.19,98.0,7517.0,0.0
001527,KOSPI,10.61,0.14,-8.09,2.96,-145.19,98.0,7517.0,0.0
001530,KOSPI,86.85,1.05,142.64,7.14,47.43,307.0,25410.0,0.36
001540,KOSDAQ,6.14,0.65,2.91,35.58,8.17,1660.0,15724.0,6.21
001550,KOSPI,21.28,0.88,13.5,10601.2,16.73,493.0,11885.0,12.0
001560,KOSPI,12.4,0.55,10.99,20.76,4.7,728.0,16358.0,7.98
001570,KOSPI,,1.41,-14.66,10601.2,-41.15,-983.0,6997.0,0.0
0015G0,KOSDAQ,33.57,2.45,-17.1,32.18,22.59,417.0,5719.0,12.0
0015N0,KOSDAQ,26.06,3.59,26.76,27.72,21.67,499.0,3625.0,0.0
0015S0,KOSDAQ,19.26,1.45,19.1,8.13,24.69,451.0,5984.0,12.0
001620,KOSPI,1.01,0.16,0.58,8.13,3.59,2118.0,13066.0,0.0
001630,KOSPI,3.59,0.28,2.54,35.58,6.04,10714.0,137835.0,3.64
001680,KOSPI,,0.59,3.47,37.22,4.21,-8325.0,30646.0,4.68
001685,KOSPI,,0.59,3.47,37.22,4.21,-8325.0,30646.0,4.68
001740,KOSPI,11.43,0.58,6.26,22.02,10.34,550.0,10871.0,3.97
001750,KOSPI,4.2,0.37,0.97,5.13,5.91,4542.0,50912.0,8.39
001755,KOSPI,4.2,0.37,0.97,5.13,5.91,4542.0,50912.0,8.39
001770,KOSPI,12.92,0.16,-1.49,22.68,4.55,553.0,44957.0,2.8
001780,KOSPI,7.77,0.44,2.65,20.76,5.95,200.0,3563.0,12.0
001790,KOSPI,,0.54,-32.33,37.22,5.02,-875.0,5318.0,4.15
001795,KOSPI,,0.54,-32.33,37.22,5.02,-875.0,5318.0,4.15
0017J0,KOSDAQ,,1.09,5.61,8.76,6.21,-358.0,2352.0,0.0
001810,KOSDAQ,,0.13,-38.1,,17.45,-653.0,8589.0,1.3
001840,KOSDAQ,,4.63,-4.11,15.34,17.55,-44.0,479.0,0.0
