date,ticker,name,close,change,volume,indiv,organ,frgn,foreign_ratio,open,high,low,amount,marcap,shares,market
20080901,000020,동화약품,38400,-3549,26463,-5764,4284,1470,9.7578125,41800,41900,36150,1023623700,214513689600,5586294,KOSPI
20080901,000040,S&T모터스,475,-65,784500,-210,,210,0.47998046875,530,545,470,385792150,52531303550,110592218,KOSPI
20080901,000050,경방,123000,-2999,1509,76,-775,699,0.56982421875,126000,126500,122000,185642000,255840000000,2080000,KOSPI
20080901,000060,메리츠화재,8950,-550,343675,-100504,52134,63730,19.984375,9240,9440,8950,3174776660,1108010000000,123800000,KOSPI
20080901,000070,삼양사,41050,-1348,18207,-5074,7774,-2700,4.30078125,42250,42250,40500,751856350,411242142950,10018079,KOSPI
20080901,000075,삼양사우,22000,0,0,0,,,7.890625,0,0,0,0,8516200000,387100,KOSPI
20080901,000100,유한양행,225000,1008,31580,-8781,-1244,10022,21.921875,224000,228500,223000,7137521000,2162159775000,9609599,KOSPI
20080901,000105,유한양행우,149000,1006,71,0,,,4.19921875,149000,149000,148000,11026000,35192012000,236188,KOSPI
20080901,000120,대한통운,92300,-3996,6133,-2420,2087,333,11.546875,93600,96200,92300,569846800,3704428564200,40134654,KOSPI
20080901,000140,하이트홀딩스,29400,-5152,236477,48251,41409,-89710,7.30859375,34550,34700,29400,7202108800,347744434800,11828042,KOSPI
20080901,000145,하이트홀딩스우,13600,-2101,3122,0,,,80.0,15350,15650,13600,46149300,6403016000,470810,KOSPI
20080901,000150,두산,105000,-18500,549243,70124,-21077,-49271,7.359375,115500,117000,105000,58792425500,2596838160000,24731792,KOSPI
20080901,000155,두산우,26200,-4400,4061,1391,-1,-1390,13.6171875,28000,28000,26050,107309700,123975439400,4731887,KOSPI
20080901,000157,두산2우B,39150,-6650,240,0,,,0.0,41050,41050,39150,9664500,40634842050,1037927,KOSPI
20080901,000180,성창기업,17750,-699,13081,-2000,2000,0,1.6396484375,18400,18400,17300,232172750,106500000000,6000000,KOSPI
20080901,000210,대림산업,64700,-3398,459738,-60912,-12152,73118,48.125,67200,68000,64300,30303846200,2251560000000,34800000,KOSPI
20080901,000215,대림산업우,29450,-749,17507,-1820,11920,-10100,54.875,30000,30000,28000,502326150,111910000000,3800000,KOSPI
20080901,000220,유유제약,7000,-740,18663,860,,-860,16.015625,7660,7700,6710,133343400,40820150000,5831450,KOSPI
20080901,000225,유유제약1우,4340,-340,340,0,,,21.3125,4480,4480,4340,1493000,4919238100,1133465,KOSPI
20080901,000227,유유제약2우B,7590,-120,4550,0,,,0.0,7100,7680,6920,33411800,1245367200,164080,KOSPI
20080901,000230,일동제약,30250,249,9269,-2900,720,2180,24.0625,28750,30850,28750,281067317,151661793250,5013613,KOSPI
20080901,000240,한국타이어,15150,-850,632209,-88471,70379,18092,35.65625,15750,16050,15100,9885492200,2305677424350,152189929,KOSPI
20080901,000250,삼천당제약,2345,-275,238167,7152,0,-9152,0.72998046875,2620,2620,2345,583176425,46900000000,20000000,KOSDAQ
20080901,000270,기아차,12500,-600,4004323,21711,1342079,-1365700,10.5234375,12800,13200,12250,50690603650,4340380687500,347230455,KOSPI
20080901,000300,대유신소재,2150,-210,524754,1260,,-1260,0.89990234375,2310,2335,2140,1162093050,99687228950,46366153,KOSPI
20080901,000320,디피아이홀딩스,6120,-300,440,0,,,2.9296875,6100,6380,6100,2734900,80775499320,13198611,KOSPI
20080901,000325,디피아이홀딩스우,6340,40,220,0,,,18.5625,6040,6340,5720,1329200,1174485000,185250,KOSPI
20080901,000327,디피아이홀딩스2B,7890,90,80,0,,,18.59375,7490,7990,6810,581100,730140600,92540,KOSPI
20080901,000360,삼환기업,16550,-350,5600,-3180,2620,560,25.28125,16600,16600,15750,91931000,195708632250,11825295,KOSPI
20080901,000365,삼환기업우,8470,-820,2240,220,,-220,35.0625,8570,8800,8140,19020700,12283143180,1450194,KOSPI
20080901,000370,한화손해보험,10550,-1850,265523,-10370,12810,-2440,5.421875,11850,12000,10550,2925315150,321534924200,30477244,KOSPI
20080901,000390,삼화페인트,3060,-125,30353,-4970,5000,-30,13.6015625,3140,3140,3050,93662580,68544000000,22400000,KOSPI
20080901,000400,롯데손해보험,6730,-1170,356293,225960,-226150,0,0.1700439453125,7670,7880,6720,2428992490,282996500000,42050000,KOSPI
20080901,000420,로케트전기,7020,-790,12470,280,,-280,0.31005859375,7680,7700,6800,91161300,13519789920,1925896,KOSPI
20080901,000425,로케트전우,14300,0,500,0,,,0.0,13200,14300,12500,6631000,1521191100,106377,KOSPI
20080901,000430,대원강업,1800,-65,26651,2770,-1070,-1700,4.71875,1860,1860,1755,48217450,108000000000,60000000,KOSPI
20080901,000440,중앙에너비스,36450,51,607,-500,500,,1.650390625,36400,36700,35000,21980900,22697888850,622713,KOSDAQ
20080901,000470,그린손해보험,7400,-850,63278,4290,-500,-3790,2.98046875,8200,8210,7400,481923890,106767732800,14428072,KOSPI
20080901,000480,조선내화,90000,599,802,-776,,776,5.37890625,89700,90000,88500,71848800,360000000000,4000000,KOSPI
20080901,000490,대동공업,17500,-500,4960,20,-20,,4.19921875,17200,17900,16900,86209000,83048735000,4745642,KOSPI
20080901,000500,가온전선,29900,-2600,1990,-600,1100,-500,10.390625,31450,31450,29300,59723000,116610000000,3900000,KOSPI
20080901,000520,삼일제약,10050,-700,7540,-2290,3000,-710,46.375,10700,10700,9980,77646600,55275000000,5500000,KOSPI
20080901,000540,흥국쌍용화재,7250,-600,181483,-19736,19986,-530,0.3798828125,7630,7760,6680,1394870950,356884788000,49225488,KOSPI
20080901,000545,흥국쌍용화재우,2890,-510,990,0,,,0.0,3105,3105,2890,2927350,2219520000,768000,KOSPI
20080901,000547,흥국쌍용화재2우B,6800,0,710,0,,,0.0,6620,7050,6620,4752700,1044480000,153600,KOSPI
20080901,000590,조선선재,59700,-1399,90,47,-47,,0.01000213623046875,59100,60200,56300,5281900,35820000000,600000,KOSPI
20080901,000610,제일화재,6390,-740,215852,1050,7530,-9080,4.25,7130,7130,6290,1482611020,171088249860,26774374,KOSPI
20080901,000640,동아제약,111500,0,29528,-17280,13682,3598,18.671875,112000,112500,110000,3272637500,1143209500000,10253000,KOSPI
20080901,000650,천일고속,43200,-498,250,160,-160,,2.25,43700,43700,41050,10490000,61742304000,1429220,KOSPI
20080901,000660,하이닉스,17200,-2200,7082737,-139978,-1292000,1433658,22.4375,18900,19200,17200,127300956050,7905167988000,459602790,KOSPI
20080901,000670,영풍,477000,-2012,956,-635,310,325,7.30859375,478500,485000,460000,451791500,878653080000,1842040,KOSPI
20080901,000680,LS네트웍스,7160,-10,3158,-10,,10,0.0200042724609375,7000,7170,7000,22203580,564486903480,78838953,KOSPI
20080901,000685,LS네트웍스우,57600,-9998,346,0,,,0.07000732421875,65500,65500,57600,20513600,970329600,16846,KOSPI
20080901,000700,한진해운,23900,-4099,1793177,57472,-178392,120690,34.40625,27150,27300,23900,45351060050,2087643418300,87349097,KOSPI
20080901,000720,현대건설,53000,-3401,932816,-69163,-141847,212004,9.390625,55000,55300,51600,49658269500,5882418696000,110989032,KOSPI
20080901,000725,현대건설우,25950,-4050,1590,10,-10,,0.2099609375,27800,28000,25500,41666500,2565313200,98856,KOSPI
20080901,000760,이화산업,5480,240,270,0,,,0.01000213623046875,5470,5480,4720,1420050,15344000000,2800000,KOSPI
20080901,000790,C&상선,410,-65,2485299,20430,,-29040,6.9609375,475,475,410,1064881660,81279266330,198242113,KOSPI
20080901,000800,경남기업,11000,-1850,726490,12710,-29850,15690,7.7890625,12550,12800,10950,8269654150,173786591000,15798781,KOSPI
20080901,000810,삼성화재,199000,0,184537,-29922,23980,5952,50.75,193000,203000,193000,36946265000,9427592563000,47374837,KOSPI
20080901,000815,삼성화재우,75000,-1398,1412,-1144,0,1144,64.125,76000,76000,73000,105963100,239400000000,3192000,KOSPI
20080901,000830,삼성물산,43300,-4450,1461544,-280608,-86104,373042,14.7734375,46800,46900,43250,65373248700,6764229181200,156217764,KOSPI
20080901,000835,삼성물산우,16800,-1551,10488,1280,-200,-1140,42.0,18000,18000,16800,182688400,78097370400,4648653,KOSPI
20080901,000850,화천기공,40000,1101,230,-180,180,,5.44921875,38750,40000,38250,8971000,88000000000,2200000,KOSPI
20080901,000860,건설화학,15400,-499,6010,2330,-2330,,9.640625,15500,15500,15000,91460000,100100000000,6500000,KOSPI
20080901,000880,한화,33450,-3799,885243,-122075,26605,95420,15.75,36500,36700,33200,30317398150,2507369685750,74958735,KOSPI
20080901,000885,한화우,12150,-1651,3350,220,,-220,38.125,13800,13800,12150,42111000,5823422100,479294,KOSPI
20080901,000890,보해양조,15650,-850,5503,410,,-410,0.64013671875,16450,16600,15650,88442450,34469923150,2202551,KOSPI
20080901,000895,보해양조우,251000,-16991,9,0,,,0.0,259500,259500,250000,2273000,640301000,2551,KOSPI
20080901,000910,유니온,7000,-730,36925,-110,-5100,5210,7.53125,7670,7740,6610,264991050,99560300000,14222900,KOSPI
20080901,000950,전방,33100,-450,70,0,0,,0.1600341796875,33300,33300,33100,2323500,55608000000,1680000,KOSPI
20080901,000970,한국주철관,5200,-90,25680,-6460,6460,0,5.421875,5290,5290,4750,128715900,118562600000,22800500,KOSPI
20080901,000990,동부하이텍,7890,-510,6416033,-73280,69770,3510,7.8515625,8240,8260,7400,53770298980,293483580450,37196905,KOSPI
20080901,000995,동부하이텍1우,6700,-850,200,0,,,1.0400390625,6780,6900,6700,1352900,752517200,112316,KOSPI
20080901,000997,동부하이텍2우B,22950,-550,0,0,,,1.0498046875,0,0,0,0,711886050,31019,KOSPI
20080901,001000,신라섬유,5610,-320,191,0,,,0.0,5900,5930,5050,1073480,18833566620,3357142,KOSDAQ
20080901,001020,페이퍼코리아,5300,-240,95800,-1570,2000,-430,1.349609375,5350,5600,5210,517244100,52872884800,9976016,KOSPI
20080901,001040,CJ,56700,-700,58656,-35970,21849,14121,17.15625,57300,57300,55800,3315457800,1561692976200,27543086,KOSPI
20080901,001045,CJ우,19750,-799,4470,-40,1670,-1630,20.9375,20200,20350,19600,89713000,44639404250,2260223,KOSPI
20080901,001047,CJ2우B,55000,-1002,841,-426,426,,17.25,53500,57000,53500,45780100,56047255000,1019041,KOSPI
20080901,001049,CJ3우B,50000,-901,36,0,,,3.3203125,50000,50000,49000,1780000,26658650000,533173,KOSPI
20080901,001060,중외제약,14500,-599,41240,-10240,12810,-2570,4.5703125,15000,15050,13900,586858000,131089802000,9040676,KOSPI
20080901,001065,중외제약우,11050,0,0,0,,,2.3203125,0,0,0,0,1434466800,129816,KOSPI
20080901,001067,중외제약2우B,18600,-1200,280,0,,,1.25,19800,19800,18600,5360000,796935600,42846,KOSPI
20080901,001070,대한방직,32200,-2301,1695,-100,100,,3.150390625,33600,33900,30100,55789500,34132000000,1060000,KOSPI
20080901,001080,만호제강,11150,-1751,24300,-1000,1000,0,2.080078125,12850,12850,11000,279760500,46272500000,4150000,KOSPI
20080901,001120,LG상사,22500,-450,218425,-126348,69108,57690,3.3203125,23000,23100,22150,4940189500,872100000000,38760000,KOSPI
20080901,001130,대한제분,203000,4506,1719,-1285,845,450,17.75,201500,204000,196000,348419000,343070000000,1690000,KOSPI
20080901,001140,국보,6840,-870,8000,0,,,0.0,7580,7580,6820,56821700,7026759360,1027304,KOSPI
20080901,001190,,380,0,0,,,,3.859375,0,0,0,0,13303168820,35008339,KOSPI
20080901,001200,유진투자증권,1030,-50,12415183,415740,218560,-631300,1.25,1075,1105,1030,13256807540,570028697600,553425920,KOSPI
20080901,001210,금호전기,22400,-1349,23013,-1606,1426,180,8.0,23750,23750,22100,520390700,154919542400,6916051,KOSPI
20080901,001230,동국제강,33450,-5751,946798,163608,-280784,117126,34.0,38400,39700,33350,33316082400,2068022500500,61824290,KOSPI
20080901,001250,쌍용,7950,-170,17243,-920,920,0,69.625,8330,8500,7000,132076550,84902199900,10679522,KOSPI
20080901,001260,남광토건,53500,-9198,29965,-769,8,703,0.43994140625,61500,63000,53400,1682231000,1177000000000,22000000,KOSPI
20080901,001270,부국증권,23800,-399,0,0,,,0.81005859375,0,0,0,0,246803286800,10369886,KOSPI
20080901,001275,부국증권우,11650,0,0,0,,,10.203125,0,0,0,0,34950000000,3000000,KOSPI
20080901,001290,골든브릿지증권,2110,-240,288282,-14630,,14630,2.400390625,2295,2325,2110,631329010,102835211370,48737067,KOSPI
20080901,001300,제일모직,51200,-801,303635,-160570,62037,98592,24.546875,51200,52000,51200,15642847100,2560000000000,50000000,KOSPI
20080901,001310,풍림산업,4310,-335,35200,-6380,160,6220,4.78125,4630,4650,4290,156557000,92751200000,21520000,KOSPI
20080901,001340,백광산업,66600,-898,1140,0,,,9.78125,67500,67500,63000,72537300,172160733600,2584996,KOSPI
20080901,001360,삼성제약,2750,-95,24200,0,,,0.0,2905,2905,2700,67205550,20871765750,7589733,KOSPI
20080901,001370,FnC코오롱,15000,-350,6051,-3870,1760,2110,0.85986328125,15600,15600,14800,91532000,180054000000,12003600,KOSPI
20080901,001375,FnC코오롱우,6600,-250,0,0,,,0.0,0,0,0,0,4782472200,724617,KOSPI
20080901,001380,SG글로벌,5780,290,1790,0,,,0.0,5500,5840,5200,9808700,74246267500,12845375,KOSPI
20080901,001385,,2313000,0,0,,,,0.0,0,0,0,0,76329000,33,KOSPI
20080901,001390,KG케미칼,8260,-640,87860,-25880,25730,150,4.51171875,8720,8780,7650,730975400,88382000000,10700000,KOSPI
20080901,001420,태원물산,17600,-800,2860,0,,,0.0,18300,18450,17600,50688000,11616000000,660000,KOSPI
20080901,001430,세아베스틸,24300,-850,145052,-53142,51312,1840,3.759765625,25000,25100,23800,3533000600,871449491700,35862119,KOSPI
20080901,001440,대한전선,28000,-3851,398121,67741,-84141,16200,5.9296875,31000,31350,28000,11726565650,1373679496000,49059982,KOSPI
20080901,001450,현대해상,17100,-1051,415694,-61593,58823,2770,24.09375,17900,18000,16800,7196781000,1528740000000,89400000,KOSPI
20080901,001460,BYC,220000,0,20,-20,20,,1.2197265625,220000,220000,220000,4400000,137415300000,624615,KOSPI
20080901,001465,BYC우,77800,1697,1,0,,,0.5498046875,77800,77800,77800,77800,16756953000,215385,KOSPI
20080901,001470,삼부토건,34600,-949,5260,-954,-76,1030,21.09375,34400,35400,33000,178268500,262059431200,7573972,KOSPI
20080901,001500,HMC투자증권,16200,-1850,223049,8571,-8571,0,4.9296875,17500,17600,16000,3728929800,256561198200,15837111,KOSPI
20080901,001510,SK증권,1610,-175,4343881,9350,28080,-39430,1.6103515625,1765,1780,1605,7385147270,515388645310,320117171,KOSPI
20080901,001515,SK증권우,1400,-200,10960,0,,,0.52978515625,1645,1645,1380,16269050,5477519600,3912514,KOSPI
20080901,001520,동양메이저,4800,-460,547552,-64881,30871,34010,5.7109375,5210,5260,4790,2715520070,362415384000,75503205,KOSPI
20080901,001525,동양메이저우,1775,-275,15360,0,,,0.320068359375,2095,2095,1775,28245750,11061501800,6231832,KOSPI
20080901,001527,동양메이저2우B,3180,-255,151,0,,,0.0,3135,3460,3135,480730,9908612880,3115916,KOSPI
20080901,001529,동양메이저3우B,2900,-300,110,0,,,0.0,2850,2900,2850,314000,2701474700,931543,KOSPI
20080901,001530,동일방직,66700,-1002,1454,-1416,1416,,3.419921875,70000,70000,66700,97107900,141803933200,2125996,KOSPI
20080901,001540,안국약품,7350,-250,1163,-9,448,-439,11.1328125,7600,7600,7130,8650940,84525000000,11500000,KOSDAQ
20080901,001550,조비,6700,-540,26620,800,,-800,0.469970703125,7240,7250,6700,183039100,10496662200,1566666,KOSPI
20080901,001560,제일연마,4400,-185,25360,-9730,9730,,0.1099853515625,4400,4535,4250,109768150,44000000000,10000000,KOSPI
20080901,001570,금양,470,-35,198397,0,,,0.01000213623046875,500,500,470,95916400,18496054760,39353308,KOSPI
20080901,001600,서광건설,4025,-705,1027177,-9390,,9600,0.04998779296875,4900,4930,4025,4470483785,40743621975,10122639,KOSPI
20080901,001620,동국실업,1190,-165,1198470,-63870,,63870,1.3798828125,1355,1365,1170,1480221750,31338078800,26334520,KOSPI
20080901,001630,종근당,17900,-599,53081,-30810,24920,5890,4.76171875,18350,18500,17600,955877700,233595000000,13050000,KOSPI
20080901,001680,대상,9030,-210,142910,-72640,72520,220,16.546875,9230,9240,9030,1306051410,301758182880,33417296,KOSPI
20080901,001685,대상우,4090,-10,760,0,,,27.78125,3970,4090,3950,3008600,5604212070,1370223,KOSPI
20080901,001687,대상2우B,8980,-20,0,0,,,1.349609375,0,0,0,0,8928625420,994279,KOSPI
20080901,001689,대상3우B,8840,-210,0,0,,,0.0,0,0,0,0,2090218000,236450,KOSPI
20080901,001720,신영증권,40700,-499,901,-259,19,260,19.125,41200,41200,39650,36441200,382019845900,9386237,KOSPI
20080901,001725,신영증권우,30600,-1302,40,0,,,19.453125,28750,30600,28750,1187000,215845147800,7053763,KOSPI
20080901,001740,SK네트웍스,16000,-800,137784,-52160,28290,23870,2.26953125,16700,16800,16000,2267600250,3887948768000,242996798,KOSPI
20080901,001745,SK네트웍스우,9630,-1170,410,0,,,0.07000732421875,10300,10300,9610,4077300,1094430240,113648,KOSPI
20080901,001750,한양증권,9980,-1270,161890,-45370,40990,4380,10.0390625,10900,11050,9980,1673786800,127030769320,12728534,KOSPI
20080901,001755,한양증권우,5500,-650,35800,680,-680,,0.0200042724609375,6150,6150,5390,197087200,2887500000,525000,KOSPI
