ticker,date,pc,close,j
000880,20260825,83800.0,118100,0.40930787589498796
001465,20240417,198900.0,17100,-0.9140271493212669
003060,20260508,251.0,3480,12.864541832669323
006740,20260806,5260.0,1052,-0.8
006740,20260828,1052.0,5340,4.076045627376426
007460,20260508,293.0,4530,14.46075085324232
007610,20260429,3000.0,6500,1.1666666666666665
009310,20260511,1065.0,5330,4.004694835680751
009415,20240712,3565.0,7130,1.0
012170,20250306,230.0,2065,7.978260869565217
012170,20260828,748.0,3705,3.9532085561497325
012280,20260806,3995.0,784,-0.8037546933667084
012280,20260828,803.0,4100,4.1058530510585305
027970,20260806,2680.0,536,-0.8
027970,20260814,536.0,2750,4.130597014925373
33637L,20240108,10680.0,6100,-0.42883895131086147
417310,20260828,10930.0,2335,-0.7863677950594694
