date,ticker,name,close,change,volume,indiv,organ,frgn,foreign_ratio,open,high,low,amount,marcap,shares,market
20131202,000020,동화약품,4970,-30,122794,-6780,0,-1320,6.23046875,5000,5030,4900,606723180,138819405900,27931470,KOSPI
20131202,000040,S&T모터스,452,-1,85280,2920,,-3060,0.1600341796875,451,454,446,38242890,53942303308,119341379,KOSPI
20131202,000050,경방,105500,-1498,854,312,196,-8,1.6904296875,105000,107000,105000,90107000,262937439000,2492298,KOSPI
20131202,000060,메리츠화재,15350,551,454844,-49742,-81058,141590,17.25,14950,15350,14850,6903032750,1555397080000,101328800,KOSPI
20131202,000070,삼양홀딩스,85200,-1297,4973,119,2223,-2331,10.5234375,86500,87200,84400,424650100,696123618000,8170465,KOSPI
20131202,000075,삼양홀딩스우,34150,0,0,0,,,16.890625,0,0,0,0,10383580700,304058,KOSPI
20131202,000080,하이트진로,25250,-99,114075,22901,8481,-31142,19.03125,25250,25300,24950,2867941250,1770873677750,70133611,KOSPI
20131202,000087,하이트진로2우B,19300,-101,1600,220,,-220,32.9375,19400,19400,19250,30826000,21811663400,1130138,KOSPI
20131202,000100,유한양행,188500,508,18035,-863,-2401,3264,25.5625,188000,189500,186000,3383802500,2102254921000,11152546,KOSPI
20131202,000105,유한양행우,93200,-103,19,0,,,4.44140625,93400,93500,93200,1775500,22012721600,236188,KOSPI
20131202,000120,CJ대한통운,90000,-1799,64514,2105,-11841,11010,4.37890625,91500,91500,88600,5764923500,2053110960000,22812344,KOSPI
20131202,000140,하이트진로홀딩스,11550,-250,24086,10550,580,-560,6.359375,11800,11800,11400,277008250,268038135750,23206765,KOSPI
20131202,000145,하이트진로홀딩스우,8140,10,3290,0,,,30.59375,8130,8240,8050,26685200,3832393400,470810,KOSPI
20131202,000150,두산,132000,-3998,38436,7410,-11500,3724,13.828125,134500,136000,131500,5101328500,2756433372000,20882071,KOSPI
20131202,000155,두산우,56900,-297,586,9,,-9,8.8984375,57200,57600,56900,33388900,250990110600,4411074,KOSPI
20131202,000157,두산2우B,55000,99,302,-191,,,0.0,57300,57300,55000,16633200,54212675000,985685,KOSPI
20131202,000180,성창기업지주,17550,-249,5550,-320,,320,3.189453125,17800,17800,17400,97507000,101354058000,5775160,KOSPI
20131202,000210,대림산업,97600,-2905,178998,58105,-40788,-18834,40.8125,100500,101000,97500,17701811000,3396480000000,34800000,KOSPI
20131202,000215,대림산업우,33250,-100,6830,-570,-20,590,28.21875,33300,33800,33100,228411500,126350000000,3800000,KOSPI
20131202,000220,유유제약,6730,50,4940,-1870,,1870,2.189453125,6780,6780,6680,33201000,39245658500,5831450,KOSPI
20131202,000225,유유제약1우,2810,-10,1470,0,,,12.8515625,2770,2815,2770,4088650,3185036650,1133465,KOSPI
20131202,000227,유유제약2우B,6090,-170,790,0,,0,0.740234375,6330,6330,6090,4933100,999247200,164080,KOSPI
20131202,000230,일동제약,11350,-149,11371,3530,-400,-1650,12.4765625,11500,11500,11300,129233900,284522537750,25068065,KOSPI
20131202,000240,한국타이어월드와이드,23100,-801,200257,46199,-45447,2778,4.0,23950,24000,23000,4652237800,2148765996300,93020173,KOSPI
20131202,000250,삼천당제약,4440,135,934411,-26689,14000,-17485,0.469970703125,4315,4530,4310,4156428145,88800000000,20000000,KOSDAQ
20131202,000270,기아차,59600,-797,1002076,193860,-90527,-104051,36.1875,60300,60900,59400,60118291200,24159655481200,405363347,KOSPI
20131202,000300,대유신소재,1300,5,915889,11750,,-28750,0.60986328125,1350,1355,1295,1216147550,113279491000,87138070,KOSPI
20131202,000320,노루홀딩스,19000,100,3420,-1740,0,460,1.16015625,18750,19100,18650,64360000,250773609000,13198611,KOSPI
20131202,000325,노루홀딩스우,11750,300,101,0,,,3.140625,11400,11750,11400,1159800,2176687500,185250,KOSPI
20131202,000327,노루홀딩스2우B,14600,-100,91,0,,,1.099609375,14600,14700,14550,1332800,1351084000,92540,KOSPI
20131202,000360,삼환기업,3805,495,53646,-1600,0,,6.8515625,3805,3805,3805,204123030,33742873175,8868035,KOSPI
20131202,000365,삼환기업우,2170,280,60040,-5400,,,0.7900390625,2170,2170,2170,130286800,2359731780,1087434,KOSPI
20131202,000370,한화손해보험,4670,-50,207730,-7686,-5964,2130,3.529296875,4705,4740,4635,972282020,423750733050,90738915,KOSPI
20131202,000390,삼화페인트,11650,350,247316,-20440,51230,-18610,13.6015625,11200,11700,11000,2830071900,260960000000,22400000,KOSPI
20131202,000400,롯데손해보험,2915,-5,22010,-620,,620,10.078125,2900,2950,2900,64534800,196121200000,67280000,KOSPI
20131202,000420,로케트전기,649,-114,4113361,-35620,,34070,0.6298828125,764,767,649,2815540529,38368410773,59119277,KOSPI
20131202,000425,로케트전우,2770,-275,84929,-1230,0,830,1.7802734375,3190,3190,2610,239491220,2946642900,1063770,KOSPI
20131202,000430,대원강업,7380,-30,8910,1140,-120,-1020,2.310546875,7310,7420,7270,65234500,457560000000,62000000,KOSPI
20131202,000440,중앙에너비스,19350,-401,240,33,,-33,0.05999755859375,19300,19600,19300,4652100,24098993100,1245426,KOSDAQ
20131202,000480,조선내화,83200,3300,4044,-2475,2560,65,2.94921875,79500,83200,79300,326926700,332800000000,4000000,KOSPI
20131202,000490,대동공업,6080,-10,28570,580,,-580,1.98046875,6090,6100,5960,173887100,144267516800,23728210,KOSPI
20131202,000500,가온전선,19200,99,6850,90,-70,-20,11.4296875,19150,19350,19000,131364000,79878662400,4160347,KOSPI
20131202,000520,삼일제약,5580,20,16170,-7720,0,,3.009765625,5550,5750,5440,89162200,30690000000,5500000,KOSPI
20131202,000540,흥국화재,4370,-5,575,10,-10,,0.320068359375,4305,4370,4305,2507150,280740358650,64242645,KOSPI
20131202,000545,흥국화재우,2130,-5,411,0,,,0.0,2130,2135,2095,868740,1635840000,768000,KOSPI
20131202,000547,흥국화재2우B,6150,110,950,0,,,0.0,6390,6460,5980,5814100,944640000,153600,KOSPI
20131202,000590,CS홀딩스,35450,-500,950,150,,-150,0.08001708984375,35950,36000,35450,33844500,40926386900,1154482,KOSPI
20131202,000640,동아쏘시오홀딩스,150000,2999,5341,-1861,-204,2075,26.234375,147000,150000,146000,790141000,650945850000,4339639,KOSPI
20131202,000650,천일고속,33650,-299,180,40,,-40,0.01000213623046875,33400,33650,32600,5966500,48093253000,1429220,KOSPI
20131202,000660,SK하이닉스,35700,301,3268831,-751041,-423383,1187252,41.84375,35650,35900,35250,116575308000,25354171808700,710200891,KOSPI
20131202,000670,영풍,1221000,-23014,301,88,7,-44,2.0703125,1242000,1243000,1214000,368572000,2249130840000,1842040,KOSPI
20131202,000680,LS네트웍스,4360,-65,14630,440,-10,-430,1.1103515625,4410,4420,4350,64158850,337810541520,77479482,KOSPI
20131202,000685,LS네트웍스우,64000,-1702,1401,-5,0,5,0.0200042724609375,64400,66700,61500,88650300,978176000,15284,KOSPI
20131202,000687,LS네트웍스전환상환2우B,4500,0,0,0,,,0.1400146484375,0,0,0,0,5932530000,1318340,KOSPI
20131202,000700,한진해운홀딩스,4375,-65,12476,4370,-2870,-1500,13.3984375,4440,4440,4340,54504200,191585086875,43790877,KOSPI
20131202,000720,현대건설,62700,-201,233868,-100018,96862,948,26.203125,62900,63500,62400,14730309300,6982006465500,111355765,KOSPI
20131202,000725,현대건설우,38000,-1200,3776,260,,-260,4.3515625,39050,39950,37000,144415450,3756528000,98856,KOSPI
20131202,000760,이화산업,7760,0,1370,-50,50,,0.01000213623046875,7470,8150,7470,10569800,21728000000,2800000,KOSPI
20131202,000800,경남기업,3785,-40,105549,1070,0,-970,6.9296875,3830,3875,3735,401319985,59814839480,15803128,KOSPI
20131202,000810,삼성화재,260000,-495,108919,-2939,-7781,10764,54.53125,260500,261500,256000,28218600500,12317457620000,47374837,KOSPI
20131202,000815,삼성화재우,145000,6496,27130,-1375,-8747,10177,66.8125,139000,152000,137000,3937743000,462840000000,3192000,KOSPI
20131202,000830,삼성물산,61700,-1498,1767559,386290,-510927,141960,23.546875,63400,63500,60000,107949352200,9638636038800,156217764,KOSPI
20131202,000835,삼성물산우,26550,-801,7862,2640,-2680,40,27.71875,27100,27150,26500,209638100,123421737150,4648653,KOSPI
20131202,000850,화천기공,48350,-851,2852,362,-552,70,12.828125,49000,49000,48250,138368700,106370000000,2200000,KOSPI
20131202,000860,건설화학,28700,200,8883,-2307,1357,860,4.75,28500,29000,28500,255809100,186550000000,6500000,KOSPI
20131202,000880,한화,38050,-1602,304251,48950,-114650,72710,29.59375,39400,39700,37800,11685334400,2852179866750,74958735,KOSPI
20131202,000885,한화우,14150,-199,1451,370,-500,130,0.300048828125,14000,14400,14000,20713150,6782010100,479294,KOSPI
20131202,000890,보해양조,792,4,55620,-12100,,,0.04998779296875,788,798,785,43935260,37902862800,47857150,KOSPI
20131202,000895,보해양조우,30050,-451,1650,-30,,30,3.080078125,30500,31350,27700,48292500,766575500,25510,KOSPI
20131202,000910,유니온,4285,-45,70776,-3983,-7,990,0.31005859375,4300,4340,4220,301149065,66895787415,15611619,KOSPI
20131202,000950,전방,28500,51,80,0,,,0.0,28000,28500,28000,2258000,47880000000,1680000,KOSPI
20131202,000970,한국주철관,3745,20,9358,-880,,880,1.5302734375,3750,3750,3705,34957920,85387872500,22800500,KOSPI
20131202,000990,동부하이텍,5700,30,130767,11990,20,-13080,7.6484375,5750,5750,5600,742934200,252896642400,44367832,KOSPI
20131202,000995,동부하이텍1우,7320,-130,227,0,,,0.0,7450,7450,7320,1684940,822153120,112316,KOSPI
20131202,000997,동부하이텍2우B,18950,201,601,-50,0,50,1.150390625,18750,19300,17900,11188750,587810050,31019,KOSPI
20131202,001000,신라섬유,4620,-10,50,0,0,,0.0,4655,4655,4615,231620,22432446960,4855508,KOSDAQ
20131202,001020,페이퍼코리아,693,1,260820,-2850,,1850,1.3701171875,698,698,687,180280970,73616211900,106228300,KOSPI
20131202,001040,CJ,103000,-998,84230,12084,19099,-30525,21.921875,104000,105000,101500,8699597000,2989351181000,29022827,KOSPI
20131202,001045,CJ우,37700,-98,1221,-130,120,10,7.26171875,37800,37900,37450,45911650,85210407100,2260223,KOSPI
20131202,001060,JW중외제약,15250,50,29256,-5200,,-590,3.23046875,15150,15300,15050,444849000,210401489750,13796819,KOSPI
20131202,001065,JW중외제약우,11150,-100,80,0,,,0.35009765625,10800,11300,10800,872500,1519811900,136306,KOSPI
20131202,001067,JW중외제약2우B,15900,-300,604,0,,,0.1500244140625,15800,16150,15750,9598100,1139171400,71646,KOSPI
20131202,001070,대한방직,19400,0,300,0,,,0.0,19400,19900,19050,5801000,20564000000,1060000,KOSPI
20131202,001080,만호제강,15000,100,840,60,-60,,1.1298828125,14850,15100,14500,12435000,62250000000,4150000,KOSPI
20131202,001120,LG상사,29400,149,90045,-5944,15954,-9650,10.640625,29250,29600,29250,2646022850,1139544000000,38760000,KOSPI
20131202,001130,대한제분,149000,505,2666,-455,509,-34,8.9609375,150000,150000,146000,393873000,251810000000,1690000,KOSPI
20131202,001140,국보,11300,300,3700,0,0,,0.01000213623046875,11650,11650,10750,41814000,11608535200,1027304,KOSPI
20131202,001200,유진투자증권,2225,5,97873,-1630,-20,1650,4.96875,2200,2240,2200,217467830,128999755050,57977418,KOSPI
20131202,001210,금호전기,23300,-900,18076,840,,-830,3.439453125,24100,24100,23300,425685200,161143988300,6916051,KOSPI
20131202,001230,동국제강,13700,150,226703,2653,-1033,-1620,25.234375,13600,13950,13600,3113296400,846992773000,61824290,KOSPI
20131202,001250,GS글로벌,9100,-30,15210,-1050,30,600,2.25,9100,9110,9030,137965500,205057252400,22533764,KOSPI
20131202,001260,남광토건,10350,-500,1208540,21490,-20,-19420,0.66015625,10700,10950,9990,12515719900,79932201300,7722918,KOSPI
20131202,001270,부국증권,12700,51,203,103,-103,,0.580078125,12650,12750,12500,2563600,131697552200,10369886,KOSPI
20131202,001275,부국증권우,10300,250,12,0,,0,15.3515625,10300,10300,10300,122600,30900000000,3000000,KOSPI
20131202,001290,,849,0,0,,,,0.64990234375,0,0,0,0,79582769883,93737067,KOSPI
20131202,001300,제일모직,90700,-401,161908,9136,-13670,14393,24.015625,91300,91700,90100,14682576500,4756094945700,52437651,KOSPI
20131202,001340,백광산업,3100,10,19681,4690,,-4690,1.400390625,3100,3140,3045,60505250,96754847100,31211241,KOSPI
20131202,001360,삼성제약,1915,10,24430,1000,,-940,0.330078125,1915,1935,1905,46834400,22288775005,11639047,KOSPI
20131202,001380,SG충남방적,1720,15,34581,1151,0,0,0.0,1750,1750,1620,57559120,71805648400,41747470,KOSPI
20131202,001385,SG충남방적우,1575000,0,0,0,,,0.0,0,0,0,0,173250000,110,KOSPI
20131202,001390,KG케미칼,16400,350,88742,23020,-22630,850,5.51171875,16050,17050,16050,1477840300,175480000000,10700000,KOSPI
20131202,001420,태원물산,2425,-45,22030,290,,-290,0.01000213623046875,2435,2460,2425,53779950,17605500000,7260000,KOSPI
20131202,001430,세아베스틸,27200,100,43725,-8679,5630,3050,7.87890625,27100,27250,26800,1183311600,975449636800,35862119,KOSPI
20131202,001440,대한전선,2650,30,3553454,169044,-67,-175987,5.3515625,2625,2730,2570,9434986730,278612215250,105136685,KOSPI
20131202,001450,현대해상,31850,-99,193864,14786,-41249,13883,33.96875,32100,32700,31800,6215949500,2847390000000,89400000,KOSPI
20131202,001460,BYC,188500,-1004,53,0,,,0.97021484375,189500,189500,187000,9973500,117739927500,624615,KOSPI
20131202,001465,BYC우,70100,0,1,0,,,0.0,70100,70100,70100,70100,15098488500,215385,KOSPI
20131202,001470,삼부토건,4915,-105,42080,1530,,-1530,1.66015625,5020,5050,4865,207563850,39333206605,8002687,KOSPI
20131202,001500,HMC투자증권,10150,-50,15550,-1076,1276,-200,4.05859375,10200,10200,10050,157503500,297771676650,29337111,KOSPI
20131202,001510,SK증권,767,-16,1211627,-26550,-50,26450,5.66015625,777,786,765,935472829,245529870157,320117171,KOSPI
20131202,001515,SK증권우,717,-16,7512,0,,,0.0200042724609375,733,749,717,5411352,2805272538,3912514,KOSPI
20131202,001520,동양,311,-29,27262727,5722500,-6096600,431970,2.099609375,319,329,297,8504078709,76177592397,244944027,KOSPI
20131202,001525,동양우,347,-37,268095,-18610,,18610,0.0,351,369,331,93267359,2162445704,6231832,KOSPI
20131202,001527,동양2우B,1035,-55,25850,0,,,0.0,1080,1140,1000,27272100,3224973060,3115916,KOSPI
20131202,001529,동양3우B,1430,-100,13106,0,,,0.580078125,1425,1520,1375,18565130,1332106490,931543,KOSPI
20131202,001530,동일방직,50400,400,341,10,-10,,2.900390625,49950,50400,49900,17092550,111572848800,2213747,KOSPI
20131202,001540,안국약품,9060,-30,11060,6321,,-6321,8.8984375,9220,9220,9060,100606240,106644698280,11770938,KOSDAQ
20131202,001550,조비,11700,550,3694,180,,-180,0.22998046875,11250,11700,11150,42449800,45941547600,3926628,KOSPI
20131202,001560,제일연마,6190,-70,2110,20,0,-20,1.41015625,6200,6200,6010,12876300,61900000000,10000000,KOSPI
20131202,001570,금양,1040,-15,96614,3030,,-3030,0.81982421875,1055,1055,1030,100373550,40927440320,39353308,KOSPI
20131202,001620,동국실업,2540,-205,735019,186850,-20000,-63790,6.91015625,2660,2660,2470,1876680850,66889680800,26334520,KOSPI
20131202,001630,,79700,0,0,,,,17.46875,0,0,0,0,1040085000000,13050000,KOSPI
20131202,001680,대상,36400,-201,232643,72920,-55400,-22590,9.1875,36850,37300,36000,8469614150,1252581330000,34411575,KOSPI
20131202,001685,대상우,9380,-110,9250,1010,,-1010,12.078125,9500,9580,9350,86989900,12852691740,1370223,KOSPI
20131202,001689,대상3우B,29350,-651,110,-100,100,,0.0,30150,30150,29350,3276500,6939807500,236450,KOSPI
