R,date,ticker,name,y,r,hold,k60
D1,20260730,0001A0,덕양에너젠,2026,30.213198263386392,20,False
D1,20190805,002800,신신제약,2019,15.651474103585663,20,False
D1,20190806,002800,신신제약,2019,19.919176954732503,20,False
D1,20200320,003310,대주산업,2020,79.86328358208955,20,False
D1,20200312,003380,하림지주,2020,1.627017543859658,20,False
D1,20200313,003380,하림지주,2020,1.6568794326241176,20,False
D1,20200319,003380,하림지주,2020,58.17828877005347,20,False
D1,20200320,003380,하림지주,2020,47.628030112923476,20,False
D1,20240805,005290,동진쎄미켐,2024,-1.9554098360655776,20,False
D1,20181029,006050,국영지앤엠,2018,47.27621890547264,20,False
D1,20181030,006050,국영지앤엠,2018,40.51134199134201,20,False
D1,20190806,006620,동구바이오제약,2019,14.466924004825092,20,False
D1,20200317,006730,서부T&D,2020,6.861474654377879,20,False
D1,20200319,006730,서부T&D,2020,46.502119205298015,20,False
D1,20190805,006910,보성파워텍,2019,12.39096774193548,20,False
D1,20190806,006910,보성파워텍,2019,14.967368421052633,20,False
D1,20190807,006920,모헨즈,2019,16.640805369127524,20,False
D1,20200320,006920,모헨즈,2020,83.30802992518703,20,False
D1,20200323,006920,모헨즈,2020,89.75711340206186,20,False
D1,20200317,008470,부스타,2020,7.107257617728539,20,False
D1,20260807,008830,대동기어,2026,7.196068376068368,20,False
D1,20260810,008830,대동기어,2026,1.3780645161290215,20,False
D1,20260811,008830,대동기어,2026,-1.1944654088050313,20,False
D1,20260813,008830,대동기어,2026,-5.541654135338344,20,False
D1,20200312,009520,포스코엠텍,2020,25.443076923076916,20,False
D1,20200313,009520,포스코엠텍,2020,18.9601050788091,20,False
D1,20200319,009520,포스코엠텍,2020,91.1276923076923,20,False
D1,20200319,010170,대한광통신,2020,100.65061224489797,20,False
D1,20200320,010170,대한광통신,2020,107.28852966466036,20,False
D1,20200401,010170,대한광통신,2020,45.82212765957446,20,False
D1,20220127,010170,대한광통신,2022,3.7399413489736113,20,False
D1,20181015,011320,유니크,2018,-8.948354430379743,20,False
D1,20181029,011370,서한,2018,14.494440894568697,20,False
D1,20181030,011370,서한,2018,5.829941520467845,20,False
D1,20190729,011370,서한,2019,-4.545134099616861,20,False
D1,20190805,011370,서한,2019,7.343529411764695,20,False
D1,20200313,011560,세보엠이씨,2020,-5.103188405797106,20,False
D1,20200319,011560,세보엠이씨,2020,45.03515151515151,20,False
D1,20200325,011560,세보엠이씨,2020,3.4219607843137303,20,False
D1,20200326,011560,세보엠이씨,2020,-8.213668341708543,20,False
D1,20200327,011560,세보엠이씨,2020,8.182398137369043,20,False
D1,20200324,012790,신일제약,2020,31.58122448979592,20,False
D1,20200326,012790,신일제약,2020,21.64309807516041,20,False
D1,20181029,013310,아진산업,2018,36.688557536466774,20,False
D1,20181030,013310,아진산업,2018,12.719598124581381,20,False
D1,20181105,013310,아진산업,2018,-7.596876024030582,20,False
D1,20200317,013310,아진산업,2020,14.51488163787588,20,False
D1,20200313,013810,스페코,2020,16.779023354564753,20,False
D1,20200319,013990,아가방컴퍼니,2020,87.19209302325581,20,False
D1,20200326,013990,아가방컴퍼니,2020,31.481290322580648,20,False
D1,20200324,014190,원익큐브,2020,51.19175572519085,20,False
D1,20180703,016100,리더스코스메틱,2018,-10.120397350993379,20,False
D1,20181031,016670,디모아,2018,11.401506090808425,20,False
D1,20190805,017250,인터엠,2019,12.878974358974352,20,False
D1,20181029,017480,삼현철강,2018,18.64987012987013,20,False
D1,20190805,018000,유니슨,2019,12.28811594202898,20,False
D1,20190806,018000,유니슨,2019,11.45103448275863,20,False
D1,20181101,018680,서울제약,2018,-9.729757360077649,20,False
D1,20200313,019010,베뉴지,2020,2.457007874015741,20,False
D1,20260813,019210,와이지-원,2026,-14.942809917355369,20,False
D1,20260814,019210,와이지-원,2026,-26.286451612903225,20,False
D1,20260818,019210,와이지-원,2026,-4.89952506596306,20,False
D1,20200313,019570,GMI벤처,2020,20.345396825396815,20,False
D1,20181029,019990,에너토크,2018,56.946966292134846,20,False
D1,20181030,019990,에너토크,2018,37.86426229508197,20,False
D1,20200313,020180,대신정보통신,2020,32.24781065088757,20,False
