ticker,debt_ratio,as_of
005750,84.3,20260829
005800,11.5,20260829
005810,16.6,20260829
005820,15.1,20260829
005830,386.8,20260829
005850,34.0,20260829
005860,53.8,20260829
005870,114.7,20260829
005880,17.7,20260829
005930,30.0,20260829
005940,1026.0,20260829
005950,111.0,20260829
005960,196.8,20260829
005980,421.6,20230530
005990,1.7,20260829
006040,40.2,20260829
006050,38.6,20260829
006060,67.4,20260829
006090,76.5,20260829
006110,132.4,20260829
006120,82.5,20260829
006140,41.7,20260829
006200,4.0,20260829
006220,1284.4,20260829
006260,22.2,20260829
006280,92.1,20260829
006340,129.3,20260829
006360,181.4,20260829
006370,104.2,20260829
006380,267.1,20260829
006390,107.2,20250829
006400,55.7,20260829
006490,2177.8,20260829
006570,194.0,20260829
006580,9.6,20260829
006620,121.0,20260829
006650,32.4,20260829
006660,11.2,20260829
006730,118.2,20260829
006740,130.4,20260829
006800,1265.0,20260829
006840,52.8,20260829
006880,7.3,20260829
006890,30.1,20260829
0068Y0,16.1,20260829
006910,14.5,20260829
006920,39.1,20260829
006980,14.7,20260829
007070,106.7,20260829
007110,54.6,20260829
007120,43.3,20260829
007160,88.8,20260829
0071M0,17.0,20260829
007210,91.4,20260829
007280,165.2,20260829
0072Z0,16.1,20260829
007310,52.3,20260829
007330,384.9,20260829
007340,38.5,20260829
007370,69.2,20260829
007390,39.5,20260829
007460,196.9,20260829
007530,227.7,20260829
007540,2.9,20260829
007570,88.3,20260829
007590,44.9,20260829
007610,124.9,20260829
007630,133.1,20220415
007660,57.9,20260829
007680,88.1,20260829
007690,98.1,20260829
007700,0.6,20260829
007720,42.3,20260829
007770,31.9,20260829
007810,124.5,20260829
007820,124.8,20260829
007860,2.2,20260829
007980,147.9,20260829
008000,130.8,20190415
008040,320.4,20260829
008060,3.1,20260829
008110,8.9,20260530
008250,113.0,20260829
008260,99.1,20260829
008290,30.6,20260829
0082N0,4.4,20260829
008350,76.0,20260829
008370,15.3,20260829
008420,23.8,20260829
008470,26.5,20260829
008490,62.0,20260829
008500,72.1,20260829
008560,920.2,20260829
008600,2386.3,20260829
008700,27.5,20260829
008730,140.2,20260829
008770,165.5,20260829
008800,83.3,20260829
008830,277.5,20260829
008870,82.4,20260829
0088D0,15.7,20260829
0088M0,9.4,20260829
008930,42.0,20260829
008970,60.4,20260829
009070,150.8,20260829
009140,9.6,20260829
009150,61.8,20260829
009160,94.7,20260829
009180,69.8,20260829
009190,57.9,20260829
0091W0,16.6,20260829
009200,211.8,20260829
009240,111.9,20260829
009270,198.8,20260829
009290,65.9,20260829
009300,8.7,20260829
009310,80.1,20260829
009320,235.2,20260829
0093G0,19.3,20260829
009410,353.8,20260829
009420,48.6,20260829
009440,42.9,20260829
009450,52.4,20260829
009460,156.8,20260829
009470,54.4,20260829
009520,33.8,20260829
009540,30.7,20260829
009580,240.5,20260829
009620,7878.5,20260829
009680,10.4,20260829
0096B0,17.8,20260829
0096D0,13.0,20260829
009730,142.4,20260829
009770,11.1,20260829
009780,47.5,20260829
0097F0,18.2,20260829
009810,64.2,20260829
009830,91.4,20260829
0098T0,13.7,20260829
009900,32.3,20260829
009970,4.0,20260829
0099W0,14.1,20260829
0099X0,12.3,20260829
010040,41.8,20260829
010050,486.1,20240530
010060,5.3,20260829
010100,49.5,20260829
010120,123.8,20260829
010130,70.4,20260829
010140,280.1,20260829
010170,102.7,20260829
0101C0,15.2,20260829
010240,13.4,20260829
010280,102.4,20260829
010400,47.9,20260829
010420,192.8,20260415
010470,69.7,20260829
010580,43.8,20260829
0105P0,11.6,20260829
010600,45.3,20260829
010620,123.8,20251129
010640,132.4,20260829
010660,33.1,20260829
010690,102.3,20260829
010770,22.6,20260829
010780,101.9,20260829
010820,406.3,20260829
010950,198.3,20260829
010960,48.5,20260829
011000,120.7,20260829
011040,33.3,20260829
011070,112.5,20260829
011080,75.3,20260829
011090,242.5,20260829
011150,69.7,20260829
011160,433.9,20260829
011170,48.7,20260829
011200,28.4,20260829
011210,66.9,20260829
011230,260.0,20260829
011280,125.8,20260829
011300,179.6,20260829
011320,117.3,20260829
011330,76.6,20260829
011370,125.2,20260829
011390,32.0,20260829
011420,8.3,20260829
011500,46.9,20260829
011560,70.2,20260829
0115H0,11.4,20260829
011690,112.9,20260829
011700,18.2,20260829
011760,195.9,20260829
011780,33.9,20260829
011790,58.5,20260829
0117P0,22.1,20260829
011810,174.2,20260829
011930,173.8,20260829
012030,143.0,20260829
0120G0,16.1,20260829
012160,46.5,20260829
012170,17.8,20260829
012200,1462.3,20260829
012210,122.6,20260829
012280,179.4,20260829
012320,0.5,20260829
012330,29.0,20260829
012340,353.9,20260829
012450,185.6,20260829
012510,85.3,20260829
012600,35.9,20260829
012610,76.1,20260829
012620,81.9,20260829
012630,5.8,20260829
012690,19.5,20260829
0126Z0,0.3,20260829
012700,212.6,20260829
012750,36.5,20260829
012790,13.9,20260829
012800,149.7,20260829
012860,197.9,20260829
0129K0,11.7,20260829
013000,13.3,20260829
013030,7.9,20260829
0130D0,18.6,20260829
0130H0,5.2,20260829
013120,36.9,20260829
0131D0,12.0,20260829
0132G0,20.1,20260829
013310,178.0,20260829
013360,467.8,20260829
0134X0,12.8,20260829
013520,73.9,20260829
013570,7.1,20260829
013580,152.2,20260829
013700,107.1,20260829
013720,53.6,20260829
013810,41.5,20260829
013870,112.7,20260829
013890,28.1,20260829
013990,28.0,20260829
014100,57.0,20260829
014130,423.4,20260829
014160,42.9,20260829
014190,39.8,20260829
014200,21.4,20260829
014280,129.3,20260829
014440,9.2,20260829
014470,12.3,20260829
014530,116.6,20260829
014570,25.5,20260829
014580,65.9,20260829
014620,6.7,20260829
014680,36.4,20260829
014710,97.1,20260829
014790,219.0,20260829
014820,70.6,20260829
014830,18.5,20260829
014910,84.4,20260829
014940,30.4,20260829
014950,18.2,20260829
014970,48.6,20260829
014990,185.4,20260829
015020,123.2,20260829
015230,10.1,20260829
015260,263.3,20260829
015350,57.1,20220415
015360,46.1,20260829
015540,16.5,20250530
015590,46.0,20260829
0155E0,58.8,20260829
0156T0,7.6,20260829
015710,15.7,20260829
015750,63.3,20260829
015760,415.8,20260829
015860,26.1,20260829
015890,40.4,20260829
016090,12.8,20260829
016100,98.5,20260829
016170,54.9,20180829
016250,219.2,20260829
016360,1010.4,20260829
016380,57.8,20260829
016450,115.8,20260829
0164H0,8.0,20260829
016580,13.4,20260829
016590,9.2,20260829
0165X0,15.5,20260829
016600,29.4,20260829
016610,964.1,20260829
016670,53.0,20260829
016710,36.0,20260829
016740,30.3,20260829
016790,43.1,20260829
016800,10.8,20260829
016880,50.9,20260829
016920,157.3,20260829
017000,100.7,20260829
017040,1461.1,20260829
017180,149.0,20260829
017250,108.9,20260829
017370,51.7,20260829
017390,43.7,20260829
017480,12.6,20260829
017510,16.0,20260829
017550,44.8,20260829
017650,16.0,20260829
017670,89.4,20260829
017680,6.6,20260829
017800,153.1,20260829
017810,42.4,20260829
017860,220.9,20260829
017890,8.2,20260829
017900,8.6,20260829
017940,131.9,20260829
017960,65.7,20260829
018000,168.5,20260829
018120,19.7,20260829
018250,27.9,20260829
018260,32.1,20260829
018290,22.1,20260829
018310,13.7,20260829
018470,107.2,20260829
018500,156.2,20260530
018620,66.6,20260829
018670,117.3,20260829
018680,68.3,20260829
018700,34.3,20260829
018880,75.7,20260829
019010,41.7,20260829
019170,33.6,20260829
019180,127.3,20260829
019210,185.1,20260829
019440,71.4,20260829
019490,59.6,20260829
019540,143.1,20260829
019550,4.0,20260829
019570,57.1,20260829
019590,2.5,20251129
019660,131.2,20260829
019680,109.1,20260829
019770,76.9,20260829
019990,19.4,20260829
020000,18.1,20260829
020120,28.9,20260829
020150,37.1,20260829
020180,248.7,20260530
020400,159.9,20260829
020560,2713.7,20260829
020710,45.3,20260829
020760,111.7,20260829
021040,366.7,20260829
021050,182.3,20260829
021080,1.8,20260829
021240,109.8,20260829
021320,153.0,20260829
021650,3.1,20260829
021820,9.0,20260415
021880,11.1,20260530
022100,44.8,20260829
022220,59.3,20260829
023000,20.1,20260829
023150,66.6,20260829
023160,9.7,20260829
023350,152.5,20260829
023410,109.7,20260829
023440,101.5,20260829
023450,96.7,20260829
023460,132.1,20260415
023530,112.1,20260829
023590,61.8,20260829
023600,35.0,20260829
023760,572.0,20260829
023770,54.7,20260829
023790,330.4,20260829
023800,122.4,20260829
023810,133.8,20260829
023890,42.7,20210415
023900,5.5,20260829
023910,16.6,20260829
023960,143.3,20260829
024060,21.7,20260829
024070,19.8,20260829
024090,12.2,20260829
024110,1304.0,20260829
024120,98.3,20260829
024660,6.2,20180530
024720,46.0,20260829
024740,102.3,20260829
024800,32.1,20260829
024810,32.3,20260829
024830,28.2,20260829
024840,117.1,20260829
024850,15.0,20260829
024880,61.4,20260829
024890,124.4,20260829
024900,405.4,20260829
024910,320.4,20260829
024940,15.5,20260829
024950,47.2,20260829
025000,38.1,20260829
025320,35.1,20260829
025440,337.5,20260829
025530,8.1,20260829
025540,31.2,20260829
025550,81.6,20260829
025560,36.1,20260829
025620,48.9,20260829
025750,112.6,20260829
025770,81.1,20260829
025820,176.2,20260829
025860,93.0,20260829
025870,206.6,20260829
025880,44.7,20260829
025890,29.7,20260829
025900,104.3,20260829
025950,11.0,20260829
025980,53.9,20260829
026040,24.2,20260829
026150,116.4,20260829
026180,301.1,20190530
026260,62.2,20181129
026890,34.2,20260829
026910,371.4,20260829
026940,21.0,20260829
026960,3.9,20260829
027040,116.5,20260829
027050,17.5,20260829
027360,15.9,20260829
027390,182.5,20200414
027410,3.6,20260829
027580,128.6,20260829
027710,252.0,20260829
027740,328.9,20260829
027830,1.1,20260829
027970,93.1,20260829
028040,190.6,20201129
028050,125.8,20260829
028080,9.0,20260829
028100,101.6,20260829
028150,28.4,20210530
028260,40.3,20260829
028300,39.7,20260829
028670,103.6,20260829
029460,11.6,20260829
029480,15.5,20260829
029530,7.0,20260829
029780,284.5,20260829
029960,32.2,20260415
030000,129.5,20260829
030190,25.3,20260829
030200,90.3,20260829
030210,702.7,20260829
030270,93.5,20200530
030350,69.7,20260829
030520,22.2,20260829
030530,71.1,20260829
030610,845.7,20260829
030720,118.4,20260829
030790,1081.7,20231129
030960,9.4,20260415
031210,85.4,20260829
031310,23.6,20260829
031330,203.5,20260829
031390,56.9,20210829
031430,59.9,20260829
031440,117.2,20260829
031510,60.7,20260829
031820,49.1,20260829
031860,10.0,20260829
031980,16.7,20260829
032040,71.9,20260829
032080,15.7,20260829
032190,151.2,20260829
032280,60.1,20260829
032300,77.3,20260829
032350,2903.8,20260829
032500,56.6,20260829
032540,68.0,20260829
032560,23.3,20260829
032580,40.5,20260829
032620,33.3,20260829
032640,106.6,20260829
032680,48.4,20260829
032750,14.1,20260829
032790,59.8,20260829
032800,78.7,20260415
032820,58.1,20260829
032830,201.3,20260829
032850,11.9,20260829
032860,5.9,20260829
032940,59.9,20260829
032960,5.1,20260829
032980,42.5,20260829
033050,26.0,20260829
033100,14.4,20260829
033110,2607.3,20210829
033130,15.1,20260829
033160,210.5,20260829
033170,146.1,20260829
033180,9.0,20260829
033200,16.8,20260530
033230,54.8,20260829
033240,47.5,20260829
033250,74.4,20260829
033270,14.8,20260829
033290,142.6,20260829
033310,23.3,20260829
033320,38.8,20260829
033340,62.6,20260829
033430,138.4,20250415
033500,75.1,20260829
033530,84.8,20260829
033540,60.7,20260829
033560,15.1,20260829
033600,702.0,20210530
033640,331.9,20260829
033660,589.6,20260829
033780,52.6,20260829
033790,19.5,20260829
033830,4.5,20260829
033920,25.7,20260829
034020,153.0,20260829
034120,59.2,20260829
034220,781.1,20260829
034230,64.8,20260829
034300,444.7,20260415
034310,88.5,20260829
034590,101.0,20260829
034730,66.8,20260829
034810,51.3,20260829
034830,96.2,20260829
034940,110.1,20260829
034950,29.6,20260829
035000,120.7,20260829
035080,7.9,20260829
035150,32.5,20260829
035200,9.0,20260829
035250,18.0,20260829
035290,92.8,20260829
035420,33.2,20260829
035460,50.3,20260829
035480,74.8,20191129
035510,29.9,20260829
035600,117.7,20260829
035610,4.2,20260829
035620,70.0,20260829
035720,51.2,20260829
035760,115.3,20260829
035810,67.6,20260829
035890,36.7,20260829
035900,23.1,20260829
036000,1.2,20260829
036010,13.0,20260829
036030,54.6,20260829
036090,20.5,20260829
036120,20.9,20260829
036170,17.4,20260829
