Symbol,Name,Market,SecuGroup,Kind,ListingDate,DelistingDate,Reason,ArrantEnforceDate,ArrantEndDate,Industry,ParValue,ListingShares,ToSymbol,ToName
3363701C,솔루스첨단소재 12R,KOSPI,신주인수권증서,보통주,2022-04-21,2022-04-28,,,,,0.0,4481002.0,,
3363702C,솔루스첨단소재 13PR,KOSPI,신주인수권증서,보통주,2022-04-21,2022-04-28,,,,,0.0,1086069.0,,
2939401C,신한알파리츠 6R,KOSPI,신주인수권증서,보통주,2022-03-23,2022-03-30,,,,,0.0,21492382.0,,
2939401D,신한알파리츠 7R,KOSPI,신주인수권증서,보통주,2023-04-05,2023-04-12,,,,,0.0,14262161.0,,
2986901C,에어부산 7R,KOSPI,신주인수권증서,보통주,2022-08-31,2022-09-07,,,,,0.0,49370012.0,,
CYM0801D,엘브이엠씨홀딩스 10R,KOSPI,신주인수권증서,보통주,2023-02-09,2023-02-16,,,,,0.0,23489465.0,,
3348901D,이지스밸류플러스리츠 5R,KOSPI,신주인수권증서,보통주,2023-07-07,2023-07-14,,,,,0.0,14696522.0,,
0207601C,일진디스플레이 20R,KOSPI,신주인수권증서,보통주,2022-02-11,2022-02-21,,,,,0.0,13627320.0,,
3489501C,제이알글로벌리츠 4R,KOSPI,신주인수권증서,보통주,2022-06-28,2022-07-05,,,,,0.0,31766270.0,,
0895901C,제주항공 16R,KOSPI,신주인수권증서,보통주,2022-10-18,2022-10-25,,,,,0.0,21747204.0,,
0516301C,진양화학 6R,KOSPI,신주인수권증서,보통주,2022-07-21,2022-07-28,,,,,0.0,3797973.0,,
1196501C,케이씨코트렐 8R,KOSPI,신주인수권증서,보통주,2022-12-02,2022-12-09,,,,,0.0,16475538.0,,
0922201D,케이이씨 14R,KOSPI,신주인수권증서,보통주,2023-06-02,2023-06-12,,,,,0.0,55964468.0,,
3571201C,코람코에너지리츠 3R,KOSPI,신주인수권증서,보통주,2022-04-01,2022-04-08,,,,,0.0,18910367.0,,
0050701D,코스모신소재 38R,KOSPI,신주인수권증서,보통주,2023-10-20,2023-10-27,,,,,0.0,1542749.0,,
0054201C,코스모화학 29R,KOSPI,신주인수권증서,보통주,2022-05-25,2022-06-02,,,,,0.0,2694852.0,,
0054201D,코스모화학 31R,KOSPI,신주인수권증서,보통주,2023-09-26,2023-10-10,,,,,0.0,2827690.0,,
0030701C,코오롱글로벌 42PR,KOSPI,신주인수권증서,보통주,2022-11-16,2022-11-23,,,,,0.0,715102.0,,
0918101C,티웨이항공 22R,KOSPI,신주인수권증서,보통주,2022-04-01,2022-04-08,,,,,0.0,39965118.0,,
0010201D,페이퍼코리아 46R,KOSPI,신주인수권증서,보통주,2023-08-22,2023-08-29,,,,,0.0,241354553.0,,
0391301C,하나투어 14R,KOSPI,신주인수권증서,보통주,2022-06-02,2022-06-10,,,,,0.0,1643446.0,,
0098301C,한화솔루션 48PR,KOSPI,신주인수권증서,보통주,2022-12-22,2022-12-29,,,,,0.0,1558868.0,,
