Symbol,Name,DelistingDate,Reason
096640,멜파스,2023-07-17,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
050540,엠피씨플러스,2023-05-08,감사의견 거절(감사범위 제한)
058420,제이웨이,2023-04-14,감사의견 거절(감사범위 제한 및 계속기업가정 불확실성)
056000,코원플레이,2023-03-30,감사의견 거절(감사범위 제한 및 계속기업가정 불확실성)
064510,유네코,2023-01-17,감사의견 거절(감사범위 제한 및 계속기업 존속능력 불확실성)
217600,켐온,2022-12-16,피흡수합병
290510,코리아센터,2022-12-16,피흡수합병
131390,원익피앤이,2022-11-29,피흡수합병
158310,참존글로벌,2022-11-09,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
060300,레드로버,2022-11-04,기업의 계속성 및 경영의 투명성 등을 종합적을 고려하여 상장폐지기준에 해당한다고 결정
347140,케이프이에스제4호,2022-10-31,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소
126870,뉴로스,2022-10-26,감사의견 거절(감사범위 제한 및 계속기업 존속능력 불확실성)
090740,연이비앤티,2022-10-17,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
182690,테라셈,2022-10-17,감사의견 거절(감사범위 제한)
046110,한일네트웍스,2022-10-05,상장폐지 신청('22.08.31)
127160,매직마이크로,2022-09-22,감사의견 거절(감사범위 제한 및 계속기업 존속능력 불확실성)
053110,소리바다,2022-09-07,감사의견 거절(감사범위 제한)
176440,에이치엔티,2022-06-27,기업의 계속성 및 경영의 투명성 등을 종합적을 고려하여 상장폐지기준에 해당한다고 결정
220630,맘스터치,2022-05-31,상장폐지 신청('22.03.30)
050320,에스에이치엔엘,2022-05-31,감사의견 거절
052190,세영디앤씨,2022-05-27,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성)
053660,현진소재,2022-04-26,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성)
039670,스포츠서울,2022-04-20,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
041140,넥슨지티,2022-04-15,피흡수합병
066110,한프,2022-04-06,감사의견 거절(감사범위 제한)
225330,씨엠에스에듀,2022-03-17,피흡수합병
114570,지스마트글로벌,2022-02-23,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성)
221610,자안바이오,2022-01-05,발행한 어음 또는 수표가 주거래은행에 의하여 최종부도로 결정되거나 거래은행에 의한 거래정지
054630,에이디칩스,2025-12-30,감사의견 거절(계속기업 존속능력 불확실성)
335890,비올,2025-12-10,상장폐지 신청('25.11.06)
014200,광림,2025-11-26,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
151910,퓨처코어,2025-11-26,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
096040,이트론,2025-09-10,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
024810,이화전기,2025-09-10,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
019590,에스유앤피,2025-09-08,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
290380,대유,2025-08-21,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
044060,조광ILI,2025-08-21,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
023460,CNH,2025-07-14,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
323230,엠에프엠코리아,2025-06-19,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
226440,한송네오텍,2025-06-19,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
071460,위니아,2025-06-18,감사의견 거절(감사범위 제한 및 계속기업가정 불확실성)
072520,제넨바이오,2025-06-18,감사의견 거절(감사범위 제한 및 계속기업 가정 불확실성)
029960,코엔텍,2025-06-16,타법인의 완전자회사로 편입
214870,한울BnC,2025-03-31,감사의견 거절(감사범위 제한 및 계속기업가정 불확실성)
038340,MIT,2025-03-28,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
268600,셀리버리,2025-03-07,감사의견 거절(감사범위 제한 및 계속기업 가정 불확실성)
376190,LB루셈,2025-02-21,피흡수합병
078940,퀀타피아,2025-02-19,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
299910,애닉,2025-02-14,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
160600,이큐셀,2025-02-14,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
214310,에스엘에너지,2024-12-23,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
080000,에스엔유,2024-12-20,피흡수합병
138580,비즈니스온,2024-11-22,타법인의 완전자회사로 편입
062860,티엘아이,2024-11-14,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
287410,제이시스메디칼,2024-11-07,타법인의 완전자회사로 편입
263540,어스앤에어로스페이스,2024-11-06,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
