date,ticker,name,close,change,volume,indiv,organ,frgn,foreign_ratio,open,high,low,amount,marcap,shares,market
20170102,000020,동화약품,8110,-10,60571,12211,176,-12422,7.4609375,8160,8170,8060,491467440,226524221700,27931470,KOSPI
20170102,000030,우리은행,12600,-150,604408,-48442,-99612,147613,24.40625,12650,12750,12550,7638074400,8517600000000,676000000,KOSPI
20170102,000040,KR모터스,888,25,265471,-42697,564,22233,11.609375,863,893,855,233335625,156402972912,176129474,KOSPI
20170102,000050,경방,14800,-500,89378,15141,-2782,-27,3.3203125,15250,15400,14650,1333968700,405745996000,27415270,KOSPI
20170102,000060,메리츠화재,15300,0,53352,-6997,7476,-509,16.265625,15300,15400,15200,818236950,1688171400000,110338000,KOSPI
20170102,000070,삼양홀딩스,118500,-1004,5296,291,304,-559,6.5,119500,120000,117500,628164000,1014866113500,8564271,KOSPI
20170102,000075,삼양홀딩스우,63800,0,1,0,,,10.59375,63800,63800,63800,63800,19398900400,304058,KOSPI
20170102,000080,하이트진로,20900,-200,200092,51611,-28516,-27095,11.65625,21100,21150,20650,4172055600,1465792469900,70133611,KOSPI
20170102,000087,하이트진로2우B,18100,-300,2988,0,,,18.59375,18400,18450,18000,54249150,20455497800,1130138,KOSPI
20170102,000100,유한양행,199000,-499,31202,904,5525,-6402,29.59375,197000,199500,195000,6180233500,2219356654000,11152546,KOSPI
20170102,000105,유한양행우,166000,4001,13,-10,10,,0.77978515625,165000,170000,165000,2196000,39207208000,236188,KOSPI
20170102,000120,CJ대한통운,179500,501,22044,532,-489,157,14.3125,177500,180500,177500,3955308500,4094815748000,22812344,KOSPI
20170102,000140,하이트진로홀딩스,12400,-50,11650,1040,411,-1874,7.03125,12500,12600,12400,145371350,287763886000,23206765,KOSPI
20170102,000145,하이트진로홀딩스우,10500,0,345,1,,-1,22.296875,10550,10600,10300,3574550,4943505000,470810,KOSPI
20170102,000150,두산,106500,1501,24593,-5267,6112,-1415,7.12890625,105500,107000,104000,2605703500,2152033572000,20206888,KOSPI
20170102,000155,두산우,65300,0,4753,37,704,-772,4.12109375,65400,65600,64600,309016300,288043132200,4411074,KOSPI
20170102,000157,두산2우B,65900,-298,22,0,,,0.0,66100,66100,65500,1446500,64956641500,985685,KOSPI
20170102,000180,성창기업지주,3115,-65,325280,34273,224,-34398,1.73046875,3180,3180,3100,1015517890,217276234000,69751600,KOSPI
20170102,000210,대림산업,88200,1097,176366,-42442,24795,12231,35.5625,87500,89700,87300,15662886800,3069360000000,34800000,KOSPI
20170102,000215,대림산업우,31200,500,8708,666,-564,-160,14.65625,30850,31400,30800,271735650,118560000000,3800000,KOSPI
20170102,000220,유유제약,9330,40,14162,1529,-466,-1909,2.48046875,9250,9340,9190,131206960,57485917980,6161406,KOSPI
20170102,000225,유유제약1우,6220,40,10510,-8100,,,4.171875,6180,6350,6040,65085980,7050152300,1133465,KOSPI
20170102,000227,유유제약2우B,12600,100,323,0,,,0.0,12500,12900,12100,4030000,2067408000,164080,KOSPI
20170102,000230,일동홀딩스,25400,-400,4470,851,313,-1164,12.65625,25800,25950,25350,114069500,183459424800,7222812,KOSPI
20170102,000240,한국타이어월드와이드,20600,-149,22013,1481,2413,-3846,7.58984375,20800,20850,20500,455398000,1916215563800,93020173,KOSPI
20170102,000250,삼천당제약,11850,150,472100,-47810,27193,18893,4.4609375,11700,11900,11250,5500785150,260706197550,22000523,KOSDAQ
20170102,000270,기아차,39500,251,436193,-24684,62442,-40968,37.4375,39000,39600,38850,17184591300,16011852206500,405363347,KOSPI
20170102,000300,대유플러스,951,6,84798,24403,282,-10685,3.220703125,940,952,940,80308475,83802620226,88120526,KOSPI
20170102,000320,노루홀딩스,15450,-150,1719,459,48,-507,0.990234375,15550,15550,15450,26640150,203918539950,13198611,KOSPI
20170102,000325,노루홀딩스우,14550,0,1,0,,,0.35009765625,14550,14550,14550,14550,2695387500,185250,KOSPI
20170102,000327,노루홀딩스2우B,17750,250,76,0,,,1.0,17250,17850,17250,1329300,1642585000,92540,KOSPI
20170102,000370,한화손해보험,7090,-140,108818,54337,-57647,2810,10.703125,7230,7290,7030,772615470,643338907350,90738915,KOSPI
20170102,000390,삼화페인트,9930,20,24053,10052,-9338,-714,11.3671875,9910,10050,9850,239502250,252109532820,25388674,KOSPI
20170102,000400,롯데손해보험,2425,15,70359,1135,430,-2865,7.9296875,2410,2425,2405,169926175,325629000000,134280000,KOSPI
20170102,000430,대원강업,4430,-50,56230,-9295,198,-14649,1.83984375,4480,4490,4380,250606070,274660000000,62000000,KOSPI
20170102,000440,중앙에너비스,30500,-349,334,-191,191,,0.0,30850,30850,30450,10226000,37985493000,1245426,KOSDAQ
