t,nm,d,y,buy,sell20,hi,lo,c,r,ym
298050,HS효성첨단소재,20200320,2020,44100,74400,76200,42500,0.6799999999999999,68.02748299319728,202003
298050,HS효성첨단소재,20200325,2020,56600,76100,76200,54500,0.6799999999999999,33.77229681978799,202003
298050,HS효성첨단소재,20200326,2020,63000,74200,76500,56100,0.6799999999999999,17.097777777777782,202003
298690,에어부산,20200320,2020,4419,7648,7958,4162,0.6799999999999999,72.39083050463904,202003
306200,세아제강,20200313,2020,39450,42500,43050,27800,1.18,6.551305449936632,202003
306200,세아제강,20200318,2020,32600,39550,45400,27800,1.18,20.139018404907976,202003
306200,세아제강,20200325,2020,32550,39200,45400,32500,1.18,19.250107526881724,202003
307950,현대오토에버,20231031,2023,132000,184000,188900,130000,0.38,39.0139393939394,202310
317400,자이에스앤디,20220620,2022,6160,6010,6300,5590,1.18,-3.615064935064934,202206
323410,카카오뱅크,20220926,2022,21750,15950,22350,15900,0.38,-27.04666666666667,202209
353200,대덕전자,20220622,2022,24800,28750,30000,24400,0.38,15.5474193548387,202206
353200,대덕전자,20260710,2026,121200,107600,145700,71800,0.38,-11.601122112211224,202607
361610,SK아이이테크놀로지,20220203,2022,113500,121000,130500,107500,0.38,6.227929515418509,202202
363280,티와이홀딩스,20220623,2022,18800,18200,20250,17200,0.8799999999999999,-4.071489361702127,202206
377190,디앤디플랫폼리츠,20221012,2022,3410,3174,3410,2985,1.18,-8.100821114369502,202210
400760,NH올원리츠,20221013,2022,3466,3028,3466,2795,1.18,-13.817045585689554,202210
400760,NH올원리츠,20221018,2022,3200,3151,3200,2795,1.18,-2.7112499999999953,202210
400760,NH올원리츠,20221019,2022,3037,3146,3160,2795,1.18,2.4090681593677923,202210
400760,NH올원리츠,20221020,2022,2884,3112,3161,2795,1.18,6.725686546463242,202210
400760,NH올원리츠,20221021,2022,2859,3112,3161,2795,1.18,7.669247988807285,202210
400760,NH올원리츠,20221024,2022,2884,3077,3161,2795,1.18,5.512094313453545,202210
450080,에코프로머티,20241115,2024,89700,80600,99000,72400,0.38,-10.524927536231885,202411
456040,OCI,20241111,2024,60000,58100,66400,54700,0.8799999999999999,-4.0466666666666615,202411
456040,OCI,20241112,2024,58000,62300,66400,54700,0.8799999999999999,6.533793103448274,202411
489790,한화비전,20260729,2026,31650,51600,56800,31650,0.38,62.65317535545023,202607
