ticker,market,industry
023910,KOSDAQ,의약품 제조업
006650,KOSPI,기초 화학물질 제조업
001440,KOSPI,절연선 및 케이블 제조업
084010,KOSPI,1차 철강 제조업
001790,KOSPI,"곡물가공품, 전분 및 전분제품 제조업"
001130,KOSPI,"곡물가공품, 전분 및 전분제품 제조업"
439260,KOSPI,선박 및 보트 건조업
003490,KOSPI,항공 여객 운송업
005880,KOSPI,해상 운송업
003830,KOSPI,화학섬유 제조업
016090,KOSPI,봉제의복 제조업
069460,KOSPI,1차 비철금속 제조업
021040,KOSDAQ,1차 철강 제조업
067080,KOSDAQ,의약품 제조업
298540,KOSDAQ,의복 액세서리 제조업
032860,KOSDAQ,"해체, 선별 및 원료 재생업"
475560,KOSPI,상품 종합 도매업
192080,KOSPI,소프트웨어 개발 및 공급업
393890,KOSDAQ,일차전지 및 이차전지 제조업
299170,KOSDAQ,생활용품 도매업
462860,KOSDAQ,전기 통신업
224060,KOSDAQ,전자부품 제조업
302920,KONEX,"영화, 비디오물, 방송프로그램 제작 및 배급업"
403850,KOSDAQ,"영화, 비디오물, 방송프로그램 제작 및 배급업"
213420,KOSDAQ,전자부품 제조업
317330,KOSDAQ,기타 화학제품 제조업
077360,KOSDAQ,반도체 제조업
004830,KOSPI,플라스틱제품 제조업
090410,KOSDAQ,"구조용 금속제품, 탱크 및 증기발생기 제조업"
0001A0,KOSDAQ,연료용 가스 제조 및 배관공급업
263600,KOSDAQ,전자부품 제조업
194480,KOSDAQ,소프트웨어 개발 및 공급업
373160,KOSDAQ,기타 교육기관
263800,KOSDAQ,기계장비 및 관련 물품 도매업
199150,KONEX,소프트웨어 개발 및 공급업
206560,KOSDAQ,"영화, 비디오물, 방송프로그램 제작 및 배급업"
261200,KOSDAQ,의료용 기기 제조업
145720,KOSPI,의료용 기기 제조업
227420,KONEX,직물직조 및 직물제품 제조업
484120,KOSDAQ,전자부품 제조업
067990,KOSDAQ,자동차 판매업
002150,KOSPI,"건축기술, 엔지니어링 및 관련 기술 서비스업"
006620,KOSDAQ,의약품 제조업
