ticker,filed,equity,liab,shares
PCLA,20260213,469948000.0,617218000.0,1153806.0
TRP,20260213,27295000000.0,81852000000.0,1041000000.0
JLHL,20260213,9806222.0,37970456.0,
GVH,20260213,10036664.0,1177197.0,1526113.0
NCEW,20260217,5289643.0,9296500.0,3200000.0
NVMI,20260217,1318248000.0,1042298000.0,31780111.0
EGG,20260217,812677.0,,25000000.0
NTB,20260218,1141851000.0,12953043000.0,39948264.0
IDA,20260219,3571874000.0,,54806000.0
FSV,20260220,1375999000.0,,45722486.0
C,20260220,212291000000.0,2443380000000.0,
ATCX,20260220,804474.0,1846401.0,3474972.0
CIGI,20260220,1533319000.0,,
EMA,20260223,13382000000.0,,
JZXN,20260224,14053950.0,3127453.0,1255785.0
ICON,20260224,21378000.0,37066000.0,691977.0
RGNT,20260224,4744000.0,2874000.0,5179378.0
BRSL,20260224,875000000.0,7568000000.0,186852000.0
VLN,20260225,104983000.0,29718000.0,103050266.0
PYPD,20260225,10973000.0,,18204002.0
ASML,20260225,19612200000.0,30954400000.0,385417665.0
BMR,20260226,15762000.0,,15529854.0
VTEX,20260226,233496000.0,,185109.0
STM,20260226,17828000000.0,6575000000.0,888768152.0
NICE,20260226,3876528000.0,,60427562.0
TRVG,20260226,213299000.0,,357589000.0
HKD,20260227,263642000.0,351705000.0,123765877.0
DAC,20260227,3795577000.0,1318353000.0,18264294.0
SMWB,20260302,23326000.0,237819000.0,86962202.0
CGEN,20260302,102731000.0,,94553191.0
BYAH,20260302,3994855.0,1957761.0,
TSEM,20260302,2919287000.0,417707000.0,112534000.0
DXST,20260302,7727671.0,9451304.0,
CLBT,20260303,484318000.0,454534000.0,248581042.0
INVZ,20260304,77718000.0,,214090980.0
CMRE,20260304,2086194000.0,,120583929.0
SB,20260304,830707000.0,572475000.0,102259402.0
CSTE,20260304,139213000.0,,34573899.0
SSYS,20260305,842900000.0,230864000.0,
WIX,20260305,-366002000.0,2976976000.0,
HCM,20260305,1237926000.0,501835000.0,872891120.0
RSKD,20260306,294759000.0,115812000.0,157460699.0
AQN,20260306,4641100000.0,,768351419.0
INLF,20260306,16134869.0,8642483.0,
DRTS,20260309,77099000.0,28553000.0,88009737.0
DSGX,20260311,1618912000.0,276753000.0,86022028.0
SOHU,20260312,1277727000.0,357982000.0,26069000.0
NOA,20260312,456621000.0,1363132000.0,28821481.0
FVRR,20260312,411984000.0,272617000.0,36093139.0
WLDS,20260312,18553000.0,1437000.0,2882802.0
EPRX,20260313,82041436.0,5703915.0,51939206.0
WALD,20260313,461879000.0,246063000.0,
RCON,20260313,66404972.0,13145904.0,
MNDY,20260313,1246836000.0,859764000.0,51160822.0
TNK,20260313,2043616000.0,198058000.0,
MSC,20260313,523887000.0,2223056000.0,
TK,20260313,2162603000.0,197467000.0,86056804.0
MLCO,20260313,-1246602000.0,8501317000.0,1172055466.0
GSL,20260316,1801084000.0,1060119000.0,35913628.0
SOBO,20260316,2709000000.0,8484000000.0,208000000.0
SILC,20260316,117489000.0,34668000.0,5706142.0
IQ,20260316,1903152000.0,4772249000.0,
PERI,20260316,676006000.0,237752000.0,39024964.0
GILT,20260316,500278000.0,,73831318.0
YYAI,20260317,187547349.0,12335491.0,42142432.0
ESLT,20260317,4129598000.0,,46442352.0
ICCM,20260317,9051000.0,,73122293.0
GENI,20260317,724475000.0,405812000.0,
BIDU,20260317,38085000000.0,22798000000.0,
ODD,20260317,396495000.0,741297000.0,
MSS,20260317,7704073.0,64528539.0,26426308.0
MNDO,20260318,23049000.0,7117000.0,20372828.0
TATT,20260318,176391000.0,50338000.0,12983137.0
CAMT,20260319,617003000.0,642830000.0,45828133.0
NCPL,20260319,21602648.0,4457207.0,6847899.0
SLGL,20260319,22811000.0,7106000.0,2785787.0
QGEN,20260320,3778154000.0,,
CHR,20260320,369683000.0,31923000.0,
SWKHL,20260320,235098000.0,37324000.0,12095979.0
HTLM,20260323,27841310.0,111315476.0,89687500.0
CMMB,20260323,12334000.0,1478000.0,
RYOJ,20260323,6094665.0,10821535.0,11550000.0
RUBI,20260323,45798000.0,88271000.0,385501.0
UK,20260324,18341000.0,10609000.0,2697970.0
GLAS,20260324,73936000.0,143955000.0,81935989.0
FRSX,20260325,6233000.0,3242000.0,140634421.0
BRNX,20260325,3494000.0,9001000.0,715852.0
PLRZ,20260325,20994000.0,,1608266.0
CGNT,20260325,206544000.0,292203000.0,73078376.0
NSRX,20260325,-2785000.0,,
ENLV,20260325,1934948000.0,392050000.0,237381498.0
CANF,20260326,5592000.0,,2618425.0
BNT,20260326,17917000000.0,139264000000.0,224030265.0
KRNT,20260326,712573000.0,57937000.0,45063793.0
ELTK,20260326,46737000.0,,6719827.0
PRZO,20260326,3156661.0,,19666030.0
PRFX,20260326,8543000.0,2708000.0,830613.0
QTEX,20260326,2323000.0,,35949247.0
GLBE,20260326,932684000.0,530103000.0,169049616.0
CLGN,20260326,6081000.0,4704000.0,12803006.0
ALLT,20260326,113350000.0,,48645282.0
MGA,20260327,12493000000.0,18578000000.0,
SFHG,20260327,6655727.0,15485105.0,
JG,20260327,9409000.0,45293000.0,
ZOOZ,20260327,119200000.0,3365000.0,161995282.0
NIKI,20260327,23115160.0,4899823.0,7351784.0
ARBE,20260327,40818000.0,,109188112.0
HOLO,20260327,382818929.0,11775466.0,
UCL,20260327,28808000.0,39021000.0,
SFWL,20260327,131917000.0,208104000.0,
CMDB,20260330,665648000.0,,24180472.0
ECX,20260330,-282664000.0,945884000.0,338659826.0
ITOC,20260330,6122967.0,969832.0,16037397.0
AUDC,20260330,171299000.0,151721000.0,27089259.0
RVSN,20260331,20334000.0,2209000.0,2014263.0
RZLV,20260331,246815532.0,364918858.0,267981256.0
NRSN,20260331,-1560000.0,2588000.0,32557174.0
LAES,20260331,461508000.0,42671000.0,
BOSC,20260331,28704000.0,,7028934.0
CHKP,20260331,2882100000.0,4924300000.0,105596035.0
BHST,20260331,25448000.0,,22666842.0
AACG,20260331,4582681.0,53812349.0,63593666.0
INTJ,20260331,11593875.0,656179.0,
SHIP,20260331,281383000.0,325196000.0,21114098.0
NIVF,20260331,26631519.0,6736076.0,240622.0
RDWR,20260331,349361000.0,,43145971.0
YIBO,20260331,57904000.0,96241000.0,56975855.0
RDCM,20260331,114105000.0,30869000.0,16592725.0
BLTE,20260331,770486000.0,10070000.0,39339960.0
TOYO,20260401,111255384.0,330178437.0,36712040.0
GNTA,20260401,21840640.0,,23432183.0
TOPS,20260401,89189000.0,244420000.0,4626197.0
ADAG,20260401,35349547.0,26363750.0,59231993.0
MLGO,20260401,330326540.0,15576388.0,
NEXR,20260401,11453000.0,9754000.0,250727.0
SCNI,20260401,8103000.0,,13872899584.0
PXS,20260401,95160000.0,,10418859.0
IFBD,20260402,16029361.0,4952542.0,8188574.0
ZBAO,20260402,2843352.0,33442948.0,32948633.0
DOGZ,20260402,95140900.0,19310230.0,14510658.0
QH,20260402,50730000.0,64172000.0,
ZCMD,20260403,18630686.0,1548890.0,3418290.0
MF,20260403,36969023.0,1369726.0,
TEN,20260406,1819476000.0,,30127603.0
NBP,20260407,230941000.0,29581000.0,265377891.0
KXIN,20260407,21928000.0,11088000.0,
NNNN,20260407,30155023.0,87836.0,43672022.0
DLNG,20260408,473230000.0,,36557558.0
SPPL,20260408,2669572.0,5935784.0,5786184.0
RERE,20260408,570620000.0,282499000.0,
DPU,20260408,30330094.0,2992875.0,892314.0
BULL,20260409,1016292713.0,2864391356.0,396999679.0
CANG,20260410,397041286.0,735944047.0,
JDZG,20260410,17235529.0,3318810.0,
NIO,20260410,594795000.0,15974104000.0,2474273324.0
HTT,20260410,1663297234.0,283323119.0,
RBNE,20260410,26353153.0,,
LI,20260410,10384416000.0,11605162000.0,2027667098.0
MEGL,20260410,15575571.0,592496.0,
CSIQ,20260410,2807971000.0,10902101000.0,67810136.0
SKK,20260410,7240000.0,24403000.0,18750000.0
MRT,20260413,-67087884.0,96890345.0,
JZ,20260413,6908332.0,7312876.0,
HQ,20260414,-107850.0,127851.0,1.0
ANTA,20260414,119680242.0,2204632852.0,
CAN,20260415,437368000.0,165516000.0,
API,20260415,562848000.0,158251000.0,349264771.0
ATHM,20260415,3294866000.0,573900000.0,463038708.0
DAO,20260415,-276572000.0,559000000.0,118627161.0
CTRM,20260415,525430707.0,,9662354.0
FUTU,20260415,5139358000.0,24169154000.0,
TORO,20260415,163599055.0,,21473509.0
NTES,20260415,22922040000.0,8052373000.0,3192111251.0
CRNT,20260415,172752000.0,,90629280.0
MPU,20260416,18071800.0,4355500.0,45723613.0
FOFO,20260416,-2797009.0,,4000000.0
JD,20260416,32180000000.0,57402000000.0,
NCTY,20260416,27296000.0,50221000.0,
VIPS,20260416,5863599000.0,4919158000.0,
BILI,20260416,2226950000.0,3663497000.0,
VNET,20260416,889226000.0,5152178000.0,
ZH,20260417,543984000.0,188162000.0,
ATAT,20260417,513860000.0,798889000.0,419297298.0
NIU,20260417,129403456.0,292489037.0,
DOYU,20260417,284190407.0,161956657.0,30178859.0
ZTO,20260417,9492833000.0,3415877000.0,790812316.0
WNW,20260417,49394877.0,1339068.0,156434.0
MNDR,20260417,8326619.0,1560586.0,1679782.0
CHSN,20260420,56210932.0,25774859.0,38978780.0
EQS,20260420,16570000.0,4768000.0,13966696.0
PETZ,20260420,30643031.0,9573864.0,10323268.0
AIOS,20260420,4686355.0,411332.0,
DQ,20260420,4406727000.0,533010000.0,338330684.0
KBSX,20260420,15429353.0,45370369.0,44766003.0
TOUR,20260420,147331000.0,91786000.0,327628481.0
LGCL,20260420,44513000.0,19981000.0,
ELPW,20260420,-22743860.0,50485095.0,
JYD,20260420,14940699.0,18885574.0,
IGIC,20260421,710148000.0,1390641000.0,42842216.0
ZWS,20260421,1606800000.0,1077600000.0,167032113.0
DDC,20260421,71221156.0,120685543.0,
MAS,20260422,-242000000.0,5205000000.0,201700000.0
URI,20260422,8968000000.0,20920000000.0,62730346.0
VIOT,20260422,218311000.0,122791000.0,210920493.0
GOTU,20260422,179284000.0,707260000.0,
PONY,20260422,1652277000.0,103838000.0,379914317.0
CISS,20260422,95099614.0,3387016.0,659668.0
UFG,20260422,10502766.0,28977574.0,
YALA,20260422,810278701.0,94172576.0,
TUYA,20260422,1022605000.0,109909000.0,0.0
CAAS,20260422,401339000.0,550996000.0,30170702.0
NEE,20260423,55222000000.0,154792000000.0,2085000000.0
SJ,20260423,88003000.0,16726000.0,
TRSG,20260423,18034522.0,11477721.0,
CMCM,20260423,229893000.0,389745000.0,
WPRT,20260423,68813000.0,25196000.0,17375213.0
KC,20260423,1332316000.0,2490478000.0,3687690772.0
WB,20260423,3920729000.0,3083623000.0,245550000.0
BZUN,20260423,520885000.0,600528000.0,
CNP,20260423,11449000000.0,,654163245.0
COE,20260423,-31357000.0,97345000.0,359059557.0
RLX,20260423,2235596000.0,314305000.0,
SY,20260423,222121000.0,140256000.0,
ITRN,20260423,217564000.0,,23475431.0
ZEPP,20260424,214533000.0,350303000.0,
UTSI,20260424,36499000.0,19406000.0,9187000.0
STG,20260424,135212000.0,157751000.0,
WIMI,20260424,314265649.0,134284883.0,
CRE,20260424,6608743.0,8297686.0,1935996.0
ILAG,20260424,4856622.0,3625752.0,2076974.0
HUIZ,20260424,58805000.0,72406000.0,
BDMD,20260424,35750644.0,21001134.0,29411765.0
HKIT,20260424,36010312.0,6570720.0,
HTHT,20260424,1831000000.0,7410000000.0,3071525690.0
BEKE,20260424,9500979000.0,7169686000.0,3472076149.0
JF,20260424,1490000.0,3268000.0,
FLX,20260424,119464000.0,64782000.0,208554152.0
TIGR,20260424,865507397.0,7356352294.0,2807732382.0
PLBL,20260424,-24638997.0,45682515.0,360000000.0
EBON,20260424,244231820.0,11727102.0,
RYDE,20260424,24759000.0,4931000.0,44799000.0
DOW,20260424,15249000000.0,,721200000.0
DDL,20260424,148831000.0,835102000.0,
ZKH,20260424,2941333000.0,3588516000.0,5563528436.0
IH,20260424,142308000.0,53365000.0,
HSAI,20260424,1281084000.0,329257000.0,146437135.0
YJ,20260424,133737000.0,39146000.0,
QFIN,20260427,3448386000.0,4689301000.0,243823900.0
ABLV,20260427,7772209.0,26778062.0,49389922.0
MBAI,20260427,3437000.0,,7020502.0
EONR,20260427,3114057.0,74985546.0,10323205.0
CCG,20260427,355172000.0,1119682000.0,80321873.0
CUPR,20260427,3930208.0,2681467.0,20471507.0
CCEC,20260427,1499367000.0,2595747000.0,59487853.0
XCH,20260427,17866355.0,24802165.0,
YDDL,20260427,15056319.0,,52000000.0
HUYA,20260427,703510000.0,254773000.0,228840636.0
RNGR,20260428,300400000.0,158800000.0,24037021.0
TCOM,20260428,24427000000.0,13554000000.0,649583574.0
OMH,20260428,3734180.0,3340777.0,2359030.0
KRC,20260428,5265162000.0,5285944000.0,116278807.0
WDH,20260428,736717000.0,278688000.0,3608834920.0
EXLS,20260428,778804000.0,897575000.0,152999425.0
CLW,20260428,813800000.0,756000000.0,
INCY,20260428,5622847000.0,1716266000.0,199948401.0
CTO,20260428,575363000.0,724304000.0,33293471.0
LOT,20260428,-1322498000.0,3282994000.0,640672331.0
HIW,20260428,2369200000.0,3982858000.0,110272697.0
EXE,20260428,19546000000.0,9975000000.0,
JFIN,20260428,633908000.0,618401000.0,
AIFU,20260428,68428000.0,151144000.0,
NAMI,20260428,11993000.0,11794000.0,1423285396.0
FE,20260428,12654000000.0,42811000000.0,578431175.0
LICN,20260428,70550000.0,5023000.0,5302485.0
SUI,20260428,6753500000.0,5299100000.0,123254249.0
NAUT,20260428,144415000.0,33364000.0,127070480.0
SON,20260428,3568674000.0,7483652000.0,98869000.0
WETO,20260428,6391878.0,3923306.0,22000000.0
BNR,20260428,76542000.0,40770000.0,
EUDA,20260428,-4254945.0,5984084.0,1890375.0
FSP,20260428,596413000.0,285373000.0,103690340.0
XNET,20260428,1373491000.0,259406000.0,314277001.0
ARCC,20260428,14065000000.0,16614000000.0,718000000.0
SPHL,20260428,5370112.0,2844195.0,11467500.0
KNSA,20260428,605687000.0,219593000.0,82409703.0
BGIN,20260428,54492409.0,38086081.0,109060159.0
MDLZ,20260428,25750000000.0,45318000000.0,
SPGI,20260428,31173000000.0,24587000000.0,296000000.0
PII,20260428,750400000.0,4480600000.0,56900000.0
HUHU,20260428,7415058.0,14949428.0,24103749.0
RMBS,20260428,1393240000.0,139906000.0,108136967.0
TRU,20260428,4753600000.0,7132600000.0,192800000.0
AMT,20260428,3522600000.0,53082500000.0,465990000.0
EDRY,20260428,93274905.0,109592766.0,2890547.0
AMKR,20260428,4533511000.0,3729492000.0,247828000.0
LZMH,20260428,6957000.0,47569000.0,154145534.0
CCBG,20260428,559912000.0,3893822000.0,17097636.0
NXPI,20260428,10056000000.0,16109000000.0,
STAG,20260428,3585667000.0,3519342000.0,191201600.0
NOV,20260428,6212000000.0,4875000000.0,360255938.0
LOBO,20260428,6987304.0,13509336.0,
KN,20260428,780200000.0,,85560660.0
MRDN,20260428,48729738.0,61436870.0,12640919.0
TDTH,20260428,-6760804.0,12103686.0,716239613.0
JOYY,20260428,6541847000.0,950458000.0,1065247496.0
EIX,20260428,17320000000.0,75591000000.0,384793941.0
ENPH,20260428,1102352000.0,1621571000.0,131784000.0
CB,20260428,73788000000.0,195544000000.0,388495580.0
ELS,20260428,1761607000.0,3928379000.0,193931077.0
POOL,20260428,1133245000.0,2866061000.0,36442991.0
GASS,20260428,690326610.0,21363518.0,37185686.0
KNDI,20260428,270061092.0,129601958.0,82705365.0
SPCB,20260428,43512000.0,24867000.0,5369367.0
ZYBT,20260428,35722000.0,18558000.0,
NEGG,20260428,160708000.0,308199000.0,20973000.0
HUM,20260429,18580000000.0,36634000000.0,120652000.0
CHEF,20260429,608631000.0,1381136000.0,40743689.0
VLTO,20260429,3005000000.0,,245600000.0
AXS,20260429,6380636000.0,29238110000.0,73937000.0
VRSK,20260429,-1167700000.0,5765300000.0,131016125.0
ROG,20260429,1192700000.0,,17800000.0
OMC,20260429,9437100000.0,,
LII,20260429,1213900000.0,3078800000.0,35000000.0
HAYW,20260429,1611734000.0,1523849000.0,217662403.0
YRD,20260429,1325884000.0,598149000.0,174680826.0
WELL,20260429,43793675000.0,22291286000.0,704686814.0
PPG,20260429,8104000000.0,13896000000.0,
YXT,20260429,10673000.0,61833000.0,
HCA,20260429,-6303000000.0,,222530900.0
HTO,20260429,1834082000.0,,41839540.0
GEF,20260429,2942200000.0,,
GEHC,20260429,10668000000.0,26227000000.0,
LSTR,20260429,798976000.0,,34022000.0
GDS,20260429,25783012000.0,52261437000.0,
AVTR,20260429,5588700000.0,6074300000.0,682900000.0
PFG,20260429,11815300000.0,320311700000.0,216449333.0
JKS,20260429,2248807000.0,13363633000.0,209429353.0
KNX,20260429,7053768000.0,4883437000.0,162475000.0
AMTD,20260429,1375400000.0,385377000.0,
NAT,20260429,445521000.0,,211750663.0
ONB,20260429,8510653000.0,64491998000.0,386315000.0
ESEA,20260429,463443787.0,237011730.0,7055881.0
NOAH,20260429,1405220000.0,251387000.0,333370340.0
SITE,20260429,1621600000.0,1809400000.0,44313345.0
CLVT,20260429,4788800000.0,6138300000.0,639200000.0
NHTC,20260429,16464000.0,15486000.0,
OGE,20260429,4939200000.0,9532900000.0,
WBUY,20260429,3523317.0,12885708.0,2436907.0
INDO,20260429,19658520.0,3096856.0,14987474.0
RAYA,20260429,35265868.0,24182470.0,
GRMN,20260429,9271024000.0,,192903000.0
FELE,20260429,1339820000.0,,44162000.0
PDD,20260429,59113291000.0,30981848000.0,5693585848.0
CTSH,20260429,15068000000.0,5432000000.0,474000000.0
IMPP,20260429,530814097.0,16593682.0,44648737.0
RS,20260429,7101800000.0,3251400000.0,52889000.0
FINV,20260429,2366635000.0,1225438000.0,1334237985.0
GIGM,20260429,37045000.0,2159000.0,11052000.0
CAR,20260429,-3415000000.0,,35300000.0
IMPPP,20260429,530814097.0,16593682.0,44648737.0
BZ,20260429,2864362000.0,641629000.0,
YQ,20260429,40987000.0,43456000.0,
CTS,20260429,557475000.0,219680000.0,28624587.0
YSG,20260429,430513000.0,121024000.0,1862554166.0
BGL,20260429,-334678.0,,
ZENA,20260429,67961451.0,,
BG,20260429,16045000000.0,,195733665.0
ABT,20260429,52061000000.0,,1747073000.0
QUAD,20260429,126600000.0,1104300000.0,49600000.0
ESI,20260429,2735000000.0,2988000000.0,
CSTM,20260429,1119000000.0,4713000000.0,136150450.0
BE,20260429,921469000.0,3716721000.0,
CURB,20260429,1894179000.0,721832000.0,105538374.0
PSN,20260429,2649613000.0,3257951000.0,56923103.0
NCEL,20260429,7250000.0,4195000.0,4797505.0
MGPI,20260429,581290000.0,451658000.0,21369125.0
EPSM,20260429,11478615.0,1819986.0,
CCM,20260429,-300741000.0,671697000.0,
GD,20260429,26079000000.0,,
VMC,20260429,8451300000.0,8197200000.0,130300000.0
ABTS,20260429,7780771.0,3133579.0,2369995.0
ZJK,20260429,43469029.0,35934034.0,61381249.0
DTE,20260430,12323000000.0,,208028313.0
F,20260430,37453000000.0,244950000000.0,4071000000.0
SIMO,20260430,830737000.0,391982000.0,134245000.0
WFF,20260430,4750648.0,6638873.0,5038018.0
CLX,20260430,-67000000.0,6344000000.0,120920243.0
FBGL,20260430,9574911.0,11024749.0,13500000.0
SLGB,20260430,19473250.0,8736018.0,43000000.0
CNF,20260430,3580642375.0,6668477321.0,
SNTG,20260430,7882959.0,1996346.0,
SAIH,20260430,7399000.0,5315000.0,1836330.0
WKEY,20260430,45916000.0,53438000.0,
DTG,20260430,12323000000.0,,208028313.0
ARCO,20260430,515281000.0,2502399000.0,210654969.0
YDKG,20260430,311598000.0,331000.0,
DTB,20260430,12323000000.0,,208028313.0
YI,20260430,-100418000.0,283968000.0,174026392.0
JFU,20260430,530789000.0,75372000.0,
DTK,20260430,12323000000.0,,208028313.0
DTW,20260430,12323000000.0,,208028313.0
YDES,20260430,9335.0,,
SORA,20260430,21800262.0,17923626.0,24864000.0
STKH,20260430,5882000.0,,251756047.0
JWEL,20260430,11454293.0,10435873.0,2376131.0
YB,20260430,3346295000.0,1309273000.0,
CLWT,20260430,15619000.0,4752000.0,7902332.0
AXTA,20260430,2421000000.0,5091000000.0,
SOGP,20260430,57351000.0,53671000.0,943559133.0
HBAN,20260430,32535000000.0,252791000000.0,2027130587.0
NBIS,20260430,4594000000.0,7836600000.0,253016971.0
CELU,20260430,-38062000.0,145391000.0,28837787.0
GHG,20260430,225445632.0,454455666.0,
MKDW,20260430,5781066.0,13509897.0,4641331.0
GTX,20260430,-781000000.0,3154000000.0,187742822.0
BAND,20260430,405671000.0,578525000.0,32957834.0
PSIG,20260430,-3765228.0,38165761.0,8623102.0
VICR,20260430,753860000.0,50756000.0,
OPCH,20260430,1351069000.0,2029031000.0,156988358.0
UDR,20260430,3285680000.0,6228006000.0,325894030.0
NCI,20260430,7271904.0,7584489.0,
DLXY,20260430,105000.0,24783000.0,15647260.0
BIYA,20260430,22955161.0,4763005.0,
ORKT,20260430,6622354.0,2593198.0,5839770.0
HBANM,20260430,32535000000.0,252791000000.0,2027130587.0
THCH,20260430,-1242985681.0,2413111614.0,32036529.0
KO,20260430,33633000000.0,,4314000000.0
BAOS,20260430,3287312.0,9128449.0,1534487.0
WSHP,20260430,5952134.0,6386733.0,8699025.0
VSME,20260430,4137396.0,5195308.0,
CSHR,20260430,-1410000.0,61832000.0,150.0
NNOX,20260430,139732000.0,22433000.0,
TIPT,20260430,504279000.0,6217159000.0,37567024.0
AIIO,20260430,-111788000.0,124559000.0,15795362.0
HXHX,20260430,27625727.0,22647352.0,13246575.0
HMR,20260430,10708986.0,61427746.0,58409823.0
UXIN,20260430,-33017000.0,330838000.0,
TAOP,20260430,19540689.0,19906937.0,
TROO,20260430,49024000.0,20042000.0,122160166.0
XYF,20260430,1120647586.0,976525980.0,234517901.0
AGCC,20260430,968768.0,,
ACHC,20260430,1958277000.0,3378191000.0,90763489.0
PTLE,20260430,8893950.0,3313699.0,
MAA,20260430,5540638000.0,6286006000.0,116353152.0
MCRI,20260430,549849000.0,175325000.0,17740083.0
MTEN,20260430,22053774.0,9201910.0,
LGHL,20260430,25634651.0,32318825.0,
PLD,20260430,53503401000.0,40184959000.0,932283000.0
PFAI,20260430,4173240.0,3925133.0,
YOUL,20260430,104999000.0,70012000.0,76048501.0
CURR,20260430,-5668155.0,95413875.0,76611444.0
EHLD,20260430,6238768.0,2374659.0,0.0
FTV,20260430,6083100000.0,,305600000.0
